reliability_score,financial_risk,geopolitical_risk,weather_risk,cyber_risk,component_capacity,lead_time_days,lead_time_std,supplier_id,region,component_count,downstream_product_count,downstream_factory_count,route_count,graph_degree,date,weather_signal,congestion_signal,demand_pressure,utilization,delay_rate_7d,onsets_30d,completed_duration_mean_90d,days_since_onset
0.7372,0.1937,0.3682,0.3219,0.2939,50000,5,3.54,S012,West,5,49,19,2,5,2028-12-30,0.2875643016,0.6504140971,0.6388269728,0.7874721378,0.1571428571,0,0,188
0.7252,0.2544,0.1486,0.0607,0.2816,50000,15,1.96,S013,North,5,45,19,2,5,2028-12-30,0.2303542769,0.3674668153,0.5905635111,0.76575358,0.2,0,4,39
0.8423,0.2964,0.2316,0.1085,0.1076,50000,4,3.95,S014,South,5,48,20,2,5,2028-12-30,0.299026195,0.3230977674,0.5519219738,0.7483648882,0.1285714286,1,4.666666667,24
0.8057,0.4675,0.4998,0.0369,0.0637,50000,15,1.15,S015,South,5,36,17,2,5,2028-12-30,0.6575525573,0.3387190035,0.389348084,0.6752066378,0.1928571429,0,5,80
0.6707,0.2228,0.1708,0.3244,0.193,50000,23,2.27,S016,West,5,28,18,2,5,2028-12-30,0.1465189129,0.8659399504,0.4586933431,0.7064120044,0.1571428571,1,4,28
0.8592,0.1712,0.118,0.275,0.2034,50000,12,4.08,S017,East,5,37,18,2,5,2028-12-30,0.1894646918,0.4709690907,0.4936745214,0.7221535346,0.1428571429,0,2,34
0.9138,0.0157,0.2577,0.072,0.2694,50000,16,2.67,S018,West,5,42,19,2,5,2028-12-30,0.1367979429,0.2192355265,0.6433589257,0.7895115166,0.1142857143,0,0,307
0.621,0.2257,0.1241,0.0704,0.1545,50000,9,3.94,S019,North,5,42,20,2,5,2028-12-30,0,0.222783664,0.2815968369,0.6267185766,0.09285714286,0,2,74
0.9261,0.1148,0.0411,0.4436,0.1245,50000,4,2.04,S020,South,5,38,19,2,5,2028-12-30,0.3617694059,0.480602793,0.4248450199,0.6911802589,0.1428571429,0,2,87
0.8897,0.2699,0.1859,0.1204,0.5142,50000,21,1.11,S021,South,5,40,17,2,5,2028-12-30,0.7528092193,0.3415799019,0.3865682401,0.6739557081,0.1357142857,0,4,33
0.7719,0.2741,0.3728,0.3493,0.3579,50000,16,2.5,S022,West,5,40,19,2,5,2028-12-30,0.3467572754,0.5270228777,0.4165641935,0.6874538871,0.1428571429,1,4,28
0.7071,0.3163,0.0594,0.2389,0.1208,50000,10,1.04,S023,North,5,46,20,2,5,2028-12-30,0.2939703254,0.07129856785,0.4132949698,0.6859827364,0.1,0,0,312
0.8796,0.1978,0.1231,0.3522,0.1317,50000,7,4.64,S024,South,5,37,14,2,5,2028-12-30,0.4447713517,0.3519233864,0.4176284823,0.687932817,0.1428571429,0,3,61
0.8886,0.474,0.1768,0.1683,0.3409,50000,21,0.69,S025,South,5,35,19,2,5,2028-12-30,0.2484572427,0.3247579168,0.851353213,0.8831089458,0.1,0,5,88
0.6634,0.506,0.1119,0.1732,0.1368,50000,20,3.35,S026,West,5,36,16,2,5,2028-12-30,0.2747092686,0.3783994277,0.5196689991,0.7338510496,0.1571428571,0,4.5,45
0.9718,0.2637,0.0904,0.2628,0.1157,50000,24,4.34,S027,East,5,33,19,2,5,2028-12-30,0.3088029355,0.5078989509,0.3755718853,0.6690073484,0.1785714286,0,0,350
0.9479,0.106,0.1366,0.1847,0.1617,50000,22,3.33,S028,West,5,36,20,2,5,2028-12-30,0.294427878,0.3452964887,0.3689575222,0.666030885,0.1071428571,0,3,33
0.8763,0.2563,0.1643,0.1206,0.1543,50000,17,2.75,S029,North,5,47,20,2,5,2028-12-30,0.5038833515,0.6421649935,0.4415487049,0.6986969172,0.2142857143,0,0,180
0.7882,0.0691,0.1338,0.3788,0.1066,50000,26,3.09,S030,South,5,39,18,2,5,2028-12-30,0.5525698939,0.482343519,0.5588985316,0.7515043392,0.1928571429,0,0,132
0.8179,0.35,0.304,0.4524,0.1035,50000,13,3.05,S031,South,5,37,18,2,5,2028-12-30,0.4726344762,0.268561693,0.6406858694,0.7883086412,0.1785714286,2,3.75,20
0.83,0.2043,0.3524,0.2698,0.0787,50000,26,4.61,S032,West,5,38,17,2,5,2028-12-30,0.3258894612,0.4532883351,0.3765284866,0.669437819,0.15,0,0,107
0.9371,0.0586,0.0932,0.3833,0.1502,50000,25,2.16,S033,North,5,41,19,2,5,2028-12-30,0.5083705087,0.3454853635,0.3730725823,0.6678826621,0.1357142857,0,2,55
0.7541,0.0981,0.0908,0.1705,0.168,50000,8,4.44,S034,South,5,36,19,2,5,2028-12-30,0.3884692335,0.480274774,0.2461215344,0.6107546905,0.1571428571,0,0,225
0.6896,0.3147,0.1331,0.092,0.1642,50000,9,4.65,S035,South,5,35,20,2,5,2028-12-30,0.3618458033,0.288867647,0.6793910684,0.8057259808,0.1785714286,1,3.25,22
0.9117,0.2287,0.0972,0.2927,0.2914,50000,25,4.3,S036,West,5,35,19,2,5,2028-12-30,0.6775067675,0.321477421,0.7412021496,0.8335409673,0.1714285714,0,3,30
0.8372,0.2491,0.2135,0.1575,0.1087,50000,5,2.43,S037,East,5,44,17,2,5,2028-12-30,0.3955149027,0.4521344992,0.4840178921,0.7178080515,0.1285714286,0,5,50
0.8466,0.0966,0.2245,0.1794,0.1388,50000,3,3.48,S038,West,5,45,20,2,5,2028-12-30,0.2605647081,0.4618116324,0.5574853858,0.7508684236,0.1285714286,1,5,13
0.8693,0.1184,0.1038,0.2276,0.2903,50000,4,2.38,S039,North,5,49,20,2,5,2028-12-30,0.4412750332,0.3687977243,0.2826375521,0.6271868984,0.1928571429,0,4,85
0.8311,0.1724,0.1227,0.115,0.0396,50000,16,4.82,S040,South,5,39,18,2,5,2028-12-30,0.6604308764,0.3663787451,0.5397537396,0.7428891828,0.15,0,0,218
0.8236,0.0824,0.3547,0.4128,0.2121,50000,10,0.79,S041,South,5,43,20,2,5,2028-12-30,0.4946502872,0.2502170164,0.2777123198,0.6249705439,0.2428571429,1,2.666666667,2
0.9361,0.242,0.0548,0.0629,0.247,50000,20,1.87,S042,West,5,40,19,2,5,2028-12-30,0.3121359108,0.376178791,0.4503506542,0.7026577944,0.1214285714,0,0,126
0.558,0.2884,0.1717,0.114,0.1729,50000,23,3.34,S043,North,5,43,20,2,5,2028-12-30,0.3500771309,0.2042648055,0.4822396624,0.7170078481,0.2,0,0,117
0.8967,0.1189,0.1822,0.0728,0.1677,50000,25,1.98,S044,South,5,47,18,2,5,2028-12-30,0.3831115143,0.2247664318,0.3215529516,0.6446988282,0.1,0,5,44
0.8193,0.0168,0.3085,0.1002,0.0472,50000,5,3.52,S045,South,5,45,20,2,5,2028-12-30,0.1819392536,0.287101439,0.5357791175,0.7411006029,0.05714285714,0,0,95
0.9286,0.4911,0.1305,0.0709,0.1404,50000,13,2.05,S046,West,5,46,20,2,5,2028-12-30,0.2672098811,0.1999825702,0.1640529693,0.5738238362,0.1,0,2,44
0.9279,0.2962,0.0401,0.2489,0.1272,50000,18,2.22,S047,East,5,47,20,2,5,2028-12-30,0.6145505908,0.4206754012,0.3970273672,0.6786623152,0.1785714286,0,0,159
0.8256,0.0837,0.1967,0.2458,0.2914,50000,27,1.21,S048,West,5,34,17,2,5,2028-12-30,0.3032669512,0.2239471406,0.566203516,0.7547915822,0.1571428571,1,4,18
0.9698,0.2664,0.3042,0.3462,0.137,50000,16,2.2,S049,North,5,38,18,2,5,2028-12-30,0.7058562524,0.4572248166,0.4913630299,0.7211133634,0.1642857143,0,0,215
0.6404,0.3519,0.1947,0.0395,0.0827,50000,3,2.68,S050,South,5,41,17,2,5,2028-12-30,0.3411011533,0.1698498024,0.416379275,0.6873706737,0.1357142857,0,4,61
0.8945,0.0871,0.0436,0.1016,0.2324,50000,4,1.81,S051,South,5,49,20,2,5,2028-12-30,0.3656587158,0.4944971661,0.6135715411,0.7761071935,0.2785714286,1,4,4
0.7093,0.1397,0.3988,0.1717,0.1013,50000,22,4.64,S052,West,5,37,20,2,5,2028-12-30,0.3428529472,0.5084557763,0.5996836856,0.7698576585,0.1785714286,0,2,59
0.8471,0.0926,0.0539,0.2997,0.239,50000,24,4.52,S053,North,5,56,20,2,5,2028-12-30,0.1705244276,0.1977894803,0.430611108,0.6937749986,0.1357142857,0,0,140
0.8719,0.1078,0.2738,0.0725,0.3253,50000,12,3.11,S054,South,5,46,19,2,5,2028-12-30,0.4756300086,0.2742160107,0.408284878,0.6837281951,0.1642857143,1,4,17
0.7687,0.0867,0.0883,0.156,0.311,50000,16,4.84,S055,South,5,45,19,2,5,2028-12-30,0.4831251862,0.1560032699,0.3113919663,0.6401263848,0.1142857143,0,4,56
0.7431,0.0122,0.1438,0.0738,0.061,50000,18,3.8,S056,West,5,47,20,2,5,2028-12-30,0.3826584095,0.4133608482,0.5047237457,0.7271256856,0.1857142857,0,4,87
0.6902,0.3005,0.2252,0.3012,0.2479,50000,12,2.51,S057,East,5,50,20,2,5,2028-12-30,0.3388566323,0.210015422,0.4624941902,0.7081223856,0.1285714286,0,0,145
0.9499,0.2616,0.1524,0.1252,0.3468,50000,12,4.92,S058,West,5,36,17,2,5,2028-12-30,0.4476500847,0.486496795,0.486995628,0.7191480326,0.1285714286,1,3,15
0.9344,0.0721,0.2179,0.1948,0.343,50000,6,1.54,S059,North,5,39,19,2,5,2028-12-30,0.360129495,0.3926557209,0.3838062506,0.6727128128,0.1214285714,0,3,52
0.8747,0.3527,0.0747,0.0306,0.4312,50000,11,4.46,S060,South,5,43,20,2,5,2028-12-30,0.2756966004,0.49579598,0.461193742,0.7075371839,0.1357142857,0,0,167
0.9373,0.132,0.0584,0.2281,0.2015,50000,24,2.96,S061,South,5,46,20,2,5,2028-12-30,0.558348242,0.327158588,0.3351795886,0.6508308149,0.1071428571,0,0,109
0.6673,0.0538,0.3102,0.4288,0.1288,50000,19,4.9,S062,West,5,29,18,2,5,2028-12-30,0.2625345658,0.3539118834,0.4542143683,0.7043964657,0.1285714286,0,5,85
0.8922,0.2857,0.4513,0.1309,0.0514,50000,20,2.08,S063,North,5,49,19,2,5,2028-12-30,0.4141613579,0.8211800606,0.4509222564,0.7029150154,0.1857142857,0,4,33
0.8302,0.2002,0.0883,0.2309,0.2831,50000,24,3.27,S064,South,5,51,19,2,5,2028-12-30,0.4258466462,0.2190911443,0.3626390277,0.6631875625,0.1857142857,0,4,60
0.8926,0.0343,0.0846,0.249,0.3748,50000,16,3.12,S065,South,5,35,17,2,5,2028-12-30,0,0.4451374671,0.4413397143,0.6986028714,0.1428571429,0,4.5,52
0.8043,0.162,0.0845,0.0568,0.1843,50000,20,2,S066,West,5,37,17,2,5,2028-12-30,0.2546567453,0.1571039215,0.2134380654,0.5960471294,0.1214285714,0,2,54
0.9086,0.1633,0.1574,0.4096,0.1504,50000,18,4.57,S067,East,5,37,17,2,5,2028-12-30,0.4623054904,0.2248750354,0.4792950087,0.7156827539,0.1714285714,0,3,74
0.8739,0.0638,0.2394,0.1842,0.0997,50000,13,4.76,S068,West,5,37,17,2,5,2028-12-30,0.2403076148,0.3875418638,0.7119701807,0.8203865813,0.1714285714,0,0,132
0.9571,0.0575,0.0509,0.1835,0.129,50000,9,4.56,S069,North,5,40,18,2,5,2028-12-30,0.07323330171,0.2769681406,0.680720966,0.8063244347,0.1214285714,0,2,75
0.8704,0.0993,0.2013,0.1505,0.4535,50000,9,1.06,S070,South,5,38,17,2,5,2028-12-30,0.3606319124,0.216693852,0.4881266863,0.7196570089,0.1214285714,0,2,33
0.9035,0.2467,0.1606,0.5975,0.1129,50000,12,4.54,S071,South,5,45,20,2,5,2028-12-30,0.1660329669,0.3392006213,0.3130577537,0.6408759892,0.1071428571,2,3.333333333,15
0.6617,0.2466,0.4399,0.2262,0.13,50000,26,1.78,S072,West,5,33,17,2,5,2028-12-30,0.4824068066,0.4130326274,0.3129984402,0.6408492981,0.1857142857,0,2,30
0.599,0.3079,0.4379,0.1974,0.2029,50000,13,2.63,S073,North,5,38,19,2,5,2028-12-30,0.1874428415,0.2774642955,0.2186021757,0.5983709791,0.05714285714,0,2.5,42
0.953,0.1335,0.3441,0.1725,0.4062,50000,12,1.4,S074,South,5,45,19,2,5,2028-12-30,0.4625507472,0.1822065245,0.3260285567,0.6467128505,0.1071428571,0,4,85
0.9123,0.1137,0.2313,0.1111,0.082,50000,3,3.32,S075,South,5,35,16,2,5,2028-12-30,0.058656466,0.4458833705,0.6778077884,0.8050135048,0.1214285714,0,5,59
0.8475,0.2604,0.0485,0.1067,0.1411,50000,5,3.07,S076,West,5,47,20,2,5,2028-12-30,0.4736877511,0.5266264638,0.05211014272,0.5234495642,0.1428571429,0,0,188
0.6952,0.1025,0.3698,0.1866,0.129,50000,11,2.39,S077,East,5,47,18,2,5,2028-12-30,0.469169906,0.2573315932,0.3512995576,0.6580848009,0.1714285714,0,4,81
0.885,0.1971,0.0356,0.1996,0.3042,50000,10,1.56,S078,West,5,39,19,2,5,2028-12-30,0.4404589803,0.7487383341,0.6002084042,0.7700937819,0.1285714286,0,0,210
0.65,0.5396,0.0563,0.2811,0.1314,50000,3,3.15,S079,North,5,40,18,2,5,2028-12-30,0.3862666397,0.4183220663,0.4132161417,0.6859472638,0.1214285714,1,3.5,28
0.9485,0.1792,0.1276,0.2058,0.1692,50000,18,1.91,S080,South,5,47,19,2,5,2028-12-30,0.3964913817,0.4746875908,0.1717714339,0.5772971453,0.2357142857,0,0,99
0.9364,0.1775,0.216,0.2696,0.0831,50000,4,4.53,S082,West,5,44,20,2,5,2028-12-30,0.7745119057,0.1309045602,0.2565420974,0.6154439438,0.2071428571,0,2,34
0.756,0.2157,0.3719,0.2799,0.1008,50000,10,0.74,S083,North,5,32,17,2,5,2028-12-30,0.4762908677,0.1756629465,0.5133619246,0.7310128661,0.1214285714,0,0,150
0.8775,0.1927,0.257,0.2032,0.1429,50000,17,4.72,S084,South,5,38,17,2,5,2028-12-30,0.2271450263,0.5300292071,0.5411238058,0.7435057126,0.15,2,4.5,12
0.9609,0.1061,0.0704,0.1565,0.0178,50000,3,2.46,S085,South,5,37,20,2,5,2028-12-30,0.6692291583,0.2699875285,0.32979587,0.6484081415,0.1928571429,1,2.5,12
0.5185,0.1301,0.2968,0.0338,0.3625,50000,13,2.2,S086,West,5,45,20,2,5,2028-12-30,0.588482951,0.4729829258,0.5643986399,0.753979388,0.1571428571,0,2,74
0.8844,0.3583,0.1482,0.2368,0.1195,50000,15,4.78,S087,East,5,40,19,2,5,2028-12-30,0.1017354169,0.4022470966,0.5089317962,0.7290193083,0.1214285714,0,0,101
0.781,0.4626,0.3062,0.3169,0.0526,50000,28,1.2,S088,West,5,40,18,2,5,2028-12-30,0.3413160405,0.4214502067,0.3891552805,0.6751198762,0.1714285714,0,2,61
0.8135,0.2593,0.2827,0.2403,0.161,50000,18,2.13,S089,North,5,32,18,2,5,2028-12-30,0.2396937468,0.2078151174,0.4069439166,0.6831247625,0.1071428571,2,3.333333333,23
0.829,0.354,0.3558,0.2876,0.1217,50000,24,4.34,S090,South,5,46,20,2,5,2028-12-30,0.3113144123,0.308305814,0.5859625412,0.7636831435,0.1,0,2,68
0.8726,0.1399,0.2713,0.3127,0.0819,50000,28,4.58,S091,South,5,38,18,2,5,2028-12-30,0.352065325,0.6606205985,0.4624750597,0.7081137769,0.1142857143,0,2,89
0.7697,0.1552,0.0311,0.2241,0.0879,50000,26,0.72,S092,West,5,41,20,2,5,2028-12-30,0.3723180107,0.1744528553,0.5375046713,0.7418771021,0.08571428571,0,3,61
0.8282,0.0758,0.3831,0.1535,0.029,50000,27,1.94,S093,North,5,34,17,2,5,2028-12-30,0.2803282769,0.4358110316,0.4782227821,0.715200252,0.1357142857,0,0,113
0.9846,0.2894,0.1035,0.0562,0.0841,50000,15,3.13,S094,South,5,36,19,2,5,2028-12-30,0.3693559201,0.1008870676,0.4711280986,0.7120076444,0.1,0,0,154
0.9621,0.1383,0.0576,0.1485,0.1917,50000,15,0.67,S095,South,5,42,19,2,5,2028-12-30,0.6341579546,0.348673894,0.6709494643,0.8019272589,0.3214285714,1,4,5
0.8546,0.2085,0.1623,0.1773,0.0395,50000,25,4.24,S096,West,5,44,20,2,5,2028-12-30,0.6110951099,0.4164177022,0.5417931677,0.7438069254,0.2071428571,1,2.666666667,18
0.8938,0.2991,0.2497,0.2473,0.3518,50000,23,2.6,S097,East,5,45,20,2,5,2028-12-30,0.4122660425,0.5753740815,0.3809444444,0.671425,0.3571428571,1,4,5
0.8074,0.1155,0.3501,0.1723,0.0798,50000,21,3.5,S098,West,5,28,15,2,5,2028-12-30,0.3698417181,0.1393598959,0.5334428044,0.740049262,0.07142857143,0,0,170
0.8405,0.0084,0.1802,0.071,0.1071,50000,18,3.41,S099,North,5,50,20,2,5,2028-12-30,0.4073277976,0.5288367008,0.3241670963,0.6458751933,0.1571428571,1,3.333333333,16
0.7694,0.1306,0.1322,0.1958,0.1074,50000,28,2.55,S100,South,5,36,18,2,5,2028-12-30,0.2976822921,0.2748592406,0.5437308436,0.7446788796,0.1071428571,0,0,93
