product_id,product_name,category,factory_id,selling_price,production_cost,production_time_hours,demand_mean,demand_std,priority_level,profit_margin
P061,Smartwatch Series 061,Smartwatch,F001,2377.45,1319.01,0.24,22.1452,15.2133,High,0.4452
P062,Router Series 062,Router,F002,1682.3,1172.9,1.1,23.0548,15.0811,Critical,0.3028
P063,Laptop Series 063,Laptop,F003,2106.53,1236.32,0.2,21.5014,15.4007,Critical,0.413101
P064,IoT Sensor Series 064,IoT Sensor,F004,1049.36,854.6,1.38,22.3233,14.2431,Medium,0.185599
P065,Drone Controller Series 065,Drone Controller,F005,1558.03,973.3,0.69,21.263,14.9782,Low,0.375301
P066,Tablet Series 066,Tablet,F006,2195.84,1261.29,1.29,20.9342,14.59,High,0.4256
P067,Smartphone Series 067,Smartphone,F007,1766.71,1163.91,1.9,21.2822,15.4528,Low,0.341199
P068,Camera Series 068,Camera,F008,1573.67,1261.3,1.32,20.3096,14.269,Low,0.198498
P069,Drone Controller Series 069,Drone Controller,F009,1609.53,1030.26,0.27,22.7863,14.7408,Medium,0.3599
P070,Smartphone Series 070,Smartphone,F010,1491.91,1135.94,2.1,21.0,14.1342,Medium,0.2386
P071,Smartphone Series 071,Smartphone,F011,1449.26,1033.32,0.58,22.3178,14.8478,Low,0.287002
P072,Laptop Series 072,Laptop,F012,1671.96,1323.02,1.48,22.4137,15.8156,High,0.208701
P073,Tablet Series 073,Tablet,F013,2049.17,1228.48,0.47,22.5671,15.1928,High,0.400499
P074,Drone Controller Series 074,Drone Controller,F014,2182.61,1461.91,2.23,22.3918,15.5612,Medium,0.330201
P075,Smartphone Series 075,Smartphone,F015,1797.15,1202.65,1.79,21.6986,14.5115,Critical,0.330802
P076,Tablet Series 076,Tablet,F016,1517.74,1183.08,0.32,22.4548,15.1752,Low,0.220499
P077,Drone Controller Series 077,Drone Controller,F017,1618.08,1309.35,0.27,21.7589,15.6081,High,0.1908
P078,Camera Series 078,Camera,F018,1303.45,1008.74,0.46,22.7836,15.1243,Low,0.2261
P079,Drone Controller Series 079,Drone Controller,F019,1743.52,1329.96,1.42,23.5726,15.8522,Medium,0.237198
P080,Drone Controller Series 080,Drone Controller,F020,1828.94,1188.26,2.43,21.7918,15.2589,Medium,0.350301
P081,Smartwatch Series 081,Smartwatch,F001,1828.86,1446.26,0.62,21.6493,14.6375,Medium,0.209201
P082,Smartwatch Series 082,Smartwatch,F002,1477.02,1121.5,1.16,21.726,14.5167,Medium,0.240701
P083,IoT Sensor Series 083,IoT Sensor,F003,1718.44,1044.47,1.46,22.337,14.0622,Medium,0.392199
P084,Smartphone Series 084,Smartphone,F004,1221.81,977.2,1.73,22.189,14.78,Medium,0.200203
P085,IoT Sensor Series 085,IoT Sensor,F005,1638.45,1262.1,0.38,22.6932,14.6827,Critical,0.229699
P086,Tablet Series 086,Tablet,F006,1780.69,1197.69,0.36,21.6356,15.4092,High,0.327401
P087,IoT Sensor Series 087,IoT Sensor,F007,1689.96,1173.51,1.76,21.5233,14.9969,Critical,0.305599
P088,Laptop Series 088,Laptop,F008,1756.58,1107.35,1.43,21.8301,15.4673,Low,0.369599
P089,Drone Controller Series 089,Drone Controller,F009,1582.11,1255.56,1.35,20.3562,13.5723,High,0.206402
P090,Drone Controller Series 090,Drone Controller,F010,2191.23,1338.84,1.24,20.9178,14.4372,High,0.389001
P091,Camera Series 091,Camera,F011,1764.05,1079.07,0.7,23.0904,16.7919,Low,0.3883
P092,Camera Series 092,Camera,F012,1859.79,1206.82,2.35,21.0411,14.058,Low,0.351099
P093,Router Series 093,Router,F013,2141.57,1209.13,1.29,22.4603,15.3857,Critical,0.4354
P094,Tablet Series 094,Tablet,F014,1755.47,1246.21,1.83,22.3014,15.4078,Medium,0.290099
P095,Drone Controller Series 095,Drone Controller,F015,2018.8,1122.05,0.63,22.4219,14.4869,Low,0.4442
P096,Smartphone Series 096,Smartphone,F016,2186.42,1373.73,1.03,21.1479,14.9391,High,0.371699
P097,Tablet Series 097,Tablet,F017,2092.9,1196.3,0.49,22.4932,15.9385,High,0.428401
P098,Laptop Series 098,Laptop,F018,1551.28,1156.79,0.28,23.5425,16.531,Medium,0.2543
P099,Drone Controller Series 099,Drone Controller,F019,1662.53,1207.16,1.65,22.537,14.5639,High,0.273902
P100,Tablet Series 100,Tablet,F020,1663.66,1174.21,1.51,23.6575,16.5444,Low,0.294201
