action_id,disruption_id,action_type,supplier_id,component_id,factory_id,route_id,source_location,destination_location,available_capacity,action_cost,time_saved_days,risk_score,implementation_time,success_probability,feasible
A000065,D000043,Reschedule_Production,,,F011,,,,1636,44390.28,1,0.05,3,0.95,False
A000066,D000044,Expedite_Shipment,,,F011,R0005,S003,F011,10000,378.73,6,0.05,6,0.95,True
A000067,D000045,Switch_Supplier,S004,C004,F012,,S004,F012,10000,15514.7,0,0.0608,27,0.9392,False
A000068,D000045,Use_Backup_Inventory,,C281,F012,R0935,W013,W019,5387,539.74,7,0.05,1,0.95,False
A000069,D000046,Reallocate_Inventory,,C207,F012,R0808,W004,W005,10000,252.35,3,0.05,1,0.95,True
A000070,D000047,Increase_Production,,,F012,,,,4448,16518.75,2,0.05,5,0.95,True
A000071,D000047,Reschedule_Production,,,F012,,,,6649,2202.5,2,0.05,5,0.95,True
A000072,D000048,Expedite_Shipment,,,F012,R0147,S074,F012,10000,193.41,6,0.05,6,0.95,True
A000073,D000049,Switch_Supplier,S008,C008,F013,,S008,F013,10000,1842.6,0,0.1276,9,0.8724,False
A000074,D000049,Use_Backup_Inventory,,C155,F013,R0939,W011,W013,10000,192.48,3,0.05,4,0.95,True
A000075,D000050,Reallocate_Inventory,,C469,F013,R0846,W023,W024,10000,529.59,5,0.05,1,0.95,True
A000076,D000051,Increase_Production,,,F013,,,,740,207265.59,4,0.05,8,0.95,False
A000077,D000051,Reschedule_Production,,,F013,,,,663,27635.41,4,0.05,8,0.95,False
A000078,D000052,Expedite_Shipment,,,F013,R0137,S069,F013,10000,281.2,3,0.05,4,0.95,True
A000079,D000053,Switch_Supplier,S001,C001,F014,,S001,F014,10000,5540.0,0,0.2032,18,0.7968,False
A000080,D000053,Use_Backup_Inventory,,C023,F014,R0859,W030,W001,3215,450.27,11,0.05,1,0.95,False
A000081,D000054,Reallocate_Inventory,,C346,F014,R0836,W018,W019,6143,1813.81,2,0.05,1,0.95,False
A000082,D000055,Increase_Production,,,F014,,,,1291,31166.64,3,0.05,6,0.95,True
A000083,D000055,Reschedule_Production,,,F014,,,,1280,4155.55,3,0.05,6,0.95,True
A000084,D000056,Expedite_Shipment,,,F014,R0091,S046,F014,10000,511.6,3,0.05,3,0.95,True
A000085,D000057,Switch_Supplier,S011,C011,F015,,S011,F015,10000,37422.0,0,0.1295,28,0.8705,False
A000086,D000057,Use_Backup_Inventory,,C336,F015,R0920,W013,W009,10000,1010.97,10,0.05,1,0.95,True
A000087,D000058,Reallocate_Inventory,,C249,F015,R0825,W013,W014,10000,426.76,2,0.05,4,0.95,True
A000088,D000059,Increase_Production,,,F015,,,,4725,6742.44,2,0.05,3,0.95,True
A000089,D000059,Reschedule_Production,,,F015,,,,3209,898.99,2,0.05,3,0.95,True
A000090,D000060,Expedite_Shipment,,,F015,R0049,S025,F015,10000,31.67,6,0.05,6,0.95,True
A000091,D000061,Switch_Supplier,S003,C003,F016,,S003,F016,10000,10638.1,0,0.0135,12,0.9865,False
A000092,D000061,Use_Backup_Inventory,,C458,F016,R1000,W012,W008,10000,1303.9,7,0.05,1,0.95,True
A000093,D000062,Reallocate_Inventory,,C129,F016,R0832,W016,W017,7684,2539.08,4,0.05,1,0.95,True
A000094,D000063,Increase_Production,,,F016,,,,2440,43589.7,1,0.05,2,0.95,True
A000095,D000063,Reschedule_Production,,,F016,,,,6402,5811.96,1,0.05,2,0.95,True
A000096,D000064,Expedite_Shipment,,,F016,R0112,S056,F016,10000,40.01,3,0.05,4,0.95,True
A000097,D000065,Switch_Supplier,S001,C001,F017,,S001,F017,10000,2922.0,0,0.2032,18,0.7968,False
A000098,D000065,Use_Backup_Inventory,,C359,F017,R0802,W001,W002,10000,1200.04,11,0.05,1,0.95,True
A000099,D000066,Reallocate_Inventory,,C359,F017,R0804,W002,W003,10000,1595.26,2,0.05,1,0.95,True
A000100,D000067,Increase_Production,,,F017,,,,1638,6546.53,2,0.05,5,0.95,True
A000101,D000067,Reschedule_Production,,,F017,,,,5279,872.87,2,0.05,5,0.95,True
A000102,D000068,Expedite_Shipment,,,F017,R0036,S018,F017,10000,990.0,5,0.05,6,0.95,True
A000103,D000069,Switch_Supplier,S021,C021,F018,,S021,F018,10000,11410.0,0,0.1103,21,0.8897,False
A000104,D000069,Use_Backup_Inventory,,C148,F018,R0806,W003,W004,3793,978.71,13,0.05,1,0.95,True
A000105,D000070,Reallocate_Inventory,,C009,F018,R0826,W013,W014,10000,2420.12,1,0.05,1,0.95,True
A000106,D000071,Increase_Production,,,F018,,,,373,113858.64,5,0.05,8,0.95,False
A000107,D000071,Reschedule_Production,,,F018,,,,1631,15181.15,5,0.05,8,0.95,False
A000108,D000072,Expedite_Shipment,,,F018,R0017,S009,F018,10000,401.74,4,0.05,5,0.95,True
A000109,D000073,Switch_Supplier,S022,C022,F019,,S022,F019,10000,20377.5,0,0.2281,16,0.7719,False
A000110,D000073,Use_Backup_Inventory,,C329,F019,R0858,W029,W030,10000,1600.35,3,0.05,1,0.95,True
A000111,D000074,Reallocate_Inventory,,C140,F019,R0960,W025,W024,10000,194.86,6,0.05,1,0.95,True
A000112,D000075,Increase_Production,,,F019,,,,720,4943.9,4,0.05,8,0.95,True
A000113,D000075,Reschedule_Production,,,F019,,,,1833,659.19,4,0.05,8,0.95,True
A000114,D000076,Expedite_Shipment,,,F019,R0064,S032,F019,10000,462.43,1,0.05,1,0.95,True
A000115,D000077,Switch_Supplier,S018,C018,F020,,S018,F020,10000,9990.75,0,0.0862,16,0.9138,False
A000116,D000077,Use_Backup_Inventory,,C439,F020,R0851,W026,W027,2375,347.61,3,0.05,4,0.95,True
A000117,D000078,Reallocate_Inventory,,C381,F020,R0856,W028,W029,5291,1453.5,2,0.05,1,0.95,True
A000118,D000079,Increase_Production,,,F020,,,,1152,367043.24,3,0.05,6,0.95,False
A000119,D000079,Reschedule_Production,,,F020,,,,1985,48939.1,3,0.05,6,0.95,False
A000120,D000080,Expedite_Shipment,,,F020,R0154,S077,F020,10000,246.31,6,0.05,7,0.95,True
A000121,D000081,Switch_Supplier,S017,C017,F001,,S017,F001,10000,29995.6,1,0.1408,12,0.8592,True
A000122,D000081,Use_Backup_Inventory,,C162,F001,R0899,W012,W016,10000,255.28,12,0.05,1,0.95,True
A000123,D000082,Reallocate_Inventory,,C392,F001,R0803,W002,W003,9919,971.9,8,0.05,3,0.95,True
A000124,D000083,Increase_Production,,,F001,,,,564,86737.32,4,0.05,7,0.95,False
A000125,D000083,Reschedule_Production,,,F001,,,,973,11564.98,4,0.05,7,0.95,False
A000126,D000084,Expedite_Shipment,,,F001,R0026,S013,F001,10000,425.86,1,0.05,2,0.95,True
A000127,D000085,Switch_Supplier,S020,C020,F002,,S020,F002,10000,23187.4,10,0.0739,4,0.9261,True
A000128,D000085,Use_Backup_Inventory,,C266,F002,R0803,W002,W003,10000,512.04,11,0.05,3,0.95,True
A000129,D000086,Reallocate_Inventory,,C232,F002,R0931,W028,W022,10000,121.19,9,0.05,1,0.95,True
A000130,D000087,Increase_Production,,,F002,,,,2000,43823.67,5,0.05,9,0.95,False
A000131,D000087,Reschedule_Production,,,F002,,,,1953,5843.16,5,0.05,9,0.95,False
A000132,D000088,Expedite_Shipment,,,F002,R0038,S019,F002,10000,93.25,5,0.05,6,0.95,True
A000133,D000089,Switch_Supplier,S029,C029,F003,,S029,F003,10000,49884.8,0,0.1237,17,0.8763,False
A000134,D000089,Use_Backup_Inventory,,C408,F003,R0840,W020,W021,10000,546.61,1,0.05,1,0.95,True
A000135,D000090,Reallocate_Inventory,,C215,F003,R0817,W009,W010,10000,1834.89,6,0.05,4,0.95,True
A000136,D000091,Increase_Production,,,F003,,,,2822,152318.1,2,0.05,3,0.95,True
A000137,D000091,Reschedule_Production,,,F003,,,,5361,20309.08,2,0.05,3,0.95,True
A000138,D000092,Expedite_Shipment,,,F003,R0102,S051,F003,10000,327.53,6,0.05,6,0.95,True
A000139,D000093,Switch_Supplier,S016,C016,F004,,S016,F004,10000,11423.5,0,0.3293,23,0.6707,False
A000140,D000093,Use_Backup_Inventory,,C306,F004,R0958,W012,W014,4921,759.9,3,0.05,1,0.95,True
A000141,D000094,Reallocate_Inventory,,C304,F004,R0808,W004,W005,7090,765.15,6,0.05,1,0.95,True
A000142,D000095,Increase_Production,,,F004,,,,1339,7289.37,5,0.05,8,0.95,True
A000143,D000095,Reschedule_Production,,,F004,,,,5504,971.92,5,0.05,8,0.95,True
A000144,D000096,Expedite_Shipment,,,F004,R0088,S044,F004,10000,82.97,1,0.05,2,0.95,True
A000145,D000097,Switch_Supplier,S013,C013,F005,,S013,F005,10000,31020.8,0,0.2748,15,0.7252,False
A000146,D000097,Use_Backup_Inventory,,C384,F005,R0847,W024,W025,9794,575.95,12,0.05,2,0.95,True
A000147,D000098,Reallocate_Inventory,,C284,F005,R0835,W018,W019,5573,606.44,2,0.05,2,0.95,True
A000148,D000099,Increase_Production,,,F005,,,,1596,45996.96,1,0.05,2,0.95,True
A000149,D000099,Reschedule_Production,,,F005,,,,7252,6132.93,1,0.05,2,0.95,True
A000150,D000100,Expedite_Shipment,,,F005,R0123,S062,F005,10000,295.04,6,0.05,7,0.95,True
A000151,D000101,Switch_Supplier,S023,C023,F006,,S023,F006,10000,468.7,0,0.2929,10,0.7071,False
A000152,D000101,Use_Backup_Inventory,,C328,F006,R0867,W003,W002,10000,64.37,6,0.05,3,0.95,True
A000153,D000102,Reallocate_Inventory,,C293,F006,R0960,W025,W024,7549,347.87,2,0.05,1,0.95,True
A000154,D000103,Increase_Production,,,F006,,,,997,42020.6,2,0.05,3,0.95,True
A000155,D000103,Reschedule_Production,,,F006,,,,1550,5602.75,2,0.05,3,0.95,True
A000156,D000104,Expedite_Shipment,,,F006,R0107,S054,F006,10000,80.02,4,0.05,5,0.95,True
A000157,D000105,Switch_Supplier,S049,C049,F007,,S049,F007,10000,148956.6,0,0.0302,16,0.9698,False
A000158,D000105,Use_Backup_Inventory,,C395,F007,R0945,W011,W005,5400,758.02,11,0.05,2,0.95,False
A000159,D000106,Reallocate_Inventory,,C395,F007,R0956,W006,W011,5407,99.66,4,0.05,1,0.95,True
A000160,D000107,Increase_Production,,,F007,,,,3108,36056.55,5,0.05,8,0.95,True
A000161,D000107,Reschedule_Production,,,F007,,,,3061,4807.54,5,0.05,8,0.95,True
A000162,D000108,Expedite_Shipment,,,F007,R0019,S010,F007,10000,243.74,5,0.05,6,0.95,True
A000163,D000109,Switch_Supplier,S018,C018,F008,,S018,F008,10000,13753.5,0,0.0862,16,0.9138,False
A000164,D000109,Use_Backup_Inventory,,C397,F008,R0948,W008,W015,10000,706.45,8,0.05,1,0.95,True
A000165,D000110,Reallocate_Inventory,,C278,F008,R0919,W013,W009,7873,32.26,1,0.05,1,0.95,True
A000166,D000111,Increase_Production,,,F008,,,,1764,10063.22,4,0.05,8,0.95,True
A000167,D000111,Reschedule_Production,,,F008,,,,4153,1341.76,4,0.05,8,0.95,True
A000168,D000112,Expedite_Shipment,,,F008,R0189,S095,F008,10000,234.72,1,0.05,1,0.95,True
A000169,D000113,Switch_Supplier,S037,C037,F009,,S037,F009,10000,53784.4,4,0.1628,5,0.8372,True
A000170,D000113,Use_Backup_Inventory,,C165,F009,R0887,W015,W017,5463,656.96,6,0.05,3,0.95,True
A000171,D000114,Reallocate_Inventory,,C365,F009,R0920,W013,W009,7846,208.8,12,0.05,1,0.95,True
A000172,D000115,Increase_Production,,,F009,,,,2040,50321.76,4,0.05,6,0.95,False
A000173,D000115,Reschedule_Production,,,F009,,,,1429,6709.57,4,0.05,6,0.95,False
A000174,D000116,Expedite_Shipment,,,F009,R0129,S065,F009,10000,243.73,1,0.05,2,0.95,True
A000175,D000117,Switch_Supplier,S024,C024,F010,,S024,F010,10000,12292.05,0,0.1204,7,0.8796,False
A000176,D000117,Use_Backup_Inventory,,C105,F010,R0838,W019,W020,10000,942.73,6,0.05,1,0.95,True
A000177,D000118,Reallocate_Inventory,,C009,F010,R0919,W013,W009,10000,196.22,3,0.05,1,0.95,True
A000178,D000119,Increase_Production,,,F010,,,,576,11619.23,1,0.05,2,0.95,True
A000179,D000119,Reschedule_Production,,,F010,,,,545,1549.23,1,0.05,2,0.95,True
A000180,D000120,Expedite_Shipment,,,F010,R0018,S009,F010,10000,316.59,5,0.05,5,0.95,True
A000181,D000121,Switch_Supplier,S028,C028,F011,,S028,F011,10000,15727.4,0,0.0521,22,0.9479,False
A000182,D000121,Use_Backup_Inventory,,C122,F011,R0867,W003,W002,10000,280.79,1,0.05,3,0.95,True
A000183,D000122,Reallocate_Inventory,,C186,F011,R0939,W011,W013,5465,1242.55,8,0.05,4,0.95,True
A000184,D000123,Increase_Production,,,F011,,,,2070,228630.57,3,0.05,5,0.95,False
A000185,D000123,Reschedule_Production,,,F011,,,,1636,30484.08,3,0.05,5,0.95,False
A000186,D000124,Expedite_Shipment,,,F011,R0192,S096,F011,10000,491.1,6,0.05,6,0.95,True
A000187,D000125,Switch_Supplier,S001,C001,F012,,S001,F012,10000,2691.0,0,0.2032,18,0.7968,False
A000188,D000125,Use_Backup_Inventory,,C481,F012,R0806,W003,W004,10000,2144.78,3,0.05,1,0.95,True
A000189,D000126,Reallocate_Inventory,,C481,F012,R0801,W001,W002,10000,1061.93,2,0.05,2,0.95,True
A000190,D000127,Increase_Production,,,F012,,,,4448,179790.08,5,0.05,8,0.95,True
A000191,D000127,Reschedule_Production,,,F012,,,,6649,23972.01,5,0.05,8,0.95,True
A000192,D000128,Expedite_Shipment,,,F012,R0197,S099,F012,10000,245.02,6,0.05,7,0.95,True
A000193,D000129,Switch_Supplier,S045,C045,F013,,S045,F013,10000,47486.4,0,0.1807,5,0.8193,False
A000194,D000129,Use_Backup_Inventory,,C437,F013,R0839,W020,W021,4662,199.91,4,0.05,1,0.95,True
A000195,D000130,Reallocate_Inventory,,C317,F013,R0837,W019,W020,10000,307.14,7,0.05,4,0.95,True
A000196,D000131,Increase_Production,,,F013,,,,740,9738.63,4,0.05,7,0.95,True
A000197,D000131,Reschedule_Production,,,F013,,,,663,1298.48,4,0.05,7,0.95,True
A000198,D000132,Expedite_Shipment,,,F013,R0110,S055,F013,10000,435.65,4,0.05,5,0.95,True
A000199,D000133,Switch_Supplier,S007,C007,F014,,S007,F014,10000,11166.6,0,0.137,17,0.863,False
A000200,D000133,Use_Backup_Inventory,,C246,F014,R0817,W009,W010,10000,870.99,3,0.05,4,0.95,True
A000201,D000134,Reallocate_Inventory,,C423,F014,R0956,W006,W011,2597,494.46,6,0.05,1,0.95,True
A000202,D000135,Increase_Production,,,F014,,,,1291,24328.22,5,0.05,9,0.95,True
A000203,D000135,Reschedule_Production,,,F014,,,,1280,3243.76,5,0.05,9,0.95,True
A000204,D000136,Expedite_Shipment,,,F014,R0053,S027,F014,10000,893.2,6,0.05,7,0.95,True
A000205,D000137,Switch_Supplier,S030,C030,F015,,S030,F015,10000,9469.7,0,0.2118,26,0.7882,False
A000206,D000137,Use_Backup_Inventory,,C035,F015,R0940,W011,W013,6573,622.04,8,0.05,1,0.95,True
A000207,D000138,Reallocate_Inventory,,C225,F015,R0829,W015,W016,4847,69.51,5,0.05,2,0.95,True
A000208,D000139,Increase_Production,,,F015,,,,4725,39455.76,1,0.05,2,0.95,True
A000209,D000139,Reschedule_Production,,,F015,,,,3209,5260.77,1,0.05,2,0.95,True
A000210,D000140,Expedite_Shipment,,,F015,R0097,S049,F015,10000,472.98,1,0.05,1,0.95,True
A000211,D000141,Switch_Supplier,S045,C045,F016,,S045,F016,10000,29432.0,6,0.1807,5,0.8193,True
A000212,D000141,Use_Backup_Inventory,,C212,F016,R0818,W009,W010,10000,1194.55,10,0.05,1,0.95,True
A000213,D000142,Reallocate_Inventory,,C129,F016,R0827,W014,W015,7259,111.68,10,0.05,2,0.95,True
A000214,D000143,Increase_Production,,,F016,,,,2440,55651.2,1,0.05,2,0.95,True
A000215,D000143,Reschedule_Production,,,F016,,,,6402,7420.16,1,0.05,2,0.95,True
A000216,D000144,Expedite_Shipment,,,F016,R0132,S066,F016,10000,44.99,2,0.05,3,0.95,True
A000217,D000145,Switch_Supplier,S020,C020,F017,,S020,F017,10000,35650.15,5,0.0739,4,0.9261,True
A000218,D000145,Use_Backup_Inventory,,C018,F017,R0838,W019,W020,6805,2952.75,8,0.05,1,0.95,True
A000219,D000146,Reallocate_Inventory,,C290,F017,R0851,W026,W027,3491,798.17,0,0.05,4,0.95,False
A000220,D000147,Increase_Production,,,F017,,,,1638,12462.75,5,0.05,8,0.95,True
A000221,D000147,Reschedule_Production,,,F017,,,,5279,1661.7,5,0.05,8,0.95,True
A000222,D000148,Expedite_Shipment,,,F017,R0118,S059,F017,10000,514.2,1,0.05,2,0.95,True
A000223,D000149,Switch_Supplier,S030,C030,F018,,S030,F018,10000,44355.85,0,0.2118,26,0.7882,False
A000224,D000149,Use_Backup_Inventory,,C360,F018,R0868,W003,W002,10000,1690.43,2,0.05,1,0.95,True
A000225,D000150,Reallocate_Inventory,,C324,F018,R0860,W030,W001,6352,175.42,2,0.05,1,0.95,True
A000226,D000151,Increase_Production,,,F018,,,,373,115015.74,1,0.05,2,0.95,False
A000227,D000151,Reschedule_Production,,,F018,,,,1631,15335.43,1,0.05,2,0.95,False
A000228,D000152,Expedite_Shipment,,,F018,R0047,S024,F018,10000,327.59,4,0.05,4,0.95,True
A000229,D000153,Switch_Supplier,S029,C029,F019,,S029,F019,10000,49272.8,0,0.1237,17,0.8763,False
A000230,D000153,Use_Backup_Inventory,,C464,F019,R0887,W015,W017,10000,752.04,4,0.05,3,0.95,True
A000231,D000154,Reallocate_Inventory,,C004,F019,R1000,W012,W008,10000,421.3,12,0.05,1,0.95,True
A000232,D000155,Increase_Production,,,F019,,,,720,29722.94,4,0.05,8,0.95,True
A000233,D000155,Reschedule_Production,,,F019,,,,1833,3963.06,4,0.05,8,0.95,True
A000234,D000156,Expedite_Shipment,,,F019,R0127,S064,F019,10000,884.52,4,0.05,5,0.95,True
A000235,D000157,Switch_Supplier,S023,C023,F020,,S023,F020,10000,23838.3,0,0.2929,10,0.7071,False
A000236,D000157,Use_Backup_Inventory,,C481,F020,R0979,W005,W001,10000,273.82,2,0.05,2,0.95,True
A000237,D000158,Reallocate_Inventory,,C052,F020,R0843,W022,W023,10000,167.98,6,0.05,3,0.95,True
A000238,D000159,Increase_Production,,,F020,,,,1152,237640.7,4,0.05,6,0.95,False
A000239,D000159,Reschedule_Production,,,F020,,,,1985,31685.43,4,0.05,6,0.95,False
A000240,D000160,Expedite_Shipment,,,F020,R0141,S071,F020,10000,211.54,5,0.05,5,0.95,True
A000241,D000161,Switch_Supplier,S076,C076,F001,,S076,F001,10000,32070.5,2,0.1525,5,0.8475,True
A000242,D000161,Use_Backup_Inventory,,C392,F001,R0804,W002,W003,9919,1416.13,6,0.05,1,0.95,True
A000243,D000162,Reallocate_Inventory,,C138,F001,R0838,W019,W020,10000,2606.87,11,0.05,1,0.95,True
A000244,D000163,Increase_Production,,,F001,,,,564,92082.96,0,0.05,2,0.95,False
A000245,D000163,Reschedule_Production,,,F001,,,,973,12277.73,0,0.05,2,0.95,False
A000246,D000164,Expedite_Shipment,,,F001,R0183,S092,F001,10000,149.93,3,0.05,4,0.95,True
A000247,D000165,Switch_Supplier,S012,C012,F002,,S012,F002,10000,14982.1,3,0.2628,5,0.7372,True
A000248,D000165,Use_Backup_Inventory,,C279,F002,R0830,W015,W016,8541,680.38,7,0.05,1,0.95,True
A000249,D000166,Reallocate_Inventory,,C389,F002,R0805,W003,W004,10000,117.04,0,0.05,4,0.95,False
A000250,D000167,Increase_Production,,,F002,,,,2000,27177.98,2,0.05,3,0.95,False
A000251,D000167,Reschedule_Production,,,F002,,,,1953,3623.73,2,0.05,3,0.95,False
A000252,D000168,Expedite_Shipment,,,F002,R0001,S001,F002,10000,101.98,3,0.05,3,0.95,True
A000253,D000169,Switch_Supplier,S009,C009,F003,,S009,F003,10000,22438.8,0,0.1422,24,0.8578,False
A000254,D000169,Use_Backup_Inventory,,C311,F003,R0835,W018,W019,6734,594.95,11,0.05,2,0.95,True
A000255,D000170,Reallocate_Inventory,,C151,F003,R0810,W005,W006,9201,892.23,5,0.05,1,0.95,True
A000256,D000171,Increase_Production,,,F003,,,,2822,96457.02,2,0.05,4,0.95,True
A000257,D000171,Reschedule_Production,,,F003,,,,5361,12860.94,2,0.05,4,0.95,True
A000258,D000172,Expedite_Shipment,,,F003,R0176,S088,F003,10000,121.96,7,0.05,7,0.95,True
A000259,D000173,Switch_Supplier,S016,C016,F004,,S016,F004,10000,14709.5,0,0.3293,23,0.6707,False
A000260,D000173,Use_Backup_Inventory,,C306,F004,R0999,W012,W008,4921,225.72,1,0.05,1,0.95,True
