inventory_id,warehouse_id,component_id,product_id,quantity_on_hand,reserved_quantity,available_quantity,safety_stock,reorder_point,maximum_stock,holding_cost_per_unit,stockout_cost_per_unit,inventory_age_days,last_updated_date
I000041,W009,C005,,17846,1784,16062,4300,8600,35692,0.0006,0.14,113,2027-01-01
I000042,W010,C005,,17505,1750,15755,4300,8600,35010,0.0006,0.14,118,2027-01-01
I000043,W011,C005,,18103,1810,16293,4300,8600,36206,0.0006,0.14,34,2027-01-01
I000044,W012,C005,,17772,1777,15995,4300,8600,35544,0.0006,0.14,4,2027-01-01
I000045,W013,C005,,18079,1807,16272,4300,8600,36158,0.0006,0.14,54,2027-01-01
I000046,W006,C006,,30615,3061,27554,7500,15000,61230,0.0007,0.16,45,2027-01-01
I000047,W007,C006,,30217,3021,27196,7500,15000,60434,0.0007,0.16,111,2027-01-01
I000048,W008,C006,,30106,3010,27096,7500,15000,60212,0.0007,0.16,80,2027-01-01
I000049,W009,C006,,30497,3049,27448,7500,15000,60994,0.0007,0.16,36,2027-01-01
I000050,W010,C006,,30100,3010,27090,7500,15000,60200,0.0007,0.16,112,2027-01-01
I000051,W011,C006,,30753,3075,27678,7500,15000,61506,0.0007,0.16,57,2027-01-01
I000052,W012,C006,,30340,3034,27306,7500,15000,60680,0.0007,0.16,41,2027-01-01
I000053,W013,C006,,30691,3069,27622,7500,15000,61382,0.0007,0.16,18,2027-01-01
I000054,W014,C006,,30193,3019,27174,7500,15000,60386,0.0007,0.16,42,2027-01-01
I000055,W007,C007,,8408,840,7568,1900,3800,16816,0.0007,0.19,98,2027-01-01
I000056,W008,C007,,8315,831,7484,1900,3800,16630,0.0007,0.19,55,2027-01-01
I000057,W009,C007,,8587,858,7729,1900,3800,17174,0.0007,0.19,86,2027-01-01
I000058,W010,C007,,7875,787,7088,1900,3800,15750,0.0007,0.19,9,2027-01-01
I000059,W011,C007,,8210,821,7389,1900,3800,16420,0.0007,0.19,101,2027-01-01
I000060,W012,C007,,8062,806,7256,1900,3800,16124,0.0007,0.19,64,2027-01-01
I000061,W013,C007,,8508,850,7658,1900,3800,17016,0.0007,0.19,118,2027-01-01
I000062,W014,C007,,8451,845,7606,1900,3800,16902,0.0007,0.19,17,2027-01-01
I000063,W015,C007,,8125,812,7313,1900,3800,16250,0.0007,0.19,119,2027-01-01
I000064,W008,C008,,10427,1042,9385,2500,5000,20854,0.0008,0.21,2,2027-01-01
I000065,W009,C008,,10430,1043,9387,2500,5000,20860,0.0008,0.21,61,2027-01-01
I000066,W010,C008,,10669,1066,9603,2500,5000,21338,0.0008,0.21,112,2027-01-01
I000067,W011,C008,,10842,1084,9758,2500,5000,21684,0.0008,0.21,111,2027-01-01
I000068,W012,C008,,10979,1097,9882,2500,5000,21958,0.0008,0.21,33,2027-01-01
I000069,W013,C008,,10777,1077,9700,2500,5000,21554,0.0008,0.21,72,2027-01-01
I000070,W014,C008,,10831,1083,9748,2500,5000,21662,0.0008,0.21,48,2027-01-01
I000071,W015,C008,,10388,1038,9350,2500,5000,20776,0.0008,0.21,31,2027-01-01
I000072,W016,C008,,10919,1091,9828,2500,5000,21838,0.0008,0.21,25,2027-01-01
I000073,W009,C009,,31170,3117,28053,7700,15400,62340,0.0009,0.23,105,2027-01-01
I000074,W010,C009,,31047,3104,27943,7700,15400,62094,0.0009,0.23,22,2027-01-01
I000075,W011,C009,,31231,3123,28108,7700,15400,62462,0.0009,0.23,76,2027-01-01
I000076,W012,C009,,31796,3179,28617,7700,15400,63592,0.0009,0.23,63,2027-01-01
I000077,W013,C009,,31308,3130,28178,7700,15400,62616,0.0009,0.23,8,2027-01-01
I000078,W014,C009,,30965,3096,27869,7700,15400,61930,0.0009,0.23,59,2027-01-01
I000079,W015,C009,,31301,3130,28171,7700,15400,62602,0.0009,0.23,20,2027-01-01
I000080,W016,C009,,31640,3164,28476,7700,15400,63280,0.0009,0.23,23,2027-01-01
I000081,W017,C009,,31028,3102,27926,7700,15400,62056,0.0009,0.23,101,2027-01-01
I000082,W010,C010,,12552,1255,11297,3000,6000,25104,0.001,0.25,81,2027-01-01
I000083,W011,C010,,12578,1257,11321,3000,6000,25156,0.001,0.25,78,2027-01-01
I000084,W012,C010,,12770,1277,11493,3000,6000,25540,0.001,0.25,90,2027-01-01
I000085,W013,C010,,12973,1297,11676,3000,6000,25946,0.001,0.25,7,2027-01-01
I000086,W014,C010,,12818,1281,11537,3000,6000,25636,0.001,0.25,76,2027-01-01
I000087,W015,C010,,12614,1261,11353,3000,6000,25228,0.001,0.25,37,2027-01-01
I000088,W016,C010,,12759,1275,11484,3000,6000,25518,0.001,0.25,81,2027-01-01
I000089,W017,C010,,12978,1297,11681,3000,6000,25956,0.001,0.25,21,2027-01-01
I000090,W018,C010,,12970,1297,11673,3000,6000,25940,0.001,0.25,6,2027-01-01
I000091,W011,C011,,30286,3028,27258,7500,15000,60572,0.0011,0.28,62,2027-01-01
I000092,W012,C011,,30340,3034,27306,7500,15000,60680,0.0011,0.28,5,2027-01-01
I000093,W013,C011,,30498,3049,27449,7500,15000,60996,0.0011,0.28,29,2027-01-01
I000094,W014,C011,,30385,3038,27347,7500,15000,60770,0.0011,0.28,25,2027-01-01
I000095,W015,C011,,30300,3030,27270,7500,15000,60600,0.0011,0.28,59,2027-01-01
I000096,W016,C011,,30504,3050,27454,7500,15000,61008,0.0011,0.28,90,2027-01-01
I000097,W017,C011,,30492,3049,27443,7500,15000,60984,0.0011,0.28,56,2027-01-01
I000098,W018,C011,,30108,3010,27098,7500,15000,60216,0.0011,0.28,84,2027-01-01
I000099,W019,C011,,30844,3084,27760,7500,15000,61688,0.0011,0.28,48,2027-01-01
I000100,W012,C012,,24506,2450,22056,6100,12200,49012,0.0012,0.3,47,2027-01-01
I000101,W013,C012,,24501,2450,22051,6100,12200,49002,0.0012,0.3,39,2027-01-01
I000102,W014,C012,,24952,2495,22457,6100,12200,49904,0.0012,0.3,112,2027-01-01
I000103,W015,C012,,24978,2497,22481,6100,12200,49956,0.0012,0.3,94,2027-01-01
I000104,W016,C012,,25147,2514,22633,6100,12200,50294,0.0012,0.3,117,2027-01-01
I000105,W017,C012,,24571,2457,22114,6100,12200,49142,0.0012,0.3,88,2027-01-01
I000106,W018,C012,,24735,2473,22262,6100,12200,49470,0.0012,0.3,104,2027-01-01
I000107,W019,C012,,25383,2538,22845,6100,12200,50766,0.0012,0.3,8,2027-01-01
I000108,W020,C012,,24663,2466,22197,6100,12200,49326,0.0012,0.3,58,2027-01-01
I000109,W013,C013,,14584,1458,13126,3500,7000,29168,0.0013,0.32,51,2027-01-01
I000110,W014,C013,,14621,1462,13159,3500,7000,29242,0.0013,0.32,8,2027-01-01
I000111,W015,C013,,14481,1448,13033,3500,7000,28962,0.0013,0.32,97,2027-01-01
I000112,W016,C013,,14554,1455,13099,3500,7000,29108,0.0013,0.32,53,2027-01-01
I000113,W017,C013,,14978,1497,13481,3500,7000,29956,0.0013,0.32,35,2027-01-01
I000114,W018,C013,,14839,1483,13356,3500,7000,29678,0.0013,0.32,39,2027-01-01
I000115,W019,C013,,14894,1489,13405,3500,7000,29788,0.0013,0.32,67,2027-01-01
I000116,W020,C013,,14728,1472,13256,3500,7000,29456,0.0013,0.32,65,2027-01-01
I000117,W021,C013,,14758,1475,13283,3500,7000,29516,0.0013,0.32,79,2027-01-01
I000118,W014,C014,,5722,572,5150,1400,2800,11444,0.0014,0.34,21,2027-01-01
I000119,W015,C014,,6531,653,5878,1400,2800,13062,0.0014,0.34,79,2027-01-01
I000120,W016,C014,,5995,599,5396,1400,2800,11990,0.0014,0.34,43,2027-01-01
I000121,W017,C014,,6313,631,5682,1400,2800,12626,0.0014,0.34,120,2027-01-01
I000122,W018,C014,,6035,603,5432,1400,2800,12070,0.0014,0.34,24,2027-01-01
I000123,W019,C014,,6008,600,5408,1400,2800,12016,0.0014,0.34,73,2027-01-01
I000124,W020,C014,,6511,651,5860,1400,2800,13022,0.0014,0.34,86,2027-01-01
I000125,W021,C014,,5858,585,5273,1400,2800,11716,0.0014,0.34,115,2027-01-01
I000126,W022,C014,,5750,575,5175,1400,2800,11500,0.0014,0.34,115,2027-01-01
I000127,W015,C015,,7707,770,6937,1900,3800,15414,0.0015,0.37,48,2027-01-01
I000128,W016,C015,,8285,828,7457,1900,3800,16570,0.0015,0.37,1,2027-01-01
I000129,W017,C015,,8106,810,7296,1900,3800,16212,0.0015,0.37,26,2027-01-01
I000130,W018,C015,,8534,853,7681,1900,3800,17068,0.0015,0.37,66,2027-01-01
I000131,W019,C015,,7806,780,7026,1900,3800,15612,0.0015,0.37,82,2027-01-01
I000132,W020,C015,,8434,843,7591,1900,3800,16868,0.0015,0.37,47,2027-01-01
I000133,W021,C015,,8136,813,7323,1900,3800,16272,0.0015,0.37,90,2027-01-01
I000134,W022,C015,,7885,788,7097,1900,3800,15770,0.0015,0.37,30,2027-01-01
I000135,W023,C015,,8560,856,7704,1900,3800,17120,0.0015,0.37,100,2027-01-01
I000136,W016,C016,,20597,2059,18538,5100,10200,41194,0.0016,0.39,109,2027-01-01
I000137,W017,C016,,20965,2096,18869,5100,10200,41930,0.0016,0.39,9,2027-01-01
I000138,W018,C016,,20880,2088,18792,5100,10200,41760,0.0016,0.39,58,2027-01-01
I000139,W019,C016,,21220,2122,19098,5100,10200,42440,0.0016,0.39,22,2027-01-01
I000140,W020,C016,,20689,2068,18621,5100,10200,41378,0.0016,0.39,29,2027-01-01
I000141,W021,C016,,20563,2056,18507,5100,10200,41126,0.0016,0.39,44,2027-01-01
I000142,W022,C016,,21194,2119,19075,5100,10200,42388,0.0016,0.39,86,2027-01-01
I000143,W023,C016,,20836,2083,18753,5100,10200,41672,0.0016,0.39,62,2027-01-01
I000144,W024,C016,,20955,2095,18860,5100,10200,41910,0.0016,0.39,91,2027-01-01
I000145,W017,C017,,11318,1131,10187,2800,5600,22636,0.0016,0.41,76,2027-01-01
I000146,W018,C017,,11566,1156,10410,2800,5600,23132,0.0016,0.41,26,2027-01-01
I000147,W019,C017,,12157,1215,10942,2800,5600,24314,0.0016,0.41,51,2027-01-01
I000148,W020,C017,,11727,1172,10555,2800,5600,23454,0.0016,0.41,61,2027-01-01
I000149,W021,C017,,11308,1130,10178,2800,5600,22616,0.0016,0.41,76,2027-01-01
I000150,W022,C017,,12111,1211,10900,2800,5600,24222,0.0016,0.41,103,2027-01-01
I000151,W023,C017,,12079,1207,10872,2800,5600,24158,0.0016,0.41,44,2027-01-01
I000152,W024,C017,,11842,1184,10658,2800,5600,23684,0.0016,0.41,44,2027-01-01
I000153,W025,C017,,11373,1137,10236,2800,5600,22746,0.0016,0.41,28,2027-01-01
I000154,W018,C018,,9995,999,8996,2400,4800,19990,0.0017,0.43,70,2027-01-01
I000155,W019,C018,,10227,1022,9205,2400,4800,20454,0.0017,0.43,98,2027-01-01
I000156,W020,C018,,10337,1033,9304,2400,4800,20674,0.0017,0.43,22,2027-01-01
I000157,W021,C018,,10140,1014,9126,2400,4800,20280,0.0017,0.43,81,2027-01-01
I000158,W022,C018,,10045,1004,9041,2400,4800,20090,0.0017,0.43,113,2027-01-01
I000159,W023,C018,,10250,1025,9225,2400,4800,20500,0.0017,0.43,98,2027-01-01
I000160,W024,C018,,9833,983,8850,2400,4800,19666,0.0017,0.43,35,2027-01-01
I000161,W025,C018,,9885,988,8897,2400,4800,19770,0.0017,0.43,83,2027-01-01
I000162,W026,C018,,9930,993,8937,2400,4800,19860,0.0017,0.43,99,2027-01-01
I000163,W019,C019,,4187,418,3769,800,1600,8374,0.0018,0.46,5,2027-01-01
I000164,W020,C019,,3532,353,3179,800,1600,7064,0.0018,0.46,30,2027-01-01
I000165,W021,C019,,3503,350,3153,800,1600,7006,0.0018,0.46,65,2027-01-01
I000166,W022,C019,,3643,364,3279,800,1600,7286,0.0018,0.46,52,2027-01-01
I000167,W023,C019,,4098,409,3689,800,1600,8196,0.0018,0.46,107,2027-01-01
I000168,W024,C019,,3917,391,3526,800,1600,7834,0.0018,0.46,47,2027-01-01
I000169,W025,C019,,3759,375,3384,800,1600,7518,0.0018,0.46,1,2027-01-01
I000170,W026,C019,,3778,377,3401,800,1600,7556,0.0018,0.46,58,2027-01-01
I000171,W027,C019,,4048,404,3644,800,1600,8096,0.0018,0.46,48,2027-01-01
I000172,W020,C020,,8037,803,7234,1900,3800,16074,0.0019,0.48,37,2027-01-01
I000173,W021,C020,,7810,781,7029,1900,3800,15620,0.0019,0.48,115,2027-01-01
I000174,W022,C020,,8295,829,7466,1900,3800,16590,0.0019,0.48,109,2027-01-01
I000175,W023,C020,,8419,841,7578,1900,3800,16838,0.0019,0.48,111,2027-01-01
I000176,W024,C020,,7797,779,7018,1900,3800,15594,0.0019,0.48,88,2027-01-01
I000177,W025,C020,,8575,857,7718,1900,3800,17150,0.0019,0.48,69,2027-01-01
I000178,W026,C020,,7842,784,7058,1900,3800,15684,0.0019,0.48,76,2027-01-01
I000179,W027,C020,,8465,846,7619,1900,3800,16930,0.0019,0.48,112,2027-01-01
I000180,W028,C020,,7962,796,7166,1900,3800,15924,0.0019,0.48,85,2027-01-01
I000181,W021,C021,,14681,1468,13213,3500,7000,29362,0.002,0.5,65,2027-01-01
I000182,W022,C021,,14248,1424,12824,3500,7000,28496,0.002,0.5,7,2027-01-01
I000183,W023,C021,,14479,1447,13032,3500,7000,28958,0.002,0.5,33,2027-01-01
I000184,W024,C021,,14304,1430,12874,3500,7000,28608,0.002,0.5,74,2027-01-01
I000185,W025,C021,,14152,1415,12737,3500,7000,28304,0.002,0.5,82,2027-01-01
I000186,W026,C021,,14908,1490,13418,3500,7000,29816,0.002,0.5,33,2027-01-01
I000187,W027,C021,,14198,1419,12779,3500,7000,28396,0.002,0.5,64,2027-01-01
I000188,W028,C021,,14236,1423,12813,3500,7000,28472,0.002,0.5,42,2027-01-01
I000189,W029,C021,,14531,1453,13078,3500,7000,29062,0.002,0.5,16,2027-01-01
I000190,W022,C022,,30457,3045,27412,7500,15000,60914,0.0021,0.52,66,2027-01-01
I000191,W023,C022,,30166,3016,27150,7500,15000,60332,0.0021,0.52,1,2027-01-01
I000192,W024,C022,,30930,3093,27837,7500,15000,61860,0.0021,0.52,67,2027-01-01
I000193,W025,C022,,30982,3098,27884,7500,15000,61964,0.0021,0.52,104,2027-01-01
I000194,W026,C022,,30492,3049,27443,7500,15000,60984,0.0021,0.52,36,2027-01-01
I000195,W027,C022,,30523,3052,27471,7500,15000,61046,0.0021,0.52,110,2027-01-01
I000196,W028,C022,,30347,3034,27313,7500,15000,60694,0.0021,0.52,64,2027-01-01
I000197,W029,C022,,30476,3047,27429,7500,15000,60952,0.0021,0.52,5,2027-01-01
I000198,W030,C022,,30135,3013,27122,7500,15000,60270,0.0021,0.52,104,2027-01-01
I000199,W023,C023,,4703,470,4233,1100,2200,9406,0.0022,0.55,47,2027-01-01
I000200,W024,C023,,4793,479,4314,1100,2200,9586,0.0022,0.55,5,2027-01-01
I000201,W025,C023,,5127,512,4615,1100,2200,10254,0.0022,0.55,70,2027-01-01
I000202,W026,C023,,4760,476,4284,1100,2200,9520,0.0022,0.55,57,2027-01-01
I000203,W027,C023,,4995,499,4496,1100,2200,9990,0.0022,0.55,60,2027-01-01
I000204,W028,C023,,4740,474,4266,1100,2200,9480,0.0022,0.55,84,2027-01-01
I000205,W029,C023,,4840,484,4356,1100,2200,9680,0.0022,0.55,1,2027-01-01
I000206,W030,C023,,4794,479,4315,1100,2200,9588,0.0022,0.55,28,2027-01-01
I000207,W001,C023,,4593,459,4134,1100,2200,9186,0.0022,0.55,118,2027-01-01
I000208,W024,C024,,7840,784,7056,1900,3800,15680,0.0023,0.57,85,2027-01-01
I000209,W025,C024,,8539,853,7686,1900,3800,17078,0.0023,0.57,64,2027-01-01
I000210,W026,C024,,7773,777,6996,1900,3800,15546,0.0023,0.57,100,2027-01-01
I000211,W027,C024,,7982,798,7184,1900,3800,15964,0.0023,0.57,92,2027-01-01
I000212,W028,C024,,8016,801,7215,1900,3800,16032,0.0023,0.57,6,2027-01-01
I000213,W029,C024,,8120,812,7308,1900,3800,16240,0.0023,0.57,5,2027-01-01
I000214,W030,C024,,7765,776,6989,1900,3800,15530,0.0023,0.57,26,2027-01-01
I000215,W001,C024,,8173,817,7356,1900,3800,16346,0.0023,0.57,114,2027-01-01
I000216,W002,C024,,8209,820,7389,1900,3800,16418,0.0023,0.57,81,2027-01-01
I000217,W025,C025,,13736,1373,12363,3400,6800,27472,0.0024,0.59,31,2027-01-01
I000218,W026,C025,,13708,1370,12338,3400,6800,27416,0.0024,0.59,112,2027-01-01
I000219,W027,C025,,13773,1377,12396,3400,6800,27546,0.0024,0.59,80,2027-01-01
I000220,W028,C025,,13897,1389,12508,3400,6800,27794,0.0024,0.59,52,2027-01-01
I000221,W029,C025,,13700,1370,12330,3400,6800,27400,0.0024,0.59,78,2027-01-01
I000222,W030,C025,,13941,1394,12547,3400,6800,27882,0.0024,0.59,105,2027-01-01
I000223,W001,C025,,14324,1432,12892,3400,6800,28648,0.0024,0.59,24,2027-01-01
I000224,W002,C025,,14058,1405,12653,3400,6800,28116,0.0024,0.59,108,2027-01-01
I000225,W003,C025,,13835,1383,12452,3400,6800,27670,0.0024,0.59,43,2027-01-01
I000226,W026,C026,,29740,2974,26766,7400,14800,59480,0.0024,0.61,5,2027-01-01
I000227,W027,C026,,29772,2977,26795,7400,14800,59544,0.0024,0.61,17,2027-01-01
I000228,W028,C026,,30122,3012,27110,7400,14800,60244,0.0024,0.61,46,2027-01-01
I000229,W029,C026,,30430,3043,27387,7400,14800,60860,0.0024,0.61,34,2027-01-01
I000230,W030,C026,,30545,3054,27491,7400,14800,61090,0.0024,0.61,120,2027-01-01
I000231,W001,C026,,30057,3005,27052,7400,14800,60114,0.0024,0.61,112,2027-01-01
I000232,W002,C026,,29888,2988,26900,7400,14800,59776,0.0024,0.61,7,2027-01-01
I000233,W003,C026,,29893,2989,26904,7400,14800,59786,0.0024,0.61,36,2027-01-01
I000234,W004,C026,,29711,2971,26740,7400,14800,59422,0.0024,0.61,21,2027-01-01
I000235,W027,C027,,25543,2554,22989,6200,12400,51086,0.0025,0.64,118,2027-01-01
I000236,W028,C027,,25212,2521,22691,6200,12400,50424,0.0025,0.64,74,2027-01-01
I000237,W029,C027,,25566,2556,23010,6200,12400,51132,0.0025,0.64,1,2027-01-01
I000238,W030,C027,,25025,2502,22523,6200,12400,50050,0.0025,0.64,8,2027-01-01
I000239,W001,C027,,25541,2554,22987,6200,12400,51082,0.0025,0.64,67,2027-01-01
I000240,W002,C027,,25341,2534,22807,6200,12400,50682,0.0025,0.64,105,2027-01-01
I000241,W003,C027,,24933,2493,22440,6200,12400,49866,0.0025,0.64,21,2027-01-01
I000242,W004,C027,,25070,2507,22563,6200,12400,50140,0.0025,0.64,44,2027-01-01
I000243,W005,C027,,25090,2509,22581,6200,12400,50180,0.0025,0.64,119,2027-01-01
I000244,W028,C028,,25996,2599,23397,6400,12800,51992,0.0026,0.66,60,2027-01-01
I000245,W029,C028,,25887,2588,23299,6400,12800,51774,0.0026,0.66,13,2027-01-01
I000246,W030,C028,,26258,2625,23633,6400,12800,52516,0.0026,0.66,26,2027-01-01
I000247,W001,C028,,25872,2587,23285,6400,12800,51744,0.0026,0.66,63,2027-01-01
I000248,W002,C028,,26415,2641,23774,6400,12800,52830,0.0026,0.66,99,2027-01-01
I000249,W003,C028,,25760,2576,23184,6400,12800,51520,0.0026,0.66,120,2027-01-01
I000250,W004,C028,,25733,2573,23160,6400,12800,51466,0.0026,0.66,47,2027-01-01
I000251,W005,C028,,25730,2573,23157,6400,12800,51460,0.0026,0.66,42,2027-01-01
I000252,W006,C028,,26582,2658,23924,6400,12800,53164,0.0026,0.66,39,2027-01-01
I000253,W029,C029,,16524,1652,14872,4100,8200,33048,0.0027,0.68,61,2027-01-01
I000254,W030,C029,,16839,1683,15156,4100,8200,33678,0.0027,0.68,54,2027-01-01
I000255,W001,C029,,16550,1655,14895,4100,8200,33100,0.0027,0.68,9,2027-01-01
I000256,W002,C029,,16876,1687,15189,4100,8200,33752,0.0027,0.68,80,2027-01-01
I000257,W003,C029,,16504,1650,14854,4100,8200,33008,0.0027,0.68,60,2027-01-01
I000258,W004,C029,,16940,1694,15246,4100,8200,33880,0.0027,0.68,40,2027-01-01
I000259,W005,C029,,16810,1681,15129,4100,8200,33620,0.0027,0.68,74,2027-01-01
I000260,W006,C029,,16506,1650,14856,4100,8200,33012,0.0027,0.68,13,2027-01-01
I000261,W007,C029,,16876,1687,15189,4100,8200,33752,0.0027,0.68,31,2027-01-01
I000262,W030,C030,,4710,471,4239,1100,2200,9420,0.0028,0.7,2,2027-01-01
I000263,W001,C030,,5223,522,4701,1100,2200,10446,0.0028,0.7,102,2027-01-01
I000264,W002,C030,,4679,467,4212,1100,2200,9358,0.0028,0.7,95,2027-01-01
I000265,W003,C030,,5393,539,4854,1100,2200,10786,0.0028,0.7,48,2027-01-01
I000266,W004,C030,,5384,538,4846,1100,2200,10768,0.0028,0.7,18,2027-01-01
I000267,W005,C030,,5045,504,4541,1100,2200,10090,0.0028,0.7,88,2027-01-01
I000268,W006,C030,,5345,534,4811,1100,2200,10690,0.0028,0.7,96,2027-01-01
I000269,W007,C030,,5155,515,4640,1100,2200,10310,0.0028,0.7,119,2027-01-01
I000270,W008,C030,,5075,507,4568,1100,2200,10150,0.0028,0.7,107,2027-01-01
I000271,W001,C031,,15711,1571,14140,3800,7600,31422,0.0029,0.73,53,2027-01-01
I000272,W002,C031,,15902,1590,14312,3800,7600,31804,0.0029,0.73,107,2027-01-01
I000273,W003,C031,,15983,1598,14385,3800,7600,31966,0.0029,0.73,42,2027-01-01
I000274,W004,C031,,15610,1561,14049,3800,7600,31220,0.0029,0.73,108,2027-01-01
I000275,W005,C031,,15589,1558,14031,3800,7600,31178,0.0029,0.73,115,2027-01-01
I000276,W006,C031,,15619,1561,14058,3800,7600,31238,0.0029,0.73,59,2027-01-01
I000277,W007,C031,,15417,1541,13876,3800,7600,30834,0.0029,0.73,61,2027-01-01
I000278,W008,C031,,15551,1555,13996,3800,7600,31102,0.0029,0.73,81,2027-01-01
I000279,W009,C031,,15851,1585,14266,3800,7600,31702,0.0029,0.73,43,2027-01-01
I000280,W002,C032,,6576,657,5919,1600,3200,13152,0.003,0.75,6,2027-01-01
I000281,W003,C032,,6907,690,6217,1600,3200,13814,0.003,0.75,120,2027-01-01
I000282,W004,C032,,7063,706,6357,1600,3200,14126,0.003,0.75,94,2027-01-01
I000283,W005,C032,,6744,674,6070,1600,3200,13488,0.003,0.75,68,2027-01-01
I000284,W006,C032,,6753,675,6078,1600,3200,13506,0.003,0.75,19,2027-01-01
I000285,W007,C032,,6908,690,6218,1600,3200,13816,0.003,0.75,114,2027-01-01
I000286,W008,C032,,6541,654,5887,1600,3200,13082,0.003,0.75,27,2027-01-01
I000287,W009,C032,,6844,684,6160,1600,3200,13688,0.003,0.75,107,2027-01-01
I000288,W010,C032,,7241,724,6517,1600,3200,14482,0.003,0.75,82,2027-01-01
I000289,W003,C033,,17759,1775,15984,4400,8800,35518,0.0031,0.77,81,2027-01-01
I000290,W004,C033,,17810,1781,16029,4400,8800,35620,0.0031,0.77,39,2027-01-01
I000291,W005,C033,,18525,1852,16673,4400,8800,37050,0.0031,0.77,84,2027-01-01
I000292,W006,C033,,18201,1820,16381,4400,8800,36402,0.0031,0.77,77,2027-01-01
I000293,W007,C033,,18176,1817,16359,4400,8800,36352,0.0031,0.77,4,2027-01-01
I000294,W008,C033,,18038,1803,16235,4400,8800,36076,0.0031,0.77,75,2027-01-01
I000295,W009,C033,,18558,1855,16703,4400,8800,37116,0.0031,0.77,83,2027-01-01
I000296,W010,C033,,18258,1825,16433,4400,8800,36516,0.0031,0.77,28,2027-01-01
