disruption_id,scenario_id,entity_id,entity_type,disruption_type,start_time,duration_days,severity,probability,capacity_loss_percent,delay_days,affected_quantity,recovery_time_days,root_cause
D000022,SC00006,C142,Component,Material_Shortage,2027-01-03,10,0.2586,1.0,25.86,10,1604,10,Component shortage
D000023,SC00006,F006,Factory,Factory_Breakdown,2027-01-05,13,0.8747,1.0,87.47,13,3281,13,Equipment failure
D000024,SC00006,R0143,Route,Transportation_Disruption,2027-01-07,14,0.4356,1.0,43.56,14,3376,14,Road closure
D000025,SC00007,S010,Supplier,Supplier_Failure,2027-01-01,2,0.5464,1.0,54.64,2,1093,2,Supplier outage
D000026,SC00007,C184,Component,Material_Shortage,2027-01-03,6,0.3552,1.0,35.52,6,3020,6,Component shortage
D000027,SC00007,F007,Factory,Factory_Breakdown,2027-01-05,4,0.3722,1.0,37.22,4,1024,4,Equipment failure
D000028,SC00007,R0016,Route,Transportation_Disruption,2027-01-07,4,0.6762,1.0,67.62,4,6762,4,Road closure
D000029,SC00008,S020,Supplier,Supplier_Failure,2027-01-01,4,0.517,1.0,51.7,4,517,4,Supplier outage
D000030,SC00008,C296,Component,Material_Shortage,2027-01-03,6,0.6173,1.0,61.73,6,5248,6,Component shortage
D000031,SC00008,F008,Factory,Factory_Breakdown,2027-01-05,6,0.8968,1.0,89.68,6,5471,6,Equipment failure
D000032,SC00008,R0194,Route,Transportation_Disruption,2027-01-07,12,0.3011,1.0,30.11,12,904,12,Road closure
D000033,SC00009,S088,Supplier,Supplier_Failure,2027-01-01,8,0.4203,1.0,42.03,8,3783,8,Supplier outage
D000034,SC00009,C302,Component,Material_Shortage,2027-01-03,9,0.3565,1.0,35.65,9,2246,9,Component shortage
D000035,SC00009,F009,Factory,Factory_Breakdown,2027-01-05,6,0.4655,1.0,46.55,6,1304,6,Equipment failure
D000036,SC00009,R0006,Route,Transportation_Disruption,2027-01-07,14,0.8861,1.0,88.61,14,4209,14,Road closure
D000037,SC00010,S009,Supplier,Supplier_Failure,2027-01-01,2,0.4556,1.0,45.56,2,4443,2,Supplier outage
D000038,SC00010,C176,Component,Material_Shortage,2027-01-03,6,0.4014,1.0,40.14,6,1887,6,Component shortage
D000039,SC00010,F010,Factory,Factory_Breakdown,2027-01-05,6,0.2719,1.0,27.19,6,2040,6,Equipment failure
D000040,SC00010,R0199,Route,Transportation_Disruption,2027-01-07,5,0.5086,1.0,50.86,5,2976,5,Road closure
D000041,SC00011,S061,Supplier,Supplier_Failure,2027-01-01,11,0.2288,1.0,22.88,11,1350,11,Supplier outage
D000042,SC00011,C382,Component,Material_Shortage,2027-01-03,3,0.7254,1.0,72.54,3,5441,3,Component shortage
D000043,SC00011,F011,Factory,Factory_Breakdown,2027-01-05,4,0.8777,1.0,87.77,4,5267,4,Equipment failure
D000044,SC00011,R0005,Route,Transportation_Disruption,2027-01-07,12,0.5173,1.0,51.73,12,2328,12,Road closure
D000045,SC00012,S081,Supplier,Supplier_Failure,2027-01-01,8,0.6913,1.0,69.13,8,6602,8,Supplier outage
D000046,SC00012,C207,Component,Material_Shortage,2027-01-03,4,0.1787,1.0,17.87,4,805,4,Component shortage
D000047,SC00012,F012,Factory,Factory_Breakdown,2027-01-05,7,0.1847,1.0,18.47,7,250,7,Equipment failure
D000048,SC00012,R0147,Route,Transportation_Disruption,2027-01-07,12,0.4772,1.0,47.72,12,1623,12,Road closure
D000049,SC00013,S055,Supplier,Supplier_Failure,2027-01-01,7,0.1614,1.0,16.14,7,444,7,Supplier outage
D000050,SC00013,C469,Component,Material_Shortage,2027-01-03,6,0.2012,1.0,20.12,6,544,6,Component shortage
D000051,SC00013,F013,Factory,Factory_Breakdown,2027-01-05,12,0.7901,1.0,79.01,12,6321,12,Equipment failure
D000052,SC00013,R0137,Route,Transportation_Disruption,2027-01-07,7,0.7205,1.0,72.05,7,6629,7,Road closure
D000053,SC00014,S023,Supplier,Supplier_Failure,2027-01-01,12,0.7386,1.0,73.86,12,5540,12,Supplier outage
D000054,SC00014,C346,Component,Material_Shortage,2027-01-03,3,0.6633,1.0,66.33,3,6633,3,Component shortage
D000055,SC00014,F014,Factory,Factory_Breakdown,2027-01-05,9,0.463,1.0,46.3,9,3010,9,Equipment failure
D000056,SC00014,R0091,Route,Transportation_Disruption,2027-01-07,6,0.7258,1.0,72.58,6,5807,6,Road closure
D000057,SC00015,S036,Supplier,Supplier_Failure,2027-01-01,11,0.705,1.0,70.5,11,6804,11,Supplier outage
D000058,SC00015,C249,Component,Material_Shortage,2027-01-03,6,0.1692,1.0,16.92,6,1337,6,Component shortage
D000059,SC00015,F015,Factory,Factory_Breakdown,2027-01-05,5,0.1795,1.0,17.95,5,216,5,Equipment failure
D000060,SC00015,R0049,Route,Transportation_Disruption,2027-01-07,12,0.4424,1.0,44.24,12,664,12,Road closure
D000061,SC00016,S058,Supplier,Supplier_Failure,2027-01-01,8,0.6998,1.0,69.98,8,5599,8,Supplier outage
D000062,SC00016,C129,Component,Material_Shortage,2027-01-03,5,0.8934,1.0,89.34,5,3574,5,Component shortage
D000063,SC00016,F016,Factory,Factory_Breakdown,2027-01-05,3,0.222,1.0,22.2,3,1554,3,Equipment failure
D000064,SC00016,R0112,Route,Transportation_Disruption,2027-01-07,7,0.5486,1.0,54.86,7,988,7,Road closure
D000065,SC00017,S059,Supplier,Supplier_Failure,2027-01-01,12,0.3896,1.0,38.96,12,2922,12,Supplier outage
D000066,SC00017,C359,Component,Material_Shortage,2027-01-03,3,0.3126,1.0,31.26,3,2970,3,Component shortage
D000067,SC00017,F017,Factory,Factory_Breakdown,2027-01-05,7,0.6088,1.0,60.88,7,914,7,Equipment failure
D000068,SC00017,R0036,Route,Transportation_Disruption,2027-01-07,11,0.8435,1.0,84.35,11,7508,11,Road closure
D000069,SC00018,S048,Supplier,Supplier_Failure,2027-01-01,14,0.4655,1.0,46.55,14,1141,14,Supplier outage
D000070,SC00018,C009,Component,Material_Shortage,2027-01-03,2,0.3596,1.0,35.96,2,3057,2,Component shortage
D000071,SC00018,F018,Factory,Factory_Breakdown,2027-01-05,13,0.3936,1.0,39.36,13,3936,13,Equipment failure
D000072,SC00018,R0017,Route,Transportation_Disruption,2027-01-07,9,0.6399,1.0,63.99,9,6399,9,Road closure
D000073,SC00019,S029,Supplier,Supplier_Failure,2027-01-01,4,0.2052,1.0,20.52,4,1950,4,Supplier outage
D000074,SC00019,C140,Component,Material_Shortage,2027-01-03,7,0.5806,1.0,58.06,7,581,7,Component shortage
D000075,SC00019,F019,Factory,Factory_Breakdown,2027-01-05,12,0.8291,1.0,82.91,12,166,12,Equipment failure
D000076,SC00019,R0064,Route,Transportation_Disruption,2027-01-07,2,0.5173,1.0,51.73,2,5173,2,Road closure
D000077,SC00020,S039,Supplier,Supplier_Failure,2027-01-01,7,0.2309,1.0,23.09,7,1155,7,Supplier outage
D000078,SC00020,C381,Component,Material_Shortage,2027-01-03,3,0.6211,1.0,62.11,3,5280,3,Component shortage
D000079,SC00020,F020,Factory,Factory_Breakdown,2027-01-05,9,0.8413,1.0,84.13,9,8203,9,Equipment failure
D000080,SC00020,R0154,Route,Transportation_Disruption,2027-01-07,13,0.1893,1.0,18.93,13,1278,13,Road closure
D000081,SC00021,S062,Supplier,Supplier_Failure,2027-01-01,13,0.7314,1.0,73.14,13,3658,13,Supplier outage
D000082,SC00021,C392,Component,Material_Shortage,2027-01-03,11,0.8409,1.0,84.09,11,4878,11,Component shortage
D000083,SC00021,F001,Factory,Factory_Breakdown,2027-01-05,11,0.3428,1.0,34.28,11,1509,11,Equipment failure
D000084,SC00021,R0026,Route,Transportation_Disruption,2027-01-07,3,0.5606,1.0,56.06,3,2691,3,Road closure
D000085,SC00022,S066,Supplier,Supplier_Failure,2027-01-01,14,0.5646,1.0,56.46,14,2428,14,Supplier outage
D000086,SC00022,C232,Component,Material_Shortage,2027-01-03,10,0.2932,1.0,29.32,10,880,10,Component shortage
D000087,SC00022,F002,Factory,Factory_Breakdown,2027-01-05,14,0.6225,1.0,62.25,14,3362,14,Equipment failure
D000088,SC00022,R0038,Route,Transportation_Disruption,2027-01-07,11,0.5615,1.0,56.15,11,562,11,Road closure
D000089,SC00023,S008,Supplier,Supplier_Failure,2027-01-01,2,0.524,1.0,52.4,2,3668,2,Supplier outage
D000090,SC00023,C215,Component,Material_Shortage,2027-01-03,10,0.7117,1.0,71.17,10,6690,10,Component shortage
D000091,SC00023,F003,Factory,Factory_Breakdown,2027-01-05,5,0.8019,1.0,80.19,5,4571,5,Equipment failure
D000092,SC00023,R0102,Route,Transportation_Disruption,2027-01-07,12,0.2764,1.0,27.64,12,1935,12,Road closure
D000093,SC00024,S006,Supplier,Supplier_Failure,2027-01-01,4,0.2948,1.0,29.48,4,1474,4,Supplier outage
D000094,SC00024,C304,Component,Material_Shortage,2027-01-03,7,0.3205,1.0,32.05,7,2805,7,Component shortage
D000095,SC00024,F004,Factory,Factory_Breakdown,2027-01-05,13,0.2712,1.0,27.12,13,814,13,Equipment failure
D000096,SC00024,R0088,Route,Transportation_Disruption,2027-01-07,3,0.4143,1.0,41.43,3,2693,3,Road closure
D000097,SC00025,S084,Supplier,Supplier_Failure,2027-01-01,14,0.6254,1.0,62.54,14,4847,14,Supplier outage
D000098,SC00025,C284,Component,Material_Shortage,2027-01-03,4,0.7658,1.0,76.58,4,4978,4,Component shortage
D000099,SC00025,F005,Factory,Factory_Breakdown,2027-01-05,3,0.2427,1.0,24.27,3,2427,3,Equipment failure
D000100,SC00025,R0123,Route,Transportation_Disruption,2027-01-07,13,0.6911,1.0,69.11,13,4147,13,Road closure
D000101,SC00026,S028,Supplier,Supplier_Failure,2027-01-01,9,0.849,1.0,84.9,9,43,9,Supplier outage
D000102,SC00026,C293,Component,Material_Shortage,2027-01-03,3,0.736,1.0,73.6,3,1178,3,Component shortage
D000103,SC00026,F006,Factory,Factory_Breakdown,2027-01-05,5,0.5025,1.0,50.25,5,1759,5,Equipment failure
D000104,SC00026,R0107,Route,Transportation_Disruption,2027-01-07,9,0.4012,1.0,40.12,9,402,9,Road closure
D000105,SC00027,S095,Supplier,Supplier_Failure,2027-01-01,13,0.6591,1.0,65.91,13,6591,13,Supplier outage
D000106,SC00027,C395,Component,Material_Shortage,2027-01-03,5,0.4715,1.0,47.15,5,118,5,Component shortage
D000107,SC00027,F007,Factory,Factory_Breakdown,2027-01-05,13,0.5069,1.0,50.69,13,3549,13,Equipment failure
D000108,SC00027,R0019,Route,Transportation_Disruption,2027-01-07,11,0.2523,1.0,25.23,11,1262,11,Road closure
D000109,SC00028,S097,Supplier,Supplier_Failure,2027-01-01,9,0.2741,1.0,27.41,9,1590,9,Supplier outage
D000110,SC00028,C278,Component,Material_Shortage,2027-01-03,2,0.5559,1.0,55.59,2,112,2,Component shortage
D000111,SC00028,F008,Factory,Factory_Breakdown,2027-01-05,12,0.6165,1.0,61.65,12,679,12,Equipment failure
D000112,SC00028,R0189,Route,Transportation_Disruption,2027-01-07,2,0.3161,1.0,31.61,2,2419,2,Road closure
D000113,SC00029,S065,Supplier,Supplier_Failure,2027-01-01,9,0.4404,1.0,44.04,9,3127,9,Supplier outage
D000114,SC00029,C365,Component,Material_Shortage,2027-01-03,13,0.3555,1.0,35.55,13,1245,13,Component shortage
D000115,SC00029,F009,Factory,Factory_Breakdown,2027-01-05,10,0.7053,1.0,70.53,10,5114,10,Equipment failure
D000116,SC00029,R0129,Route,Transportation_Disruption,2027-01-07,3,0.2506,1.0,25.06,3,2093,3,Road closure
D000117,SC00030,S005,Supplier,Supplier_Failure,2027-01-01,7,0.3867,1.0,38.67,7,1083,7,Supplier outage
D000118,SC00030,C009,Component,Material_Shortage,2027-01-03,4,0.4201,1.0,42.01,4,2206,4,Component shortage
D000119,SC00030,F010,Factory,Factory_Breakdown,2027-01-05,3,0.3025,1.0,30.25,3,1831,3,Equipment failure
D000120,SC00030,R0018,Route,Transportation_Disruption,2027-01-07,10,0.1812,1.0,18.12,10,1812,10,Road closure
D000121,SC00031,S022,Supplier,Supplier_Failure,2027-01-01,4,0.2174,1.0,21.74,4,1196,4,Supplier outage
D000122,SC00031,C186,Component,Material_Shortage,2027-01-03,12,0.5458,1.0,54.58,12,4503,12,Component shortage
D000123,SC00031,F011,Factory,Factory_Breakdown,2027-01-05,8,0.8509,1.0,85.09,8,3617,8,Equipment failure
D000124,SC00031,R0192,Route,Transportation_Disruption,2027-01-07,12,0.7827,1.0,78.27,12,6497,12,Road closure
D000125,SC00032,S081,Supplier,Supplier_Failure,2027-01-01,4,0.7687,1.0,76.87,4,2691,4,Supplier outage
D000126,SC00032,C481,Component,Material_Shortage,2027-01-03,4,0.7459,1.0,74.59,4,6714,4,Component shortage
D000127,SC00032,F012,Factory,Factory_Breakdown,2027-01-05,13,0.4947,1.0,49.47,13,2721,13,Equipment failure
D000128,SC00032,R0197,Route,Transportation_Disruption,2027-01-07,13,0.8139,1.0,81.39,13,2442,13,Road closure
D000129,SC00033,S037,Supplier,Supplier_Failure,2027-01-01,5,0.2818,1.0,28.18,5,2283,5,Supplier outage
D000130,SC00033,C317,Component,Material_Shortage,2027-01-03,11,0.348,1.0,34.8,11,870,11,Component shortage
D000131,SC00033,F013,Factory,Factory_Breakdown,2027-01-05,11,0.3708,1.0,37.08,11,297,11,Equipment failure
D000132,SC00033,R0110,Route,Transportation_Disruption,2027-01-07,9,0.75,1.0,75.0,9,3750,9,Road closure
D000133,SC00034,S046,Supplier,Supplier_Failure,2027-01-01,7,0.5747,1.0,57.47,7,3018,7,Supplier outage
D000134,SC00034,C423,Component,Material_Shortage,2027-01-03,7,0.5752,1.0,57.52,7,1266,7,Component shortage
D000135,SC00034,F014,Factory,Factory_Breakdown,2027-01-05,14,0.602,1.0,60.2,14,2348,14,Equipment failure
D000136,SC00034,R0053,Route,Transportation_Disruption,2027-01-07,13,0.8192,1.0,81.92,13,7783,13,Road closure
D000137,SC00035,S035,Supplier,Supplier_Failure,2027-01-01,9,0.4493,1.0,44.93,9,674,9,Supplier outage
D000138,SC00035,C225,Component,Material_Shortage,2027-01-03,7,0.4672,1.0,46.72,7,328,7,Component shortage
D000139,SC00035,F015,Factory,Factory_Breakdown,2027-01-05,3,0.6527,1.0,65.27,3,5059,3,Equipment failure
D000140,SC00035,R0097,Route,Transportation_Disruption,2027-01-07,2,0.7095,1.0,70.95,2,4612,2,Road closure
D000141,SC00036,S012,Supplier,Supplier_Failure,2027-01-01,11,0.2829,1.0,28.29,11,1415,11,Supplier outage
D000142,SC00036,C129,Component,Material_Shortage,2027-01-03,12,0.2325,1.0,23.25,12,698,12,Component shortage
D000143,SC00036,F016,Factory,Factory_Breakdown,2027-01-05,3,0.6102,1.0,61.02,3,1984,3,Equipment failure
D000144,SC00036,R0132,Route,Transportation_Disruption,2027-01-07,5,0.2882,1.0,28.82,5,1182,5,Road closure
D000145,SC00037,S018,Supplier,Supplier_Failure,2027-01-01,9,0.4443,1.0,44.43,9,3733,9,Supplier outage
D000146,SC00037,C290,Component,Material_Shortage,2027-01-03,4,0.7155,1.0,71.55,4,3041,4,Component shortage
D000147,SC00037,F017,Factory,Factory_Breakdown,2027-01-05,13,0.5357,1.0,53.57,13,3483,13,Equipment failure
D000148,SC00037,R0118,Route,Transportation_Disruption,2027-01-07,3,0.4705,1.0,47.05,3,4235,3,Road closure
D000149,SC00038,S060,Supplier,Supplier_Failure,2027-01-01,3,0.6012,1.0,60.12,3,3157,3,Supplier outage
D000150,SC00038,C324,Component,Material_Shortage,2027-01-03,3,0.5503,1.0,55.03,3,1046,3,Component shortage
D000151,SC00038,F018,Factory,Factory_Breakdown,2027-01-05,3,0.284,1.0,28.4,3,1988,3,Equipment failure
D000152,SC00038,R0047,Route,Transportation_Disruption,2027-01-07,8,0.4905,1.0,49.05,8,2453,8,Road closure
D000153,SC00039,S064,Supplier,Supplier_Failure,2027-01-01,7,0.4528,1.0,45.28,7,3623,7,Supplier outage
D000154,SC00039,C004,Component,Material_Shortage,2027-01-03,13,0.2323,1.0,23.23,13,1685,13,Component shortage
D000155,SC00039,F019,Factory,Factory_Breakdown,2027-01-05,12,0.3911,1.0,39.11,12,998,12,Equipment failure
D000156,SC00039,R0127,Route,Transportation_Disruption,2027-01-07,9,0.6692,1.0,66.92,9,6692,9,Road closure
D000157,SC00040,S081,Supplier,Supplier_Failure,2027-01-01,4,0.8747,1.0,87.47,4,2187,4,Supplier outage
D000158,SC00040,C052,Component,Material_Shortage,2027-01-03,9,0.2831,1.0,28.31,9,595,9,Component shortage
D000159,SC00040,F020,Factory,Factory_Breakdown,2027-01-05,10,0.5901,1.0,59.01,10,5311,10,Equipment failure
D000160,SC00040,R0141,Route,Transportation_Disruption,2027-01-07,10,0.645,1.0,64.5,10,4838,10,Road closure
D000161,SC00041,S092,Supplier,Supplier_Failure,2027-01-01,7,0.7478,1.0,74.78,7,2618,7,Supplier outage
D000162,SC00041,C138,Component,Material_Shortage,2027-01-03,12,0.3641,1.0,36.41,12,3277,12,Component shortage
D000163,SC00041,F001,Factory,Factory_Breakdown,2027-01-05,2,0.616,1.0,61.6,2,3204,2,Equipment failure
D000164,SC00041,R0183,Route,Transportation_Disruption,2027-01-07,7,0.194,1.0,19.4,7,1378,7,Road closure
D000165,SC00042,S079,Supplier,Supplier_Failure,2027-01-01,8,0.4706,1.0,47.06,8,2518,8,Supplier outage
D000166,SC00042,C389,Component,Material_Shortage,2027-01-03,2,0.3703,1.0,37.03,2,149,2,Component shortage
D000167,SC00042,F002,Factory,Factory_Breakdown,2027-01-05,5,0.3336,1.0,33.36,5,2085,5,Equipment failure
D000168,SC00042,R0001,Route,Transportation_Disruption,2027-01-07,6,0.4974,1.0,49.74,6,747,6,Road closure
D000169,SC00043,S011,Supplier,Supplier_Failure,2027-01-01,13,0.7742,1.0,77.42,13,4878,13,Supplier outage
D000170,SC00043,C151,Component,Material_Shortage,2027-01-03,6,0.8395,1.0,83.95,6,3358,6,Component shortage
D000171,SC00043,F003,Factory,Factory_Breakdown,2027-01-05,6,0.6434,1.0,64.34,6,5791,6,Equipment failure
D000172,SC00043,R0176,Route,Transportation_Disruption,2027-01-07,14,0.2648,1.0,26.48,14,1113,14,Road closure
D000173,SC00044,S006,Supplier,Supplier_Failure,2027-01-01,2,0.4745,1.0,47.45,2,1898,2,Supplier outage
D000174,SC00044,C004,Component,Material_Shortage,2027-01-03,10,0.562,1.0,56.2,10,3513,10,Component shortage
D000175,SC00044,F004,Factory,Factory_Breakdown,2027-01-05,11,0.6381,1.0,63.81,11,5743,11,Equipment failure
D000176,SC00044,R0040,Route,Transportation_Disruption,2027-01-07,6,0.4237,1.0,42.37,6,3814,6,Road closure
D000177,SC00045,S068,Supplier,Supplier_Failure,2027-01-01,5,0.3715,1.0,37.15,5,2787,5,Supplier outage
D000178,SC00045,C210,Component,Material_Shortage,2027-01-03,5,0.6217,1.0,62.17,5,1244,5,Component shortage
D000179,SC00045,F005,Factory,Factory_Breakdown,2027-01-05,11,0.5012,1.0,50.12,11,2256,11,Equipment failure
D000180,SC00045,R0020,Route,Transportation_Disruption,2027-01-07,13,0.7619,1.0,76.19,13,1143,13,Road closure
D000181,SC00046,S028,Supplier,Supplier_Failure,2027-01-01,9,0.5273,1.0,52.73,9,950,9,Supplier outage
D000182,SC00046,C072,Component,Material_Shortage,2027-01-03,11,0.6532,1.0,65.32,11,6206,11,Component shortage
D000183,SC00046,F006,Factory,Factory_Breakdown,2027-01-05,6,0.7002,1.0,70.02,6,4027,6,Equipment failure
D000184,SC00046,R0055,Route,Transportation_Disruption,2027-01-07,10,0.3697,1.0,36.97,10,1017,10,Road closure
D000185,SC00047,S091,Supplier,Supplier_Failure,2027-01-01,6,0.882,1.0,88.2,6,177,6,Supplier outage
D000186,SC00047,C191,Component,Material_Shortage,2027-01-03,5,0.5483,1.0,54.83,5,768,5,Component shortage
D000187,SC00047,F007,Factory,Factory_Breakdown,2027-01-05,14,0.5307,1.0,53.07,14,5307,14,Equipment failure
D000188,SC00047,R0190,Route,Transportation_Disruption,2027-01-07,5,0.6494,1.0,64.94,5,2111,5,Road closure
D000189,SC00048,S097,Supplier,Supplier_Failure,2027-01-01,3,0.5027,1.0,50.27,3,2263,3,Supplier outage
D000190,SC00048,C278,Component,Material_Shortage,2027-01-03,6,0.5855,1.0,58.55,6,4743,6,Component shortage
D000191,SC00048,F008,Factory,Factory_Breakdown,2027-01-05,11,0.8623,1.0,86.23,11,7589,11,Equipment failure
D000192,SC00048,R0200,Route,Transportation_Disruption,2027-01-07,10,0.7522,1.0,75.22,10,4739,10,Road closure
D000193,SC00049,S053,Supplier,Supplier_Failure,2027-01-01,4,0.6241,1.0,62.41,4,1186,4,Supplier outage
D000194,SC00049,C002,Component,Material_Shortage,2027-01-03,9,0.6192,1.0,61.92,9,2725,9,Component shortage
D000195,SC00049,F009,Factory,Factory_Breakdown,2027-01-05,13,0.3253,1.0,32.53,13,1627,13,Equipment failure
D000196,SC00049,R0175,Route,Transportation_Disruption,2027-01-07,5,0.8754,1.0,87.54,5,3502,5,Road closure
D000197,SC00050,S035,Supplier,Supplier_Failure,2027-01-01,6,0.548,1.0,54.8,6,4658,6,Supplier outage
D000198,SC00050,C053,Component,Material_Shortage,2027-01-03,2,0.5273,1.0,52.73,2,1266,2,Component shortage
D000199,SC00050,F010,Factory,Factory_Breakdown,2027-01-05,2,0.7136,1.0,71.36,2,4782,2,Equipment failure
D000200,SC00050,R0090,Route,Transportation_Disruption,2027-01-07,5,0.8032,1.0,80.32,5,4579,5,Road closure
D000201,SC00051,S082,Supplier,Supplier_Failure,2027-01-01,13,0.395,1.0,39.5,13,3259,13,Supplier outage
D000202,SC00051,C303,Component,Material_Shortage,2027-01-03,7,0.6714,1.0,67.14,7,336,7,Component shortage
D000203,SC00051,F011,Factory,Factory_Breakdown,2027-01-05,8,0.6535,1.0,65.35,8,1961,8,Equipment failure
D000204,SC00051,R0041,Route,Transportation_Disruption,2027-01-07,14,0.3016,1.0,30.16,14,1267,14,Road closure
D000205,SC00052,S081,Supplier,Supplier_Failure,2027-01-01,7,0.1674,1.0,16.74,7,235,7,Supplier outage
D000206,SC00052,C481,Component,Material_Shortage,2027-01-03,2,0.7716,1.0,77.16,2,7716,2,Component shortage
D000207,SC00052,F012,Factory,Factory_Breakdown,2027-01-05,2,0.5656,1.0,56.56,2,5487,2,Equipment failure
D000208,SC00052,R0136,Route,Transportation_Disruption,2027-01-07,8,0.3663,1.0,36.63,8,440,8,Road closure
D000209,SC00053,S076,Supplier,Supplier_Failure,2027-01-01,7,0.7382,1.0,73.82,7,5316,7,Supplier outage
D000210,SC00053,C248,Component,Material_Shortage,2027-01-03,13,0.5464,1.0,54.64,13,1640,13,Component shortage
D000211,SC00053,F013,Factory,Factory_Breakdown,2027-01-05,3,0.6002,1.0,60.02,3,1201,3,Equipment failure
D000212,SC00053,R0074,Route,Transportation_Disruption,2027-01-07,11,0.5155,1.0,51.55,11,4331,11,Road closure
D000213,SC00054,S023,Supplier,Supplier_Failure,2027-01-01,9,0.8368,1.0,83.68,9,6779,9,Supplier outage
D000214,SC00054,C427,Component,Material_Shortage,2027-01-03,10,0.7277,1.0,72.77,10,3275,10,Component shortage
D000215,SC00054,F014,Factory,Factory_Breakdown,2027-01-05,6,0.7154,1.0,71.54,6,2147,6,Equipment failure
D000216,SC00054,R0091,Route,Transportation_Disruption,2027-01-07,11,0.775,1.0,77.5,11,4495,11,Road closure
D000217,SC00055,S090,Supplier,Supplier_Failure,2027-01-01,4,0.7371,1.0,73.71,4,5160,4,Supplier outage
D000218,SC00055,C073,Component,Material_Shortage,2027-01-03,11,0.456,1.0,45.6,11,1232,11,Component shortage
D000219,SC00055,F015,Factory,Factory_Breakdown,2027-01-05,8,0.8304,1.0,83.04,8,831,8,Equipment failure
D000220,SC00055,R0072,Route,Transportation_Disruption,2027-01-07,5,0.7294,1.0,72.94,5,6638,5,Road closure
D000221,SC00056,S066,Supplier,Supplier_Failure,2027-01-01,2,0.4486,1.0,44.86,2,1660,2,Supplier outage
D000222,SC00056,C425,Component,Material_Shortage,2027-01-03,4,0.6793,1.0,67.93,4,3193,4,Component shortage
D000223,SC00056,F016,Factory,Factory_Breakdown,2027-01-05,5,0.4515,1.0,45.15,5,1468,5,Equipment failure
D000224,SC00056,R0084,Route,Transportation_Disruption,2027-01-07,9,0.4755,1.0,47.55,9,476,9,Road closure
D000225,SC00057,S090,Supplier,Supplier_Failure,2027-01-01,8,0.2423,1.0,24.23,8,2121,8,Supplier outage
D000226,SC00057,C213,Component,Material_Shortage,2027-01-03,12,0.8483,1.0,84.83,12,3224,12,Component shortage
D000227,SC00057,F017,Factory,Factory_Breakdown,2027-01-05,3,0.2615,1.0,26.15,3,2485,3,Equipment failure
D000228,SC00057,R0142,Route,Transportation_Disruption,2027-01-07,6,0.2925,1.0,29.25,6,2691,6,Road closure
D000229,SC00058,S024,Supplier,Supplier_Failure,2027-01-01,10,0.4223,1.0,42.23,10,2640,10,Supplier outage
