component_id,component_name,category,supplier_id,unit_cost,lead_time_days,minimum_order_qty,maximum_supply,criticality_score,substitutability_score,safety_stock_units,shelf_life_days,hazardous_flag
C229,PCB Module 229,PCB,S029,13.6,17,50,10000,0.8518,0.3033,3200,1825,False
C230,Memory Module 230,Memory,S030,14.05,26,500,10000,0.7061,0.5047,6800,1095,False
C231,Processor Module 231,Processor,S031,14.5,13,250,10000,0.6277,0.6273,2900,730,False
C232,Sensor Module 232,Sensor,S032,14.95,26,1000,10000,0.8409,0.7222,8000,1095,False
C233,Processor Module 233,Processor,S033,15.4,25,500,10000,0.7566,0.6641,1300,1095,False
C234,Processor Module 234,Processor,S034,15.85,8,500,10000,0.5259,0.0547,6300,1825,False
C235,Battery Module 235,Battery,S035,16.3,9,100,10000,0.9241,0.5941,3500,365,False
C236,Sensor Module 236,Sensor,S036,16.75,25,250,10000,0.8625,0.6201,1500,730,False
C237,PCB Module 237,PCB,S037,17.2,5,100,10000,0.5201,0.2783,5700,1095,False
C238,Display Module 238,Display,S038,17.65,3,1000,10000,0.4081,0.8117,7800,1095,False
C239,PCB Module 239,PCB,S039,18.1,4,1000,10000,0.5275,0.3318,3500,1825,False
C240,Display Module 240,Display,S040,18.55,16,50,10000,0.5279,0.6416,1200,730,False
C241,Memory Module 241,Memory,S041,19.0,10,100,10000,0.4465,0.8162,2100,1825,False
C242,Chassis Module 242,Chassis,S042,19.45,20,250,10000,0.4307,0.846,2600,1095,False
C243,Camera Module 243,Camera,S043,19.9,23,100,10000,0.6213,0.3099,5100,730,False
C244,Camera Module 244,Camera,S044,20.35,25,100,10000,0.4256,0.7846,4800,730,False
C245,Connectivity Module 245,Connectivity,S045,20.8,5,250,10000,0.6722,0.3074,6400,365,False
C246,Connectivity Module 246,Connectivity,S046,21.25,13,250,10000,0.7487,0.5919,5200,1825,False
C247,Battery Module 247,Battery,S047,21.7,18,250,10000,0.302,0.5006,2200,365,False
C248,Connector Module 248,Connector,S048,22.15,27,500,10000,0.6611,0.3349,1500,1095,False
C249,Battery Module 249,Battery,S049,22.6,16,100,10000,0.5206,0.4513,5900,730,False
C250,Camera Module 250,Camera,S050,23.05,3,500,10000,0.771,0.3546,5900,365,False
C251,Display Module 251,Display,S051,1.0,4,250,10000,0.6347,0.1188,4900,365,False
C252,Connectivity Module 252,Connectivity,S052,1.45,22,250,10000,0.7174,0.3166,6200,1095,False
C253,Memory Module 253,Memory,S053,1.9,24,500,10000,0.6611,0.2409,2400,365,False
C254,Processor Module 254,Processor,S054,2.35,12,250,10000,0.9675,0.3068,7900,1095,False
C255,Memory Module 255,Memory,S055,2.8,16,100,10000,0.8791,0.6196,2600,730,False
C256,Connectivity Module 256,Connectivity,S056,3.25,18,1000,10000,0.7621,0.4171,5000,365,False
C257,Processor Module 257,Processor,S057,3.7,12,100,10000,0.5975,0.1882,2600,365,False
C258,Processor Module 258,Processor,S058,4.15,12,100,10000,0.1601,0.4038,900,365,False
C259,Memory Module 259,Memory,S059,4.6,6,100,10000,0.6741,0.4992,900,730,False
C260,Processor Module 260,Processor,S060,5.05,11,50,10000,0.6069,0.3837,1200,1095,False
C261,Display Module 261,Display,S061,5.5,24,1000,10000,0.4912,0.4588,7500,1825,False
C262,PCB Module 262,PCB,S062,5.95,19,50,10000,0.7349,0.3731,2400,1095,False
C263,Memory Module 263,Memory,S063,6.4,20,1000,10000,0.6378,0.4653,3700,730,False
C264,Memory Module 264,Memory,S064,6.85,24,1000,10000,0.6863,0.4828,7400,1095,False
C265,Connector Module 265,Connector,S065,7.3,16,250,10000,0.607,0.3243,4600,365,False
C266,Memory Module 266,Memory,S066,7.75,20,100,10000,0.5886,0.2226,4200,730,False
C267,Memory Module 267,Memory,S067,8.2,18,1000,10000,0.6569,0.3028,3000,365,False
C268,Memory Module 268,Memory,S068,8.65,13,500,10000,0.6773,0.6454,5900,1095,False
C269,Memory Module 269,Memory,S069,9.1,9,100,10000,0.5978,0.1072,3200,365,False
C270,Sensor Module 270,Sensor,S070,9.55,9,250,10000,0.8645,0.2898,2600,730,False
C271,Camera Module 271,Camera,S071,10.0,12,50,10000,0.717,0.4691,1600,365,False
C272,Chassis Module 272,Chassis,S072,10.45,26,250,10000,0.7014,0.4081,6200,1095,False
C273,Battery Module 273,Battery,S073,10.9,13,50,10000,0.6432,0.7614,6500,365,False
C274,Battery Module 274,Battery,S074,11.35,12,500,10000,0.7188,0.5746,7700,1825,True
C275,Battery Module 275,Battery,S075,11.8,3,500,10000,0.8496,0.5194,7800,1825,True
C276,Connectivity Module 276,Connectivity,S076,12.25,5,500,10000,0.8709,0.2664,7100,365,False
C277,Display Module 277,Display,S077,12.7,11,100,10000,0.9913,0.5797,5600,1095,False
C278,Display Module 278,Display,S078,13.15,10,100,10000,0.6853,0.0673,2900,1825,False
C279,Battery Module 279,Battery,S079,13.6,3,50,10000,0.5257,0.1373,3200,1095,True
C280,Connectivity Module 280,Connectivity,S080,14.05,18,100,10000,0.4266,0.4971,3800,365,False
C281,Connector Module 281,Connector,S081,14.5,21,50,10000,0.7979,0.1049,1800,1825,False
C282,Connectivity Module 282,Connectivity,S082,14.95,4,250,10000,0.5057,0.588,2900,730,False
C283,Connectivity Module 283,Connectivity,S083,15.4,10,1000,10000,0.7033,0.6449,5400,1825,False
C284,Connector Module 284,Connector,S084,15.85,17,250,10000,0.3192,0.3098,1800,365,False
C285,Memory Module 285,Memory,S085,16.3,3,50,10000,0.6033,0.677,6500,1825,False
C286,Connector Module 286,Connector,S086,16.75,13,100,10000,0.6364,0.1948,2500,1095,False
C287,Display Module 287,Display,S087,17.2,15,1000,10000,0.6817,0.4515,6500,1825,False
C288,Chassis Module 288,Chassis,S088,17.65,28,1000,10000,0.8612,0.5503,4600,365,False
C289,Display Module 289,Display,S089,18.1,18,250,10000,0.5773,0.3033,5300,730,False
C290,PCB Module 290,PCB,S090,18.55,24,250,10000,0.2482,0.1679,1100,730,False
C291,Connectivity Module 291,Connectivity,S091,19.0,28,250,10000,0.5811,0.5911,3900,1825,False
C292,Battery Module 292,Battery,S092,19.45,26,100,10000,0.764,0.3528,1100,1095,True
C293,Processor Module 293,Processor,S093,19.9,27,100,10000,0.2562,0.3824,2800,730,False
