financial_impact_id,disruption_id,scenario_id,production_loss_cost,lost_revenue,expedite_cost,alternative_supplier_cost,additional_transport_cost,inventory_holding_cost,stockout_cost,penalty_cost,recovery_cost,total_cost,revenue_at_risk,recoverable_value,net_financial_impact
FI000015,D000015,SC00004,166096.44,680721.04,0.0,0.0,0.0,0.0,0.0,12289.12,0.0,178385.56,1704814.64,0.0,178385.56
FI000016,D000016,SC00004,289169.84,650404.24,0.0,0.0,0.0,0.0,0.0,13045.9,0.0,302215.74,1954994.14,0.0,302215.74
FI000017,D000017,SC00005,357908.85,1558165.95,0.0,0.0,0.0,0.0,0.0,35841.09,0.0,393749.94,6678322.2,0.0,393749.94
FI000018,D000018,SC00005,91913.34,352968.84,0.0,0.0,0.0,0.0,0.0,9895.04,0.0,101808.38,5300489.88,0.0,101808.38
FI000019,D000019,SC00005,20942.28,80423.28,0.0,0.0,0.0,0.0,0.0,2102.92,0.0,23045.2,606153.24,0.0,23045.2
FI000020,D000020,SC00005,18770.5,98070.0,0.0,0.0,0.0,0.0,0.0,2757.17,0.0,21527.67,1476654.0,0.0,21527.67
FI000021,D000021,SC00006,184402.4,759793.58,0.0,0.0,0.0,0.0,0.0,19782.14,0.0,204184.54,5705327.81,0.0,204184.54
FI000022,D000022,SC00006,499049.7,1172578.56,0.0,0.0,0.0,0.0,0.0,23495.49,0.0,522545.19,3522127.36,0.0,522545.19
FI000023,D000023,SC00006,1136771.58,2528413.72,0.0,0.0,0.0,0.0,0.0,43023.96,0.0,1179795.54,5837948.92,0.0,1179795.54
FI000024,D000024,SC00006,629584.26,1400324.84,0.0,0.0,0.0,0.0,0.0,22444.34,0.0,652028.6,3003492.16,0.0,652028.6
FI000025,D000025,SC00007,70379.28,170121.6,0.0,0.0,0.0,0.0,0.0,4824.84,0.0,75204.12,2582540.4,0.0,75204.12
FI000026,D000026,SC00007,364091.2,1067092.84,0.0,0.0,0.0,0.0,0.0,25610.23,0.0,389701.43,5335464.2,0.0,389701.43
FI000027,D000027,SC00007,17559.3,57458.64,0.0,0.0,0.0,0.0,0.0,1500.68,0.0,19059.98,432629.76,0.0,19059.98
FI000028,D000028,SC00007,543122.8,1591805.71,0.0,0.0,0.0,0.0,0.0,41418.75,0.0,584541.55,11946493.02,0.0,584541.55
FI000029,D000029,SC00008,26361.9,75191.0,0.0,0.0,0.0,0.0,0.0,1981.5,0.0,28343.4,570567.0,0.0,28343.4
FI000030,D000030,SC00008,303458.88,960004.68,0.0,0.0,0.0,0.0,0.0,23084.08,0.0,326542.96,4807351.68,0.0,326542.96
FI000031,D000031,SC00008,316778.64,1002142.29,0.0,0.0,0.0,0.0,0.0,24051.41,0.0,340830.05,5010711.45,0.0,340830.05
FI000032,D000032,SC00008,116861.4,316184.4,0.0,0.0,0.0,0.0,0.0,5733.48,0.0,122594.88,793974.16,0.0,122594.88
FI000033,D000033,SC00009,456230.88,1264505.76,0.0,0.0,0.0,0.0,0.0,27849.23,0.0,484080.11,4745660.01,0.0,484080.11
FI000034,D000034,SC00009,234551.52,633235.68,0.0,0.0,0.0,0.0,0.0,13348.83,0.0,247900.35,2116439.49,0.0,247900.35
FI000035,D000035,SC00009,281936.2,634134.8,0.0,0.0,0.0,0.0,0.0,15277.77,0.0,297213.97,3180429.92,0.0,297213.97
FI000036,D000036,SC00009,283842.3,788669.7,0.0,0.0,0.0,0.0,0.0,12663.78,0.0,296506.08,1693225.56,0.0,296506.08
FI000037,D000037,SC00010,141428.8,497809.84,0.0,0.0,0.0,0.0,0.0,13948.77,0.0,155377.57,7472192.97,0.0,155377.57
FI000038,D000038,SC00010,184926.04,603147.22,0.0,0.0,0.0,0.0,0.0,14494.73,0.0,199420.77,3018935.82,0.0,199420.77
FI000039,D000039,SC00010,100066.08,326371.44,0.0,0.0,0.0,0.0,0.0,7832.91,0.0,107898.99,1631857.2,0.0,107898.99
FI000040,D000040,SC00010,211392.72,543425.04,0.0,0.0,0.0,0.0,0.0,13585.63,0.0,224978.35,3260550.24,0.0,224978.35
FI000041,D000041,SC00011,98043.3,246340.71,0.0,0.0,0.0,0.0,0.0,4714.52,0.0,102757.82,674933.49,0.0,102757.82
FI000042,D000042,SC00011,219351.68,777288.96,0.0,0.0,0.0,0.0,0.0,20991.09,0.0,240342.77,7774318.44,0.0,240342.77
FI000043,D000043,SC00011,688549.68,1559219.22,0.0,0.0,0.0,0.0,0.0,40557.47,0.0,729107.15,11698586.37,0.0,729107.15
FI000044,D000044,SC00011,387240.14,1349261.06,0.0,0.0,0.0,0.0,0.0,24295.39,0.0,411535.53,3373877.28,0.0,411535.53
FI000045,D000045,SC00012,644265.6,2775836.8,0.0,0.0,0.0,0.0,0.0,61093.64,0.0,705359.24,10412542.36,0.0,705359.24
FI000046,D000046,SC00012,39168.42,168758.26,0.0,0.0,0.0,0.0,0.0,4403.49,0.0,43571.91,1269629.9,0.0,43571.91
FI000047,D000047,SC00012,21231.48,91476.44,0.0,0.0,0.0,0.0,0.0,2119.73,0.0,23351.21,394295.0,0.0,23351.21
FI000048,D000048,SC00012,237572.94,1023589.82,0.0,0.0,0.0,0.0,0.0,18434.08,0.0,256007.02,2559763.14,0.0,256007.02
FI000049,D000049,SC00013,49843.83,112947.66,0.0,0.0,0.0,0.0,0.0,2650.95,0.0,52494.78,491654.52,0.0,52494.78
FI000050,D000050,SC00013,36042.84,104259.96,0.0,0.0,0.0,0.0,0.0,2525.41,0.0,38568.25,525161.28,0.0,38568.25
FI000051,D000051,SC00013,1687338.88,4880910.72,0.0,0.0,0.0,0.0,0.0,87879.56,0.0,1775218.44,12204207.54,0.0,1775218.44
FI000052,D000052,SC00013,515946.58,1492462.02,0.0,0.0,0.0,0.0,0.0,34342.07,0.0,550288.65,6398472.36,0.0,550288.65
FI000053,D000053,SC00014,457493.2,1037869.14,0.0,0.0,0.0,0.0,0.0,18681.64,0.0,476174.84,2594672.85,0.0,476174.84
FI000054,D000054,SC00014,118915.5,360130.65,0.0,0.0,0.0,0.0,0.0,9775.91,0.0,128691.41,3618767.38,0.0,128691.41
FI000055,D000055,SC00014,185805.0,421517.25,0.0,0.0,0.0,0.0,0.0,8885.58,0.0,194690.58,1408804.32,0.0,194690.58
FI000056,D000056,SC00014,209003.0,632956.9,0.0,0.0,0.0,0.0,0.0,15204.06,0.0,224207.06,3166967.11,0.0,224207.06
FI000057,D000057,SC00015,1020943.84,2338399.34,0.0,0.0,0.0,0.0,0.0,44452.09,0.0,1065395.93,6379498.44,0.0,1065395.93
FI000058,D000058,SC00015,218598.24,500683.74,0.0,0.0,0.0,0.0,0.0,12038.91,0.0,230637.15,2507169.14,0.0,230637.15
FI000059,D000059,SC00015,29473.92,67507.92,0.0,0.0,0.0,0.0,0.0,1687.7,0.0,31161.62,405047.52,0.0,31161.62
FI000060,D000060,SC00015,237638.75,534982.0,0.0,0.0,0.0,0.0,0.0,9666.01,0.0,247304.76,1340483.2,0.0,247304.76
FI000061,D000061,SC00016,499647.38,2265985.82,0.0,0.0,0.0,0.0,0.0,49854.72,0.0,549502.1,8497826.26,0.0,549502.1
FI000062,D000062,SC00016,166588.1,891315.95,0.0,0.0,0.0,0.0,0.0,22312.86,0.0,188900.96,5353887.74,0.0,188900.96
FI000063,D000063,SC00016,62577.13,168354.34,0.0,0.0,0.0,0.0,0.0,4591.48,0.0,67168.61,1698848.34,0.0,67168.61
FI000064,D000064,SC00016,211045.7,563539.1,0.0,0.0,0.0,0.0,0.0,13000.6,0.0,224046.3,2420767.96,0.0,224046.3
FI000065,D000065,SC00017,118070.2,447066.6,0.0,0.0,0.0,0.0,0.0,8047.2,0.0,126117.4,1117666.5,0.0,126117.4
FI000066,D000066,SC00017,29921.9,113297.7,0.0,0.0,0.0,0.0,0.0,3068.22,0.0,32990.12,1136039.1,0.0,32990.12
FI000067,D000067,SC00017,32725.38,171516.48,0.0,0.0,0.0,0.0,0.0,3975.62,0.0,36701.0,739462.56,0.0,36701.0
FI000068,D000068,SC00017,2467443.2,5759660.8,0.0,0.0,0.0,0.0,0.0,109492.16,0.0,2576935.36,15713493.2,0.0,2576935.36
FI000069,D000069,SC00018,37427.53,197092.7,0.0,0.0,0.0,0.0,0.0,3153.48,0.0,40581.01,422341.5,0.0,40581.01
FI000070,D000070,SC00018,14070.5,74095.0,0.0,0.0,0.0,0.0,0.0,2116.15,0.0,16186.65,1132171.6,0.0,16186.65
FI000071,D000071,SC00018,349959.0,1429562.28,0.0,0.0,0.0,0.0,0.0,24342.83,0.0,374301.83,3302087.52,0.0,374301.83
FI000072,D000072,SC00018,134795.39,709830.1,0.0,0.0,0.0,0.0,0.0,14937.55,0.0,149732.94,2369558.1,0.0,149732.94
FI000073,D000073,SC00019,98755.8,420950.4,0.0,0.0,0.0,0.0,0.0,10944.71,0.0,109700.51,3157128.0,0.0,109700.51
FI000074,D000074,SC00019,51277.05,218570.4,0.0,0.0,0.0,0.0,0.0,5054.64,0.0,56331.69,940662.24,0.0,56331.69
FI000075,D000075,SC00019,17744.76,48088.59,0.0,0.0,0.0,0.0,0.0,874.34,0.0,18619.1,120950.09,0.0,18619.1
FI000076,D000076,SC00019,78349.44,271670.56,0.0,0.0,0.0,0.0,0.0,7625.73,0.0,85975.17,4084535.28,0.0,85975.17
FI000077,D000077,SC00020,108050.9,261308.04,0.0,0.0,0.0,0.0,0.0,6047.14,0.0,114098.04,1125184.62,0.0,114098.04
FI000078,D000078,SC00020,84569.76,241420.08,0.0,0.0,0.0,0.0,0.0,6518.34,0.0,91088.1,2414200.8,0.0,91088.1
FI000079,D000079,SC00020,1268794.2,3937918.8,0.0,0.0,0.0,0.0,0.0,82739.52,0.0,1351533.72,13131198.34,0.0,1351533.72
FI000080,D000080,SC00020,285220.81,885231.34,0.0,0.0,0.0,0.0,0.0,15087.35,0.0,300308.16,2045796.84,0.0,300308.16
FI000081,D000081,SC00021,303019.2,1448457.12,0.0,0.0,0.0,0.0,0.0,24654.86,0.0,327674.06,3344984.94,0.0,327674.06
FI000082,D000082,SC00021,1074766.8,3269733.48,0.0,0.0,0.0,0.0,0.0,62157.85,0.0,1136924.65,8920447.38,0.0,1136924.65
FI000083,D000083,SC00021,332408.3,1011276.63,0.0,0.0,0.0,0.0,0.0,19230.71,0.0,351639.01,2759523.39,0.0,351639.01
FI000084,D000084,SC00021,161695.9,491922.99,0.0,0.0,0.0,0.0,0.0,13287.41,0.0,174983.31,4921058.61,0.0,174983.31
FI000085,D000085,SC00022,1040853.11,2580203.56,0.0,0.0,0.0,0.0,0.0,41287.81,0.0,1082140.92,5529332.96,0.0,1082140.92
FI000086,D000086,SC00022,29348.92,105382.07,0.0,0.0,0.0,0.0,0.0,2122.08,0.0,31471.0,317589.8,0.0,31471.0
FI000087,D000087,SC00022,1440474.56,3570837.76,0.0,0.0,0.0,0.0,0.0,57197.17,0.0,1497671.73,7656349.84,0.0,1497671.73
FI000088,D000088,SC00022,82820.24,297379.54,0.0,0.0,0.0,0.0,0.0,5653.1,0.0,88473.34,811297.58,0.0,88473.34
FI000089,D000089,SC00023,57566.92,143486.64,0.0,0.0,0.0,0.0,0.0,4027.03,0.0,61593.95,2157004.08,0.0,61593.95
FI000090,D000090,SC00023,617754.6,3082618.2,0.0,0.0,0.0,0.0,0.0,61652.36,0.0,679406.96,9247854.6,0.0,679406.96
FI000091,D000091,SC00023,358613.6,893851.2,0.0,0.0,0.0,0.0,0.0,22405.09,0.0,381018.69,5374868.4,0.0,381018.69
FI000092,D000092,SC00023,673542.54,1630454.22,0.0,0.0,0.0,0.0,0.0,29348.18,0.0,702890.72,4076135.55,0.0,702890.72
FI000093,D000093,SC00024,38172.96,205674.56,0.0,0.0,0.0,0.0,0.0,5364.33,0.0,43537.29,1546756.64,0.0,43537.29
FI000094,D000094,SC00024,240325.38,984937.08,0.0,0.0,0.0,0.0,0.0,22676.14,0.0,263001.52,4224386.1,0.0,263001.52
FI000095,D000095,SC00024,147947.36,332764.96,0.0,0.0,0.0,0.0,0.0,5677.8,0.0,153625.16,769518.97,0.0,153625.16
FI000096,D000096,SC00024,26097.84,140614.24,0.0,0.0,0.0,0.0,0.0,3815.47,0.0,29913.31,1412438.56,0.0,29913.31
FI000097,D000097,SC00025,691006.82,2890055.42,0.0,0.0,0.0,0.0,0.0,46276.68,0.0,737283.5,6195532.34,0.0,737283.5
FI000098,D000098,SC00025,249520.05,1086292.35,0.0,0.0,0.0,0.0,0.0,28279.65,0.0,277799.7,8156204.1,0.0,277799.7
FI000099,D000099,SC00025,32446.15,169521.0,0.0,0.0,0.0,0.0,0.0,4589.68,0.0,37035.83,1699413.0,0.0,37035.83
FI000100,D000100,SC00025,274446.76,1147841.56,0.0,0.0,0.0,0.0,0.0,19524.81,0.0,293971.57,2649750.06,0.0,293971.57
FI000101,D000101,SC00026,5006.4,20627.88,0.0,0.0,0.0,0.0,0.0,479.6,0.0,5486.0,73916.57,0.0,5486.0
FI000102,D000102,SC00026,27101.95,63679.36,0.0,0.0,0.0,0.0,0.0,1745.69,0.0,28847.64,645576.96,0.0,28847.64
FI000103,D000103,SC00026,116797.08,259780.72,0.0,0.0,0.0,0.0,0.0,6521.21,0.0,123318.29,1564022.28,0.0,123318.29
FI000104,D000104,SC00026,113736.0,258196.8,0.0,0.0,0.0,0.0,0.0,5460.86,0.0,119196.86,864959.28,0.0,119196.86
FI000105,D000105,SC00027,368228.85,1204941.48,0.0,0.0,0.0,0.0,0.0,20519.49,0.0,388748.34,2783364.12,0.0,388748.34
FI000106,D000106,SC00027,2065.8,6759.84,0.0,0.0,0.0,0.0,0.0,211.25,0.0,2277.05,49008.84,0.0,2277.05
FI000107,D000107,SC00027,375356.16,907315.2,0.0,0.0,0.0,0.0,0.0,15450.35,0.0,390806.51,2095803.6,0.0,390806.51
FI000108,D000108,SC00027,451600.38,1091613.6,0.0,0.0,0.0,0.0,0.0,20792.64,0.0,472393.02,2981853.6,0.0,472393.02
FI000109,D000109,SC00028,252113.58,836748.63,0.0,0.0,0.0,0.0,0.0,17571.72,0.0,269685.3,2789162.1,0.0,269685.3
FI000110,D000110,SC00028,5427.45,15480.5,0.0,0.0,0.0,0.0,0.0,464.42,0.0,5891.87,247688.0,0.0,5891.87
FI000111,D000111,SC00028,78181.2,247329.45,0.0,0.0,0.0,0.0,0.0,4484.91,0.0,82666.11,621071.73,0.0,82666.11
FI000112,D000112,SC00028,31014.0,88460.0,0.0,0.0,0.0,0.0,0.0,2494.57,0.0,33508.57,1335746.0,0.0,33508.57
FI000113,D000113,SC00029,654789.66,1767782.94,0.0,0.0,0.0,0.0,0.0,37129.1,0.0,691918.76,5893238.01,0.0,691918.76
FI000114,D000114,SC00029,312226.53,867536.67,0.0,0.0,0.0,0.0,0.0,14772.27,0.0,326998.8,2003864.85,0.0,326998.8
FI000115,D000115,SC00029,385623.72,1068808.44,0.0,0.0,0.0,0.0,0.0,21388.71,0.0,407012.43,3207679.79,0.0,407012.43
FI000116,D000116,SC00029,30122.04,83695.56,0.0,0.0,0.0,0.0,0.0,2274.27,0.0,32396.31,841784.19,0.0,32396.31
FI000117,D000117,SC00030,89704.44,375961.32,0.0,0.0,0.0,0.0,0.0,8678.44,0.0,98382.88,1615738.53,0.0,98382.88
FI000118,D000118,SC00030,140473.2,494446.26,0.0,0.0,0.0,0.0,0.0,12862.33,0.0,153335.53,3710028.74,0.0,153335.53
FI000119,D000119,SC00030,22073.4,71993.7,0.0,0.0,0.0,0.0,0.0,1977.43,0.0,24050.83,731136.02,0.0,24050.83
FI000120,D000120,SC00030,296274.08,966315.44,0.0,0.0,0.0,0.0,0.0,19326.31,0.0,315600.39,2898946.32,0.0,315600.39
FI000121,D000121,SC00031,155953.56,353156.49,0.0,0.0,0.0,0.0,0.0,9213.16,0.0,165166.72,2656447.56,0.0,165166.72
FI000122,D000122,SC00031,362898.0,1285956.0,0.0,0.0,0.0,0.0,0.0,23164.35,0.0,386062.35,3216318.84,0.0,386062.35
FI000123,D000123,SC00031,388704.08,1377401.76,0.0,0.0,0.0,0.0,0.0,30325.7,0.0,419029.78,5168114.28,0.0,419029.78
FI000124,D000124,SC00031,1274111.16,2885221.89,0.0,0.0,0.0,0.0,0.0,51947.32,0.0,1326058.48,7214165.28,0.0,1326058.48
FI000125,D000125,SC00032,65524.74,282315.22,0.0,0.0,0.0,0.0,0.0,7355.97,0.0,72880.71,2121307.1,0.0,72880.71
FI000126,D000126,SC00032,163628.82,704999.46,0.0,0.0,0.0,0.0,0.0,18358.38,0.0,181987.2,5294593.26,0.0,181987.2
FI000127,D000127,SC00032,433211.76,1864069.74,0.0,0.0,0.0,0.0,0.0,31693.93,0.0,464905.69,4302064.26,0.0,464905.69
FI000128,D000128,SC00032,193645.74,834328.22,0.0,0.0,0.0,0.0,0.0,14188.31,0.0,207834.05,1925736.78,0.0,207834.05
FI000129,D000129,SC00033,253634.8,733681.2,0.0,0.0,0.0,0.0,0.0,18370.99,0.0,272005.79,4407879.42,0.0,272005.79
FI000130,D000130,SC00033,150826.39,522614.51,0.0,0.0,0.0,0.0,0.0,9929.68,0.0,160756.07,1425312.3,0.0,160756.07
FI000131,D000131,SC00033,100703.52,231289.56,0.0,0.0,0.0,0.0,0.0,4452.32,0.0,105155.84,636046.29,0.0,105155.84
FI000132,D000132,SC00033,549259.46,1244638.92,0.0,0.0,0.0,0.0,0.0,26170.64,0.0,575430.1,4152487.5,0.0,575430.1
FI000133,D000133,SC00034,581363.2,1318880.64,0.0,0.0,0.0,0.0,0.0,30345.5,0.0,611708.7,5653951.38,0.0,611708.7
FI000134,D000134,SC00034,60283.4,136758.93,0.0,0.0,0.0,0.0,0.0,3186.67,0.0,63470.07,591997.56,0.0,63470.07
FI000135,D000135,SC00034,225443.4,511440.93,0.0,0.0,0.0,0.0,0.0,8235.51,0.0,233678.91,1099691.67,0.0,233678.91
FI000136,D000136,SC00034,1392298.8,3158569.26,0.0,0.0,0.0,0.0,0.0,53701.3,0.0,1446000.1,7289438.31,0.0,1446000.1
FI000137,D000137,SC00035,165381.44,378794.44,0.0,0.0,0.0,0.0,0.0,7965.93,0.0,173347.37,1263898.28,0.0,173347.37
FI000138,D000138,SC00035,68153.0,153428.8,0.0,0.0,0.0,0.0,0.0,3561.16,0.0,71714.16,662166.4,0.0,71714.16
FI000139,D000139,SC00035,112990.5,254368.8,0.0,0.0,0.0,0.0,0.0,6892.18,0.0,119882.68,2551763.2,0.0,119882.68
FI000140,D000140,SC00035,251347.04,575692.54,0.0,0.0,0.0,0.0,0.0,16145.64,0.0,267492.68,8648514.64,0.0,267492.68
FI000141,D000141,SC00036,118369.11,316071.93,0.0,0.0,0.0,0.0,0.0,6037.22,0.0,124406.33,864910.01,0.0,124406.33
FI000142,D000142,SC00036,78114.42,417944.79,0.0,0.0,0.0,0.0,0.0,7531.99,0.0,85646.41,1045610.98,0.0,85646.41
FI000143,D000143,SC00036,27718.02,148302.99,0.0,0.0,0.0,0.0,0.0,4013.17,0.0,31731.19,1486025.92,0.0,31731.19
FI000144,D000144,SC00036,180765.23,482683.49,0.0,0.0,0.0,0.0,0.0,12067.09,0.0,192832.32,2896100.94,0.0,192832.32
FI000145,D000145,SC00037,1003295.4,2341955.1,0.0,0.0,0.0,0.0,0.0,49237.57,0.0,1052532.97,7812795.7,0.0,1052532.97
FI000146,D000146,SC00037,62363.46,326852.16,0.0,0.0,0.0,0.0,0.0,8530.52,0.0,70893.98,2459481.6,0.0,70893.98
FI000147,D000147,SC00037,152439.95,577205.85,0.0,0.0,0.0,0.0,0.0,9812.5,0.0,162252.45,1332013.5,0.0,162252.45
FI000148,D000148,SC00037,42456.75,160760.25,0.0,0.0,0.0,0.0,0.0,4377.27,0.0,46834.02,1619850.9,0.0,46834.02
FI000149,D000149,SC00038,124264.35,488653.2,0.0,0.0,0.0,0.0,0.0,13226.21,0.0,137490.56,4897390.96,0.0,137490.56
FI000150,D000150,SC00038,10679.5,43625.14,0.0,0.0,0.0,0.0,0.0,1182.91,0.0,11862.41,437929.29,0.0,11862.41
FI000151,D000151,SC00038,58352.58,258083.1,0.0,0.0,0.0,0.0,0.0,6999.53,0.0,65352.11,2591258.6,0.0,65352.11
FI000152,D000152,SC00038,84248.18,448370.62,0.0,0.0,0.0,0.0,0.0,9902.66,0.0,94150.84,1686203.62,0.0,94150.84
FI000153,D000153,SC00039,349458.2,1473274.4,0.0,0.0,0.0,0.0,0.0,33904.49,0.0,383362.69,6316772.96,0.0,383362.69
FI000154,D000154,SC00039,75267.92,317320.64,0.0,0.0,0.0,0.0,0.0,5417.12,0.0,80685.04,734021.92,0.0,80685.04
FI000155,D000155,SC00039,107006.28,289988.77,0.0,0.0,0.0,0.0,0.0,5246.03,0.0,112252.31,727157.77,0.0,112252.31
FI000156,D000156,SC00039,830014.92,3499244.64,0.0,0.0,0.0,0.0,0.0,73515.52,0.0,903530.44,11667635.84,0.0,903530.44
FI000157,D000157,SC00040,116920.75,282758.7,0.0,0.0,0.0,0.0,0.0,7394.63,0.0,124315.38,2131415.58,0.0,124315.38
FI000158,D000158,SC00040,72510.08,278885.06,0.0,0.0,0.0,0.0,0.0,5880.09,0.0,78390.17,932228.15,0.0,78390.17
FI000159,D000159,SC00040,866326.5,2944678.2,0.0,0.0,0.0,0.0,0.0,58910.2,0.0,925236.7,8835698.26,0.0,925236.7
FI000160,D000160,SC00040,324959.05,785874.18,0.0,0.0,0.0,0.0,0.0,15717.48,0.0,340676.53,2357622.54,0.0,340676.53
FI000161,D000161,SC00041,366671.0,1115513.1,0.0,0.0,0.0,0.0,0.0,25704.35,0.0,392375.35,4787562.78,0.0,392375.35
FI000162,D000162,SC00041,1038541.8,2981743.4,0.0,0.0,0.0,0.0,0.0,53726.01,0.0,1092267.81,7458910.78,0.0,1092267.81
FI000163,D000163,SC00041,61037.98,194636.14,0.0,0.0,0.0,0.0,0.0,5493.88,0.0,66531.86,2941576.38,0.0,66531.86
FI000164,D000164,SC00041,192953.1,587015.91,0.0,0.0,0.0,0.0,0.0,13530.63,0.0,206483.73,2519962.38,0.0,206483.73
FI000165,D000165,SC00042,170649.0,563570.5,0.0,0.0,0.0,0.0,0.0,12435.56,0.0,183084.56,2118015.7,0.0,183084.56
FI000166,D000166,SC00042,3199.68,13293.18,0.0,0.0,0.0,0.0,0.0,413.57,0.0,3613.25,220075.98,0.0,3613.25
FI000167,D000167,SC00042,139507.88,500925.73,0.0,0.0,0.0,0.0,0.0,12544.8,0.0,152052.68,3009885.15,0.0,152052.68
FI000168,D000168,SC00042,26308.48,109299.48,0.0,0.0,0.0,0.0,0.0,2649.77,0.0,28958.25,550928.46,0.0,28958.25
FI000169,D000169,SC00043,292533.12,1459751.04,0.0,0.0,0.0,0.0,0.0,24853.09,0.0,317386.21,3371527.26,0.0,317386.21
FI000170,D000170,SC00043,583910.91,1413481.63,0.0,0.0,0.0,0.0,0.0,33961.48,0.0,617872.39,7073727.74,0.0,617872.39
FI000171,D000171,SC00043,272735.08,679797.36,0.0,0.0,0.0,0.0,0.0,16343.36,0.0,289078.44,3403691.28,0.0,289078.44
FI000172,D000172,SC00043,349790.43,891870.36,0.0,0.0,0.0,0.0,0.0,14290.55,0.0,364080.98,1912623.72,0.0,364080.98
FI000173,D000173,SC00044,24539.76,132219.36,0.0,0.0,0.0,0.0,0.0,3718.93,0.0,28258.69,1991685.28,0.0,28258.69
FI000174,D000174,SC00044,56869.92,306413.12,0.0,0.0,0.0,0.0,0.0,6149.25,0.0,63019.17,921338.08,0.0,63019.17
FI000175,D000175,SC00044,128664.86,642672.06,0.0,0.0,0.0,0.0,0.0,12216.88,0.0,140881.74,1753297.35,0.0,140881.74
FI000176,D000176,SC00044,280012.14,1147587.24,0.0,0.0,0.0,0.0,0.0,27578.24,0.0,307590.38,5743960.28,0.0,307590.38
FI000177,D000177,SC00045,70903.84,296547.04,0.0,0.0,0.0,0.0,0.0,7420.07,0.0,78323.91,1780560.46,0.0,78323.91
FI000178,D000178,SC00045,60227.19,160477.09,0.0,0.0,0.0,0.0,0.0,4043.09,0.0,64270.28,969094.66,0.0,64270.28
FI000179,D000179,SC00045,241493.49,643466.39,0.0,0.0,0.0,0.0,0.0,12253.91,0.0,253747.4,1757457.84,0.0,253747.4
FI000180,D000180,SC00045,144428.31,384833.41,0.0,0.0,0.0,0.0,0.0,6562.42,0.0,150990.73,889635.13,0.0,150990.73
FI000181,D000181,SC00046,118902.0,489912.15,0.0,0.0,0.0,0.0,0.0,10288.16,0.0,129190.16,1633040.5,0.0,129190.16
FI000182,D000182,SC00046,1819954.5,4047953.0,0.0,0.0,0.0,0.0,0.0,76939.58,0.0,1896894.08,11042459.92,0.0,1896894.08
FI000183,D000183,SC00046,752312.75,1767651.2,0.0,0.0,0.0,0.0,0.0,42449.98,0.0,794762.73,8842647.68,0.0,794762.73
FI000184,D000184,SC00046,141430.8,582737.61,0.0,0.0,0.0,0.0,0.0,11654.75,0.0,153085.55,1748212.83,0.0,153085.55
FI000185,D000185,SC00047,21098.0,61834.85,0.0,0.0,0.0,0.0,0.0,1505.24,0.0,22603.24,312707.67,0.0,22603.24
FI000186,D000186,SC00047,77158.4,226138.88,0.0,0.0,0.0,0.0,0.0,5653.47,0.0,82811.87,1356833.28,0.0,82811.87
FI000187,D000187,SC00047,2420265.24,5850292.8,0.0,0.0,0.0,0.0,0.0,93647.22,0.0,2513912.46,12539379.6,0.0,2513912.46
