route_id,origin_id,destination_id,transport_mode,distance_km,normal_transit_days,route_capacity,cost_per_unit,weather_risk,congestion_risk,geopolitical_risk,alternative_route_available,estimated_transit_cost
R0076,S038,F018,Road,1.81,1,10000,0.0502,0.12,0.18,0.03,False,15.05
R0077,S039,F015,Road,1314.21,3,10000,0.1814,0.12,0.18,0.03,False,54.43
R0078,S039,F020,Road,2126.6,4,10000,0.2627,0.12,0.18,0.03,False,78.8
R0079,S040,F015,Road,871.09,2,10000,0.1371,0.12,0.18,0.03,False,41.13
R0080,S040,F019,Road,2124.11,4,10000,0.2624,0.12,0.18,0.03,False,78.72
R0081,S041,F004,Road,346.0,1,10000,0.0846,0.12,0.18,0.03,False,25.38
R0082,S041,F017,Road,1870.0,4,10000,0.237,0.12,0.18,0.03,False,71.1
R0083,S042,F006,Road,143.85,1,10000,0.0644,0.12,0.18,0.03,False,19.32
R0084,S042,F016,Road,144.02,1,10000,0.0644,0.12,0.18,0.03,False,19.32
R0085,S043,F001,Road,2090.05,4,10000,0.259,0.12,0.18,0.03,False,77.7
R0086,S043,F010,Road,2350.01,5,10000,0.285,0.12,0.18,0.03,False,85.5
R0087,S044,F010,Road,515.58,1,10000,0.1016,0.12,0.18,0.03,False,30.47
R0088,S044,F004,Road,3.73,1,10000,0.0504,0.12,0.18,0.03,False,15.11
R0089,S045,F011,Road,603.39,2,10000,0.1103,0.12,0.18,0.03,False,33.1
R0090,S045,F010,Road,875.87,2,10000,0.1376,0.12,0.18,0.03,False,41.28
R0091,S046,F014,Road,1096.91,2,10000,0.1597,0.12,0.18,0.03,False,47.91
R0092,S046,F005,Road,604.9,2,10000,0.1105,0.12,0.18,0.03,False,33.15
R0093,S047,F013,Road,1564.44,3,10000,0.2064,0.12,0.18,0.03,False,61.93
R0094,S047,F004,Road,1633.43,3,10000,0.2133,0.12,0.18,0.03,False,64.0
R0095,S048,F018,Road,2.72,1,10000,0.0503,0.12,0.18,0.03,False,15.08
R0096,S048,F013,Road,928.17,2,10000,0.1428,0.12,0.18,0.03,False,42.85
R0097,S049,F015,Road,1314.7,3,10000,0.1815,0.12,0.18,0.03,False,54.44
R0098,S049,F002,Road,1107.41,3,10000,0.1607,0.12,0.18,0.03,False,48.22
R0099,S050,F012,Road,1195.9,3,10000,0.1696,0.12,0.18,0.03,False,50.88
R0100,S050,F004,Road,508.31,1,10000,0.1008,0.12,0.18,0.03,False,30.25
R0101,S051,F017,Road,1869.07,4,10000,0.2369,0.12,0.18,0.03,False,71.07
R0102,S051,F003,Road,2084.18,4,10000,0.2584,0.12,0.18,0.03,False,77.53
R0103,S052,F020,Road,1198.12,3,10000,0.1698,0.12,0.18,0.03,False,50.94
R0104,S052,F006,Road,143.68,1,10000,0.0644,0.12,0.18,0.03,False,19.31
R0105,S053,F010,Road,2350.69,5,10000,0.2851,0.12,0.18,0.03,False,85.52
R0106,S053,F009,Road,286.5,1,10000,0.0786,0.12,0.18,0.03,False,23.6
R0107,S054,F006,Road,1097.23,2,10000,0.1597,0.12,0.18,0.03,False,47.92
R0108,S054,F005,Road,617.15,2,10000,0.1117,0.12,0.18,0.03,False,33.51
R0109,S055,F020,Road,875.87,2,10000,0.1376,0.12,0.18,0.03,False,41.28
R0110,S055,F013,Road,1502.92,3,10000,0.2003,0.12,0.18,0.03,False,60.09
R0111,S056,F003,Road,1402.98,3,10000,0.1903,0.12,0.18,0.03,False,57.09
R0112,S056,F016,Road,3.68,1,10000,0.0504,0.12,0.18,0.03,False,15.11
R0113,S057,F019,Road,1629.77,3,10000,0.213,0.12,0.18,0.03,False,63.89
R0114,S057,F005,Road,1421.24,3,10000,0.1921,0.12,0.18,0.03,False,57.64
R0115,S058,F018,Road,3.63,1,10000,0.0504,0.12,0.18,0.03,False,15.11
R0116,S058,F016,Road,623.57,2,10000,0.1124,0.12,0.18,0.03,False,33.71
R0117,S059,F002,Road,1108.24,3,10000,0.1608,0.12,0.18,0.03,False,48.25
R0118,S059,F017,Road,1627.13,3,10000,0.2127,0.12,0.18,0.03,False,63.81
R0119,S060,F018,Road,1694.22,4,10000,0.2194,0.12,0.18,0.03,False,65.83
R0120,S060,F001,Road,268.72,1,10000,0.0769,0.12,0.18,0.03,False,23.06
R0121,S061,F015,Road,597.16,2,10000,0.1097,0.12,0.18,0.03,False,32.91
R0122,S061,F011,Road,4.66,1,10000,0.0505,0.12,0.18,0.03,False,15.14
R0123,S062,F005,Road,743.36,2,10000,0.1243,0.12,0.18,0.03,False,37.3
R0124,S062,F001,Road,1015.37,2,10000,0.1515,0.12,0.18,0.03,False,45.46
R0125,S063,F009,Road,287.38,1,10000,0.0787,0.12,0.18,0.03,False,23.62
R0126,S063,F002,Road,1381.75,3,10000,0.1882,0.12,0.18,0.03,False,56.45
R0127,S064,F019,Road,1926.14,4,10000,0.2426,0.12,0.18,0.03,False,72.78
R0128,S064,F007,Road,1624.24,3,10000,0.2124,0.12,0.18,0.03,False,63.73
R0129,S065,F009,Road,1310.31,3,10000,0.181,0.12,0.18,0.03,False,54.31
R0130,S065,F010,Road,877.46,2,10000,0.1377,0.12,0.18,0.03,False,41.32
R0131,S066,F002,Road,145.86,1,10000,0.0646,0.12,0.18,0.03,False,19.38
R0132,S066,F016,Road,4.6,1,10000,0.0505,0.12,0.18,0.03,False,15.14
R0133,S067,F004,Road,1635.24,3,10000,0.2135,0.12,0.18,0.03,False,64.06
R0134,S067,F003,Road,1564.94,3,10000,0.2065,0.12,0.18,0.03,False,61.95
R0135,S068,F005,Road,1055.27,2,10000,0.1555,0.12,0.18,0.03,False,46.66
R0136,S068,F012,Road,530.25,1,10000,0.103,0.12,0.18,0.03,False,30.91
R0137,S069,F013,Road,277.62,1,10000,0.0778,0.12,0.18,0.03,False,23.33
R0138,S069,F004,Road,1931.17,4,10000,0.2431,0.12,0.18,0.03,False,72.94
R0139,S070,F005,Road,867.91,2,10000,0.1368,0.12,0.18,0.03,False,41.04
R0140,S070,F015,Road,868.7,2,10000,0.1369,0.12,0.18,0.03,False,41.06
R0141,S071,F020,Road,277.88,1,10000,0.0778,0.12,0.18,0.03,False,23.34
R0142,S071,F017,Road,1867.21,4,10000,0.2367,0.12,0.18,0.03,False,71.02
R0143,S072,F006,Road,143.35,1,10000,0.0643,0.12,0.18,0.03,False,19.3
R0144,S072,F001,Road,1015.52,2,10000,0.1516,0.12,0.18,0.03,False,45.47
R0145,S073,F015,Road,1508.92,3,10000,0.2009,0.12,0.18,0.03,False,60.27
R0146,S073,F013,Road,5.33,1,10000,0.0505,0.12,0.18,0.03,False,15.16
R0147,S074,F012,Road,1240.29,3,10000,0.174,0.12,0.18,0.03,False,52.21
R0148,S074,F019,Road,1925.68,4,10000,0.2426,0.12,0.18,0.03,False,72.77
R0149,S075,F016,Road,609.37,2,10000,0.1109,0.12,0.18,0.03,False,33.28
R0150,S075,F003,Road,1501.13,3,10000,0.2001,0.12,0.18,0.03,False,60.03
R0151,S076,F013,Road,1402.16,3,10000,0.1902,0.12,0.18,0.03,False,57.06
R0152,S076,F010,Road,1080.26,2,10000,0.158,0.12,0.18,0.03,False,47.41
R0153,S077,F019,Road,1630.37,3,10000,0.213,0.12,0.18,0.03,False,63.91
R0154,S077,F020,Road,2123.46,4,10000,0.2623,0.12,0.18,0.03,False,78.7
R0155,S078,F008,Road,6.35,1,10000,0.0506,0.12,0.18,0.03,False,15.19
R0156,S078,F018,Road,5.44,1,10000,0.0505,0.12,0.18,0.03,False,15.16
R0157,S079,F018,Road,654.21,2,10000,0.1154,0.12,0.18,0.03,False,34.63
R0158,S079,F002,Road,1109.89,3,10000,0.161,0.12,0.18,0.03,False,48.3
R0159,S080,F001,Road,267.06,1,10000,0.0767,0.12,0.18,0.03,False,23.01
R0160,S080,F015,Road,867.91,2,10000,0.1368,0.12,0.18,0.03,False,41.04
R0161,S081,F012,Road,1013.35,2,10000,0.1513,0.12,0.18,0.03,False,45.4
R0162,S081,F020,Road,278.72,1,10000,0.0779,0.12,0.18,0.03,False,23.36
R0163,S082,F011,Road,1015.51,2,10000,0.1516,0.12,0.18,0.03,False,45.47
R0164,S082,F003,Road,1369.86,3,10000,0.187,0.12,0.18,0.03,False,56.1
R0165,S083,F009,Road,289.15,1,10000,0.0789,0.12,0.18,0.03,False,23.67
R0166,S083,F001,Road,2092.67,4,10000,0.2593,0.12,0.18,0.03,False,77.78
R0167,S084,F007,Road,1622.39,3,10000,0.2122,0.12,0.18,0.03,False,63.67
R0168,S084,F005,Road,616.03,2,10000,0.1116,0.12,0.18,0.03,False,33.48
R0169,S085,F018,Road,1054.79,2,10000,0.1555,0.12,0.18,0.03,False,46.64
R0170,S085,F007,Road,1409.86,3,10000,0.191,0.12,0.18,0.03,False,57.3
R0171,S086,F016,Road,6.44,1,10000,0.0506,0.12,0.18,0.03,False,15.19
R0172,S086,F011,Road,883.33,2,10000,0.1383,0.12,0.18,0.03,False,41.5
R0173,S087,F019,Road,1630.68,3,10000,0.2131,0.12,0.18,0.03,False,63.92
R0174,S087,F003,Road,1565.24,3,10000,0.2065,0.12,0.18,0.03,False,61.96
R0175,S088,F009,Road,641.67,2,10000,0.1142,0.12,0.18,0.03,False,34.25
R0176,S088,F003,Road,923.68,2,10000,0.1424,0.12,0.18,0.03,False,42.71
R0177,S089,F002,Road,1110.72,3,10000,0.1611,0.12,0.18,0.03,False,48.32
R0178,S089,F001,Road,1878.33,4,10000,0.2378,0.12,0.18,0.03,False,71.35
R0179,S090,F017,Road,2111.48,4,10000,0.2611,0.12,0.18,0.03,False,78.34
R0180,S090,F015,Road,867.11,2,10000,0.1367,0.12,0.18,0.03,False,41.01
R0181,S091,F007,Road,1864.44,4,10000,0.2364,0.12,0.18,0.03,False,70.93
R0182,S091,F006,Road,879.96,2,10000,0.138,0.12,0.18,0.03,False,41.4
R0183,S092,F001,Road,1015.84,2,10000,0.1516,0.12,0.18,0.03,False,45.48
R0184,S092,F012,Road,7.34,1,10000,0.0507,0.12,0.18,0.03,False,15.22
R0185,S093,F006,Road,1414.39,3,10000,0.1914,0.12,0.18,0.03,False,57.43
R0186,S093,F018,Road,937.96,2,10000,0.1438,0.12,0.18,0.03,False,43.14
R0187,S094,F020,Road,519.19,1,10000,0.1019,0.12,0.18,0.03,False,30.58
R0188,S094,F011,Road,354.13,1,10000,0.0854,0.12,0.18,0.03,False,25.62
R0189,S095,F008,Road,1054.73,2,10000,0.1555,0.12,0.18,0.03,False,46.64
R0190,S095,F007,Road,1408.98,3,10000,0.1909,0.12,0.18,0.03,False,57.27
R0191,S096,F008,Road,617.32,2,10000,0.1117,0.12,0.18,0.03,False,33.52
R0192,S096,F011,Road,883.55,2,10000,0.1384,0.12,0.18,0.03,False,41.51
R0193,S097,F020,Road,2125.28,4,10000,0.2625,0.12,0.18,0.03,False,78.76
R0194,S097,F008,Road,1947.38,4,10000,0.2447,0.12,0.18,0.03,False,73.42
R0195,S098,F006,Road,626.01,2,10000,0.1126,0.12,0.18,0.03,False,33.78
R0196,S098,F015,Road,1055.32,2,10000,0.1555,0.12,0.18,0.03,False,46.66
R0197,S099,F012,Road,1110.72,3,10000,0.1611,0.12,0.18,0.03,False,48.32
R0198,S099,F015,Road,1317.15,3,10000,0.1817,0.12,0.18,0.03,False,54.51
R0199,S100,F010,Road,8.41,1,10000,0.0508,0.12,0.18,0.03,False,15.25
R0200,S100,F008,Road,1692.13,4,10000,0.2192,0.12,0.18,0.03,False,65.76
R0201,F001,W001,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0202,F001,W002,Road,1014.45,2,10000,0.1514,0.12,0.18,0.03,False,45.43
R0203,F001,W003,Road,2087.44,4,10000,0.2587,0.12,0.18,0.03,False,77.62
R0204,F001,W004,Road,348.71,1,10000,0.0849,0.12,0.18,0.03,False,25.46
R0205,F001,W005,Road,601.05,2,10000,0.1101,0.12,0.18,0.03,False,33.03
R0206,F001,W006,Road,881.86,2,10000,0.1382,0.12,0.18,0.03,False,41.46
R0207,F001,W007,Road,1872.82,4,10000,0.2373,0.12,0.18,0.03,False,71.18
R0208,F001,W008,Road,1484.17,3,10000,0.1984,0.12,0.18,0.03,False,59.53
R0209,F001,W009,Road,1873.63,4,10000,0.2374,0.12,0.18,0.03,False,71.21
R0210,F001,W010,Road,272.88,1,10000,0.0773,0.12,0.18,0.03,False,23.19
R0211,F001,W011,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0212,F001,W012,Road,1014.6,2,10000,0.1515,0.12,0.18,0.03,False,45.44
R0213,F001,W013,Road,2088.09,4,10000,0.2588,0.12,0.18,0.03,False,77.64
R0214,F001,W014,Road,349.38,1,10000,0.0849,0.12,0.18,0.03,False,25.48
R0215,F001,W015,Road,601.83,2,10000,0.1102,0.12,0.18,0.03,False,33.05
R0216,F001,W016,Road,882.07,2,10000,0.1382,0.12,0.18,0.03,False,41.46
R0217,F001,W017,Road,1873.72,4,10000,0.2374,0.12,0.18,0.03,False,71.21
R0218,F001,W018,Road,1484.5,3,10000,0.1985,0.12,0.18,0.03,False,59.54
R0219,F001,W019,Road,1874.21,4,10000,0.2374,0.12,0.18,0.03,False,71.23
R0220,F001,W020,Road,272.05,1,10000,0.0772,0.12,0.18,0.03,False,23.16
R0221,F001,W021,Road,1.86,1,10000,0.0502,0.12,0.18,0.03,False,15.06
R0222,F001,W022,Road,1014.75,2,10000,0.1515,0.12,0.18,0.03,False,45.44
R0223,F001,W023,Road,2088.75,4,10000,0.2589,0.12,0.18,0.03,False,77.66
R0224,F001,W024,Road,350.06,1,10000,0.085,0.12,0.18,0.03,False,25.5
R0225,F001,W025,Road,602.61,2,10000,0.1103,0.12,0.18,0.03,False,33.08
R0226,F001,W026,Road,882.28,2,10000,0.1382,0.12,0.18,0.03,False,41.47
R0227,F001,W027,Road,1874.63,4,10000,0.2375,0.12,0.18,0.03,False,71.24
R0228,F001,W028,Road,1484.83,3,10000,0.1985,0.12,0.18,0.03,False,59.54
R0229,F001,W029,Road,1874.8,4,10000,0.2375,0.12,0.18,0.03,False,71.24
R0230,F001,W030,Road,271.21,1,10000,0.0771,0.12,0.18,0.03,False,23.14
R0231,F002,W001,Road,1014.45,2,10000,0.1514,0.12,0.18,0.03,False,45.43
R0232,F002,W002,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0233,F002,W003,Road,1376.68,3,10000,0.1877,0.12,0.18,0.03,False,56.3
R0234,F002,W004,Road,1240.0,3,10000,0.174,0.12,0.18,0.03,False,52.2
R0235,F002,W005,Road,745.82,2,10000,0.1246,0.12,0.18,0.03,False,37.37
R0236,F002,W006,Road,144.59,1,10000,0.0645,0.12,0.18,0.03,False,19.34
R0237,F002,W007,Road,1984.84,4,10000,0.2485,0.12,0.18,0.03,False,74.55
R0238,F002,W008,Road,527.14,1,10000,0.1027,0.12,0.18,0.03,False,30.81
R0239,F002,W009,Road,1104.1,3,10000,0.1604,0.12,0.18,0.03,False,48.12
R0240,F002,W010,Road,1196.87,3,10000,0.1697,0.12,0.18,0.03,False,50.91
R0241,F002,W011,Road,1014.29,2,10000,0.1514,0.12,0.18,0.03,False,45.43
R0242,F002,W012,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0243,F002,W013,Road,1377.53,3,10000,0.1878,0.12,0.18,0.03,False,56.33
R0244,F002,W014,Road,1240.05,3,10000,0.174,0.12,0.18,0.03,False,52.2
R0245,F002,W015,Road,746.21,2,10000,0.1246,0.12,0.18,0.03,False,37.39
R0246,F002,W016,Road,144.79,1,10000,0.0645,0.12,0.18,0.03,False,19.34
R0247,F002,W017,Road,1985.57,4,10000,0.2486,0.12,0.18,0.03,False,74.57
R0248,F002,W018,Road,527.76,1,10000,0.1028,0.12,0.18,0.03,False,30.83
R0249,F002,W019,Road,1104.93,3,10000,0.1605,0.12,0.18,0.03,False,48.15
R0250,F002,W020,Road,1196.55,3,10000,0.1697,0.12,0.18,0.03,False,50.9
R0251,F002,W021,Road,1014.14,2,10000,0.1514,0.12,0.18,0.03,False,45.42
R0252,F002,W022,Road,1.84,1,10000,0.0502,0.12,0.18,0.03,False,15.06
R0253,F002,W023,Road,1378.37,3,10000,0.1878,0.12,0.18,0.03,False,56.35
R0254,F002,W024,Road,1240.1,3,10000,0.174,0.12,0.18,0.03,False,52.2
R0255,F002,W025,Road,746.61,2,10000,0.1247,0.12,0.18,0.03,False,37.4
R0256,F002,W026,Road,144.99,1,10000,0.0645,0.12,0.18,0.03,False,19.35
R0257,F002,W027,Road,1986.3,4,10000,0.2486,0.12,0.18,0.03,False,74.59
R0258,F002,W028,Road,528.39,1,10000,0.1028,0.12,0.18,0.03,False,30.85
R0259,F002,W029,Road,1105.75,3,10000,0.1606,0.12,0.18,0.03,False,48.17
R0260,F002,W030,Road,1196.23,3,10000,0.1696,0.12,0.18,0.03,False,50.89
R0261,F003,W001,Road,2087.44,4,10000,0.2587,0.12,0.18,0.03,False,77.62
R0262,F003,W002,Road,1376.68,3,10000,0.1877,0.12,0.18,0.03,False,56.3
R0263,F003,W003,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0264,F003,W004,Road,2106.76,4,10000,0.2607,0.12,0.18,0.03,False,78.2
R0265,F003,W005,Road,1505.32,3,10000,0.2005,0.12,0.18,0.03,False,60.16
R0266,F003,W006,Road,1407.07,3,10000,0.1907,0.12,0.18,0.03,False,57.21
R0267,F003,W007,Road,1564.04,3,10000,0.2064,0.12,0.18,0.03,False,61.92
R0268,F003,W008,Road,930.88,2,10000,0.1431,0.12,0.18,0.03,False,42.93
R0269,F003,W009,Road,282.07,1,10000,0.0782,0.12,0.18,0.03,False,23.46
R0270,F003,W010,Road,2347.31,5,10000,0.2847,0.12,0.18,0.03,False,85.42
R0271,F003,W011,Road,2086.79,4,10000,0.2587,0.12,0.18,0.03,False,77.6
R0272,F003,W012,Road,1375.83,3,10000,0.1876,0.12,0.18,0.03,False,56.27
R0273,F003,W013,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0274,F003,W014,Road,2106.22,4,10000,0.2606,0.12,0.18,0.03,False,78.19
R0275,F003,W015,Road,1504.72,3,10000,0.2005,0.12,0.18,0.03,False,60.14
R0276,F003,W016,Road,1406.25,3,10000,0.1906,0.12,0.18,0.03,False,57.19
R0277,F003,W017,Road,1564.19,3,10000,0.2064,0.12,0.18,0.03,False,61.93
R0278,F003,W018,Road,929.98,2,10000,0.143,0.12,0.18,0.03,False,42.9
R0279,F003,W019,Road,281.18,1,10000,0.0781,0.12,0.18,0.03,False,23.44
R0280,F003,W020,Road,2346.63,5,10000,0.2847,0.12,0.18,0.03,False,85.4
R0281,F003,W021,Road,2086.13,4,10000,0.2586,0.12,0.18,0.03,False,77.58
R0282,F003,W022,Road,1374.97,3,10000,0.1875,0.12,0.18,0.03,False,56.25
R0283,F003,W023,Road,1.78,1,10000,0.0502,0.12,0.18,0.03,False,15.05
R0284,F003,W024,Road,2105.67,4,10000,0.2606,0.12,0.18,0.03,False,78.17
R0285,F003,W025,Road,1504.12,3,10000,0.2004,0.12,0.18,0.03,False,60.12
R0286,F003,W026,Road,1405.43,3,10000,0.1905,0.12,0.18,0.03,False,57.16
R0287,F003,W027,Road,1564.34,3,10000,0.2064,0.12,0.18,0.03,False,61.93
R0288,F003,W028,Road,929.08,2,10000,0.1429,0.12,0.18,0.03,False,42.87
R0289,F003,W029,Road,280.29,1,10000,0.078,0.12,0.18,0.03,False,23.41
R0290,F003,W030,Road,2345.96,5,10000,0.2846,0.12,0.18,0.03,False,85.38
R0291,F004,W001,Road,348.71,1,10000,0.0849,0.12,0.18,0.03,False,25.46
R0292,F004,W002,Road,1240.0,3,10000,0.174,0.12,0.18,0.03,False,52.2
R0293,F004,W003,Road,2106.76,4,10000,0.2607,0.12,0.18,0.03,False,78.2
R0294,F004,W004,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
R0295,F004,W005,Road,619.05,2,10000,0.1119,0.12,0.18,0.03,False,33.57
R0296,F004,W006,Road,1097.06,2,10000,0.1597,0.12,0.18,0.03,False,47.91
R0297,F004,W007,Road,1629.8,3,10000,0.213,0.12,0.18,0.03,False,63.89
R0298,F004,W008,Road,1646.25,3,10000,0.2146,0.12,0.18,0.03,False,64.39
R0299,F004,W009,Road,1928.44,4,10000,0.2428,0.12,0.18,0.03,False,72.85
R0300,F004,W010,Road,511.96,1,10000,0.1012,0.12,0.18,0.03,False,30.36
R0301,F004,W011,Road,348.03,1,10000,0.0848,0.12,0.18,0.03,False,25.44
R0302,F004,W012,Road,1239.93,3,10000,0.174,0.12,0.18,0.03,False,52.2
R0303,F004,W013,Road,2107.31,4,10000,0.2607,0.12,0.18,0.03,False,78.22
R0304,F004,W014,Road,1.2,1,10000,0.0501,0.12,0.18,0.03,False,15.04
