order_id,customer_id,product_id,warehouse_id,order_date,required_date,quantity,unit_price,priority,order_status,region
O000028,CU12773,P001,W030,2026-08-12,2026-08-16,9,1828.71,High,Delivered,South
O000029,CU05648,P008,W023,2026-11-16,2026-11-21,10,1754.19,Critical,Delivered,North
O000030,CU00659,P083,W024,2026-12-10,2026-12-17,6,1718.44,Medium,Delivered,South
O000031,CU04824,P006,W029,2026-11-27,2026-12-03,9,1779.32,Medium,Delivered,North
O000032,CU14920,P076,W015,2026-08-20,2026-08-25,4,1517.74,High,Delivered,South
O000033,CU14826,P086,W005,2026-12-28,2027-01-02,3,1780.69,Medium,In_Transit,South
O000034,CU05084,P042,W005,2026-12-14,2026-12-19,13,1908.24,Critical,Delivered,South
O000035,CU01424,P038,W005,2026-04-08,2026-04-13,15,1677.89,Medium,Delivered,South
O000036,CU03458,P044,W021,2026-05-10,2026-05-14,3,1667.76,Low,Delivered,South
O000037,CU09611,P059,W023,2026-05-23,2026-05-27,7,1457.23,Medium,Delivered,North
O000038,CU16285,P093,W024,2026-08-19,2026-08-26,9,2141.57,Low,Delivered,South
O000039,CU01593,P002,W015,2026-10-22,2026-10-27,8,2277.32,Critical,Delivered,South
O000040,CU04216,P073,W014,2026-12-16,2026-12-23,3,2049.17,Medium,Delivered,South
O000041,CU00833,P053,W015,2026-10-20,2026-10-26,14,1638.29,High,Delivered,South
O000042,CU16207,P052,W021,2026-01-31,2026-02-05,14,1581.06,Critical,Delivered,South
O000043,CU14295,P015,W001,2026-12-17,2026-12-22,3,1904.84,Medium,Delivered,South
O000044,CU09889,P045,W029,2026-01-08,2026-01-14,9,1401.0,Low,Delivered,North
O000045,CU05644,P028,W020,2026-01-17,2026-01-24,13,1832.07,Critical,Delivered,South
O000046,CU03846,P044,W002,2026-04-13,2026-04-19,7,1667.76,Critical,Delivered,West
O000047,CU12246,P049,W026,2026-12-14,2026-12-20,15,1254.47,High,Delivered,West
O000048,CU11383,P012,W025,2026-10-08,2026-10-13,4,1259.62,Critical,Delivered,South
O000049,CU11063,P094,W024,2026-09-02,2026-09-06,2,1755.47,Critical,Delivered,South
O000050,CU16693,P022,W025,2026-08-14,2026-08-19,1,1443.59,Low,Delivered,South
O000051,CU14063,P040,W018,2026-08-29,2026-09-05,3,1600.78,Medium,Delivered,West
O000052,CU12094,P007,W023,2026-03-27,2026-04-02,15,2362.8,Medium,Delivered,North
O000053,CU11290,P098,W015,2026-01-31,2026-02-05,2,1551.28,High,Delivered,South
O000054,CU10041,P004,W012,2026-03-14,2026-03-20,9,1506.02,Low,Delivered,West
O000055,CU06866,P066,W004,2026-09-21,2026-09-26,2,2195.84,Critical,Delivered,South
O000056,CU05936,P002,W030,2026-01-16,2026-01-22,10,2277.32,Medium,Delivered,South
O000057,CU18662,P003,W019,2026-09-21,2026-09-25,2,1382.34,High,Delivered,North
O000058,CU15504,P087,W016,2026-07-30,2026-08-06,8,1689.96,Medium,Delivered,West
O000059,CU13415,P094,W015,2026-11-23,2026-11-28,4,1755.47,High,Delivered,South
O000060,CU18107,P019,W027,2026-08-12,2026-08-18,1,1619.04,Medium,Delivered,East
O000061,CU12495,P008,W018,2026-12-10,2026-12-14,10,1754.19,High,Delivered,West
O000062,CU13794,P011,W016,2026-10-28,2026-11-02,4,1428.84,Critical,Delivered,West
O000063,CU04143,P065,W015,2026-04-10,2026-04-14,5,1558.03,Critical,Delivered,South
O000064,CU03900,P069,W014,2026-05-08,2026-05-15,3,1609.53,Critical,Delivered,South
O000065,CU13836,P090,W026,2026-04-06,2026-04-11,15,2191.23,High,Delivered,West
O000066,CU11900,P091,W023,2026-02-26,2026-03-05,12,1764.05,Medium,Delivered,North
O000067,CU19861,P081,W018,2026-04-02,2026-04-08,10,1828.86,Medium,Delivered,West
O000068,CU08230,P016,W006,2026-02-06,2026-02-10,1,1877.81,Critical,Delivered,West
O000069,CU04405,P028,W013,2026-10-12,2026-10-17,4,1832.07,Low,Delivered,North
O000070,CU19743,P044,W026,2026-11-28,2026-12-03,6,1667.76,Medium,Delivered,West
O000071,CU02440,P025,W024,2026-01-07,2026-01-12,14,1278.22,Low,Delivered,South
O000072,CU01490,P074,W026,2026-02-06,2026-02-11,10,2182.61,Critical,Delivered,West
O000073,CU13155,P034,W016,2026-05-11,2026-05-16,11,1274.41,Medium,Delivered,West
O000074,CU07170,P041,W024,2026-08-01,2026-08-05,4,1836.19,Low,Delivered,South
O000075,CU08369,P018,W007,2026-02-27,2026-03-06,10,1375.37,Critical,Delivered,East
O000076,CU18051,P079,W030,2026-08-01,2026-08-08,10,1743.52,High,Delivered,South
O000077,CU05618,P095,W008,2026-10-25,2026-10-30,15,2018.8,Medium,Delivered,West
O000078,CU03061,P071,W002,2026-09-11,2026-09-16,1,1449.26,Medium,Delivered,West
O000079,CU16335,P097,W007,2026-07-15,2026-07-19,1,2092.9,Low,Delivered,East
O000080,CU00733,P093,W018,2026-11-05,2026-11-10,14,2141.57,Critical,Delivered,West
O000081,CU03991,P082,W016,2026-06-20,2026-06-24,13,1477.02,Critical,Delivered,West
O000082,CU09259,P029,W011,2026-06-01,2026-06-08,9,1884.63,Critical,Delivered,South
O000083,CU03654,P055,W005,2026-09-23,2026-09-27,12,1521.29,Medium,Delivered,South
O000084,CU00563,P086,W020,2026-08-24,2026-08-29,1,1780.69,Critical,Delivered,South
O000085,CU12152,P050,W022,2026-12-17,2026-12-23,7,1681.79,Critical,Delivered,West
O000086,CU19434,P067,W004,2026-11-25,2026-12-01,14,1766.71,High,Delivered,South
O000087,CU14221,P039,W030,2026-07-18,2026-07-25,2,1579.48,High,Delivered,South
O000088,CU10559,P042,W005,2026-07-25,2026-07-30,13,1908.24,Critical,Delivered,South
O000089,CU17895,P080,W013,2026-05-09,2026-05-17,13,1828.94,High,Delivered,North
O000090,CU13088,P100,W015,2026-06-25,2026-06-30,3,1663.66,Low,Delivered,South
O000091,CU06701,P088,W015,2026-06-07,2026-06-12,9,1756.58,High,Delivered,South
O000092,CU04529,P094,W014,2026-05-18,2026-05-22,14,1755.47,High,Delivered,South
O000093,CU09550,P002,W024,2026-02-25,2026-03-03,7,2277.32,Critical,Delivered,South
O000094,CU04749,P069,W003,2026-05-01,2026-05-05,10,1609.53,Medium,Delivered,North
O000095,CU02498,P090,W029,2026-07-01,2026-07-08,3,2191.23,Critical,Delivered,North
O000096,CU19965,P047,W008,2026-01-17,2026-01-24,10,1495.14,High,Delivered,West
O000097,CU06107,P038,W025,2026-01-05,2026-01-10,6,1677.89,Medium,Delivered,South
O000098,CU06770,P095,W018,2026-04-14,2026-04-19,4,2018.8,Medium,Delivered,West
O000099,CU14948,P024,W021,2026-11-22,2026-11-26,13,1890.71,Low,Delivered,South
O000100,CU11697,P073,W002,2026-10-16,2026-10-22,10,2049.17,Critical,Delivered,West
O000101,CU08860,P040,W022,2026-02-21,2026-02-27,12,1600.78,Critical,Delivered,West
O000102,CU17060,P060,W026,2026-03-10,2026-03-15,15,1950.06,Medium,Delivered,West
O000103,CU13535,P019,W012,2026-12-11,2026-12-17,1,1619.04,Medium,Delivered,West
O000104,CU00570,P065,W025,2026-11-09,2026-11-13,15,1558.03,Critical,Delivered,South
O000105,CU12166,P049,W008,2026-01-22,2026-01-27,5,1254.47,Critical,Delivered,West
O000106,CU13720,P040,W001,2026-08-12,2026-08-16,1,1600.78,Low,Delivered,South
O000107,CU12169,P069,W003,2026-03-07,2026-03-11,9,1609.53,Low,Delivered,North
O000108,CU15363,P026,W020,2026-09-16,2026-09-21,13,2151.64,Medium,Delivered,South
O000109,CU16467,P026,W010,2026-09-19,2026-09-24,1,2151.64,Critical,Delivered,South
O000110,CU08103,P084,W019,2026-01-05,2026-01-12,2,1221.81,Low,Delivered,North
O000111,CU01487,P020,W008,2026-03-25,2026-04-01,12,1566.77,High,Delivered,West
O000112,CU02531,P024,W006,2026-05-06,2026-05-11,3,1890.71,Low,Delivered,West
O000113,CU09552,P054,W003,2026-12-08,2026-12-15,7,1873.41,Low,Delivered,North
O000114,CU14966,P006,W012,2026-10-27,2026-10-31,10,1779.32,Critical,Delivered,West
O000115,CU16844,P013,W019,2026-04-26,2026-04-30,5,2214.66,Low,Delivered,North
O000116,CU16390,P083,W021,2026-01-08,2026-01-15,11,1718.44,Low,Delivered,South
O000117,CU10894,P084,W020,2026-07-10,2026-07-14,7,1221.81,High,Delivered,South
O000118,CU10994,P085,W012,2026-04-21,2026-04-26,11,1638.45,Low,Delivered,West
O000119,CU04035,P020,W013,2026-01-13,2026-01-21,2,1566.77,Critical,Delivered,North
O000120,CU02738,P017,W009,2026-03-28,2026-04-03,15,1531.05,Critical,Delivered,North
O000121,CU10430,P044,W021,2026-06-14,2026-06-18,1,1667.76,Low,Delivered,South
O000122,CU18816,P034,W029,2026-08-16,2026-08-23,6,1274.41,Low,Delivered,North
O000123,CU11464,P012,W018,2026-10-02,2026-10-06,15,1259.62,Critical,Delivered,West
O000124,CU08280,P055,W027,2026-10-26,2026-11-01,4,1521.29,Low,Delivered,East
O000125,CU18909,P061,W012,2026-02-25,2026-03-02,7,2377.45,Critical,Delivered,West
O000126,CU15828,P052,W008,2026-01-24,2026-01-28,4,1581.06,Critical,Delivered,West
O000127,CU10352,P054,W002,2026-08-29,2026-09-04,11,1873.41,High,Delivered,West
O000128,CU13137,P043,W009,2026-12-01,2026-12-05,4,2352.24,Low,Delivered,North
O000129,CU12140,P004,W018,2026-05-20,2026-05-26,11,1506.02,Low,Delivered,West
O000130,CU01357,P057,W019,2026-12-31,2027-01-06,14,1566.39,Low,In_Transit,North
O000131,CU19802,P071,W013,2026-11-25,2026-12-02,6,1449.26,Medium,Delivered,North
O000132,CU19723,P093,W024,2026-04-05,2026-04-12,7,2141.57,High,Delivered,South
O000133,CU09625,P065,W002,2026-01-22,2026-01-27,10,1558.03,Critical,Delivered,West
O000134,CU06561,P087,W019,2026-06-19,2026-06-25,5,1689.96,High,Delivered,North
O000135,CU18816,P010,W029,2026-05-08,2026-05-15,1,1599.86,Low,Delivered,North
O000136,CU15639,P001,W030,2026-11-08,2026-11-12,11,1828.71,Critical,Delivered,South
O000137,CU07913,P052,W020,2026-06-12,2026-06-18,15,1581.06,Critical,Delivered,South
O000138,CU16703,P032,W014,2026-02-10,2026-02-16,1,1577.18,High,Delivered,South
O000139,CU04997,P057,W022,2026-06-18,2026-06-25,5,1566.39,Critical,Delivered,West
O000140,CU17003,P055,W022,2026-02-18,2026-02-23,11,1521.29,Critical,Delivered,West
O000141,CU14273,P100,W006,2026-11-08,2026-11-13,15,1663.66,Medium,Delivered,West
O000142,CU06380,P006,W015,2026-04-20,2026-04-25,15,1779.32,Medium,Delivered,South
O000143,CU10730,P036,W016,2026-09-24,2026-09-28,15,1498.01,High,Delivered,West
O000144,CU02727,P011,W027,2026-08-14,2026-08-21,9,1428.84,Medium,Delivered,East
O000145,CU03698,P010,W004,2026-09-20,2026-09-24,11,1599.86,Medium,Delivered,South
O000146,CU13813,P030,W026,2026-01-11,2026-01-16,15,2508.28,Critical,Delivered,West
O000147,CU19156,P069,W026,2026-07-09,2026-07-15,12,1609.53,Medium,Delivered,West
O000148,CU13256,P037,W003,2026-03-04,2026-03-10,9,1837.25,High,Delivered,North
O000149,CU12049,P072,W017,2026-09-01,2026-09-08,5,1671.96,Critical,Delivered,East
O000150,CU14343,P061,W017,2026-10-26,2026-11-02,8,2377.45,High,Delivered,East
O000151,CU08819,P083,W009,2026-12-16,2026-12-20,11,1718.44,Medium,Delivered,North
O000152,CU14585,P065,W012,2026-11-04,2026-11-09,13,1558.03,Low,Delivered,West
O000153,CU15888,P025,W002,2026-02-15,2026-02-20,12,1278.22,High,Delivered,West
O000154,CU07823,P070,W007,2026-01-19,2026-01-26,8,1491.91,High,Delivered,East
O000155,CU06810,P052,W029,2026-09-25,2026-10-01,14,1581.06,Low,Delivered,North
O000156,CU18133,P098,W002,2026-04-21,2026-04-25,6,1551.28,Low,Delivered,West
O000157,CU00457,P073,W010,2026-01-21,2026-01-29,13,2049.17,Critical,Delivered,South
O000158,CU10704,P088,W026,2026-08-03,2026-08-08,6,1756.58,Critical,Delivered,West
O000159,CU04623,P093,W029,2026-05-08,2026-05-12,11,2141.57,Critical,Delivered,North
O000160,CU01472,P015,W005,2026-01-20,2026-01-24,7,1904.84,Medium,Delivered,South
O000161,CU07770,P014,W020,2026-04-30,2026-05-04,2,2468.18,Low,Delivered,South
O000162,CU14553,P004,W017,2026-11-11,2026-11-17,9,1506.02,Medium,Delivered,East
O000163,CU03714,P052,W016,2026-06-09,2026-06-13,10,1581.06,Medium,Delivered,West
O000164,CU05683,P056,W017,2026-10-11,2026-10-18,8,2450.17,Low,Delivered,East
O000165,CU15464,P094,W013,2026-03-31,2026-04-07,8,1755.47,Critical,Delivered,North
O000166,CU18707,P072,W029,2026-11-28,2026-12-04,11,1671.96,Critical,Delivered,North
O000167,CU06714,P081,W029,2026-12-29,2027-01-05,9,1828.86,Low,In_Transit,North
O000168,CU12597,P098,W002,2026-03-06,2026-03-10,3,1551.28,High,Delivered,West
O000169,CU15328,P092,W004,2026-12-18,2026-12-24,3,1859.79,High,Delivered,South
O000170,CU10182,P067,W017,2026-11-29,2026-12-03,7,1766.71,Low,Delivered,East
O000171,CU04624,P047,W029,2026-07-28,2026-08-03,12,1495.14,High,Delivered,North
O000172,CU13432,P021,W007,2026-09-09,2026-09-16,3,2276.14,Critical,Delivered,East
O000173,CU13101,P027,W030,2026-02-22,2026-03-01,1,1865.83,Low,Delivered,South
O000174,CU18656,P054,W024,2026-05-26,2026-05-30,6,1873.41,Medium,Delivered,South
O000175,CU05238,P086,W002,2026-02-21,2026-02-25,8,1780.69,Low,Delivered,West
O000176,CU12546,P012,W015,2026-09-12,2026-09-17,3,1259.62,Low,Delivered,South
O000177,CU01481,P056,W004,2026-05-05,2026-05-10,5,2450.17,High,Delivered,South
O000178,CU15064,P059,W022,2026-03-15,2026-03-21,7,1457.23,High,Delivered,West
O000179,CU08729,P002,W005,2026-02-09,2026-02-14,14,2277.32,Medium,Delivered,South
O000180,CU16595,P072,W015,2026-04-19,2026-04-24,8,1671.96,Low,Delivered,South
O000181,CU13829,P054,W025,2026-07-19,2026-07-24,11,1873.41,Critical,Delivered,South
O000182,CU08580,P083,W020,2026-10-10,2026-10-18,2,1718.44,Low,Delivered,South
O000183,CU03253,P096,W005,2026-09-04,2026-09-09,3,2186.42,High,Delivered,South
O000184,CU00395,P054,W005,2026-05-31,2026-06-05,15,1873.41,Critical,Delivered,South
O000185,CU00758,P087,W027,2026-12-11,2026-12-15,10,1689.96,High,Delivered,East
O000186,CU01306,P037,W006,2026-06-12,2026-06-19,4,1837.25,Low,Delivered,West
O000187,CU14138,P026,W003,2026-05-13,2026-05-19,8,2151.64,High,Delivered,North
O000188,CU02443,P005,W021,2026-11-08,2026-11-13,5,1489.32,High,Delivered,South
O000189,CU07925,P055,W024,2026-09-04,2026-09-09,5,1521.29,High,Delivered,South
O000190,CU19766,P085,W016,2026-11-18,2026-11-23,3,1638.45,Medium,Delivered,West
O000191,CU10978,P054,W013,2026-01-07,2026-01-14,8,1873.41,Critical,Delivered,North
O000192,CU09762,P029,W021,2026-04-19,2026-04-26,9,1884.63,Critical,Delivered,South
O000193,CU11722,P100,W028,2026-08-14,2026-08-21,4,1663.66,High,Delivered,West
O000194,CU04869,P091,W029,2026-02-10,2026-02-17,6,1764.05,High,Delivered,North
O000195,CU16033,P013,W018,2026-02-23,2026-02-28,12,2214.66,High,Delivered,West
O000196,CU15761,P036,W013,2026-08-17,2026-08-23,4,1498.01,Medium,Delivered,North
O000197,CU18405,P067,W014,2026-01-18,2026-01-24,5,1766.71,Critical,Delivered,South
O000198,CU06403,P069,W021,2026-02-17,2026-02-24,3,1609.53,High,Delivered,South
O000199,CU07639,P025,W004,2026-10-22,2026-10-27,8,1278.22,Critical,Delivered,South
O000200,CU02801,P069,W026,2026-02-24,2026-03-02,4,1609.53,Critical,Delivered,West
O000201,CU11424,P015,W011,2026-06-09,2026-06-14,4,1904.84,Low,Delivered,South
O000202,CU15300,P012,W025,2026-09-11,2026-09-16,2,1259.62,Low,Delivered,South
O000203,CU18477,P066,W027,2026-07-12,2026-07-19,7,2195.84,Medium,Delivered,East
O000204,CU16872,P084,W008,2026-01-17,2026-01-23,3,1221.81,Critical,Delivered,West
O000205,CU16276,P007,W001,2026-05-17,2026-05-24,11,2362.8,Medium,Delivered,South
O000206,CU08234,P081,W030,2026-02-18,2026-02-22,4,1828.86,Critical,Delivered,South
O000207,CU04434,P027,W010,2026-02-08,2026-02-15,15,1865.83,High,Delivered,South
O000208,CU14100,P050,W010,2026-09-25,2026-09-29,7,1681.79,Low,Delivered,South
O000209,CU02488,P039,W004,2026-03-17,2026-03-24,11,1579.48,High,Delivered,South
O000210,CU05883,P094,W010,2026-03-23,2026-03-27,15,1755.47,Low,Delivered,South
O000211,CU17963,P079,W018,2026-06-05,2026-06-10,4,1743.52,Medium,Delivered,West
O000212,CU16910,P047,W008,2026-04-15,2026-04-22,6,1495.14,Medium,Delivered,West
O000213,CU18708,P042,W014,2026-08-21,2026-08-27,6,1908.24,Medium,Delivered,South
O000214,CU16646,P018,W012,2026-03-14,2026-03-18,3,1375.37,High,Delivered,West
O000215,CU03499,P022,W014,2026-01-01,2026-01-07,13,1443.59,Low,Delivered,South
O000216,CU07534,P081,W010,2026-06-06,2026-06-10,8,1828.86,Critical,Delivered,South
O000217,CU17139,P045,W012,2026-04-17,2026-04-22,4,1401.0,High,Delivered,West
O000218,CU01028,P087,W027,2026-10-07,2026-10-11,13,1689.96,Medium,Delivered,East
O000219,CU18001,P025,W015,2026-02-27,2026-03-03,10,1278.22,Low,Delivered,South
O000220,CU18665,P061,W017,2026-04-10,2026-04-17,11,2377.45,Medium,Delivered,East
O000221,CU16217,P044,W007,2026-03-25,2026-03-31,13,1667.76,Low,Delivered,East
O000222,CU04145,P064,W023,2026-05-16,2026-05-23,10,1049.36,Medium,Delivered,North
O000223,CU13993,P003,W003,2026-05-27,2026-05-31,8,1382.34,Critical,Delivered,North
O000224,CU19930,P086,W007,2026-10-31,2026-11-07,4,1780.69,Low,Delivered,East
O000225,CU17978,P010,W002,2026-08-07,2026-08-13,15,1599.86,High,Delivered,West
O000226,CU12249,P052,W027,2026-09-07,2026-09-14,14,1581.06,Low,Delivered,East
O000227,CU13591,P003,W002,2026-08-23,2026-08-29,12,1382.34,Critical,Delivered,West
O000228,CU00451,P005,W004,2026-04-11,2026-04-16,10,1489.32,Medium,Delivered,South
O000229,CU07902,P030,W013,2026-07-14,2026-07-22,8,2508.28,Low,Delivered,North
O000230,CU15831,P026,W002,2026-04-28,2026-05-02,3,2151.64,High,Delivered,West
O000231,CU07093,P061,W005,2026-02-25,2026-03-02,9,2377.45,Low,Delivered,South
O000232,CU09675,P087,W022,2026-03-24,2026-03-31,4,1689.96,Low,Delivered,West
O000233,CU12641,P052,W029,2026-12-18,2026-12-24,2,1581.06,Medium,Delivered,North
O000234,CU05267,P010,W008,2026-04-13,2026-04-20,2,1599.86,Medium,Delivered,West
O000235,CU17455,P087,W017,2026-08-11,2026-08-15,4,1689.96,Low,Delivered,East
O000236,CU11775,P024,W016,2026-07-25,2026-07-30,4,1890.71,Critical,Delivered,West
O000237,CU02494,P057,W025,2026-05-17,2026-05-23,5,1566.39,High,Delivered,South
O000238,CU04866,P028,W007,2026-09-24,2026-10-01,7,1832.07,Low,Delivered,East
O000239,CU10671,P010,W004,2026-10-02,2026-10-06,4,1599.86,Medium,Delivered,South
O000240,CU01450,P066,W021,2026-01-19,2026-01-24,4,2195.84,High,Delivered,South
O000241,CU16190,P068,W001,2026-08-23,2026-08-29,8,1573.67,Low,Delivered,South
O000242,CU09769,P034,W002,2026-11-24,2026-11-30,4,1274.41,Medium,Delivered,West
O000243,CU19748,P019,W023,2026-07-09,2026-07-13,6,1619.04,High,Delivered,North
O000244,CU12277,P096,W001,2026-11-02,2026-11-07,13,2186.42,Critical,Delivered,South
O000245,CU12630,P032,W007,2026-08-31,2026-09-07,6,1577.18,High,Delivered,East
O000246,CU18885,P021,W019,2026-08-02,2026-08-09,12,2276.14,Low,Delivered,North
O000247,CU18110,P012,W018,2026-11-14,2026-11-18,2,1259.62,High,Delivered,West
O000248,CU09183,P052,W027,2026-01-09,2026-01-16,7,1581.06,High,Delivered,East
O000249,CU16203,P053,W027,2026-08-16,2026-08-22,2,1638.29,Low,Delivered,East
O000250,CU02399,P007,W011,2026-06-05,2026-06-12,1,2362.8,High,Delivered,South
O000251,CU04895,P097,W013,2026-03-06,2026-03-12,15,2092.9,Low,Delivered,North
O000252,CU07315,P012,W019,2026-01-10,2026-01-16,5,1259.62,Low,Delivered,North
O000253,CU02651,P020,W030,2026-03-26,2026-03-30,6,1566.77,High,Delivered,South
O000254,CU04492,P004,W011,2026-04-09,2026-04-13,15,1506.02,Medium,Delivered,South
O000255,CU18484,P023,W001,2026-03-12,2026-03-19,14,1437.45,Critical,Delivered,South
O000256,CU17642,P060,W013,2026-12-27,2027-01-04,2,1950.06,Low,In_Transit,North
O000257,CU12393,P073,W021,2026-06-08,2026-06-15,2,2049.17,Low,Delivered,South
O000258,CU15733,P071,W018,2026-07-29,2026-08-04,8,1449.26,High,Delivered,West
O000259,CU14201,P026,W003,2026-10-05,2026-10-11,5,2151.64,High,Delivered,North
O000260,CU11682,P087,W014,2026-04-27,2026-05-03,9,1689.96,Medium,Delivered,South
O000261,CU17994,P097,W025,2026-02-07,2026-02-13,7,2092.9,Critical,Delivered,South
O000262,CU10278,P005,W010,2026-06-13,2026-06-18,6,1489.32,Critical,Delivered,South
O000263,CU10600,P051,W009,2026-06-08,2026-06-15,15,2002.77,High,Delivered,North
O000264,CU14288,P005,W016,2026-11-28,2026-12-03,11,1489.32,Low,Delivered,West
O000265,CU19446,P094,W001,2026-01-02,2026-01-06,1,1755.47,Medium,Delivered,South
O000266,CU16280,P092,W008,2026-11-26,2026-11-30,14,1859.79,Low,Delivered,West
O000267,CU01740,P003,W009,2026-08-23,2026-08-27,14,1382.34,High,Delivered,North
O000268,CU15198,P066,W008,2026-08-16,2026-08-21,14,2195.84,Critical,Delivered,West
O000269,CU14510,P059,W002,2026-07-20,2026-07-26,14,1457.23,High,Delivered,West
O000270,CU16407,P068,W002,2026-01-29,2026-02-02,11,1573.67,High,Delivered,West
O000271,CU03054,P089,W006,2026-03-17,2026-03-23,9,1582.11,Low,Delivered,West
O000272,CU16312,P056,W002,2026-05-26,2026-05-30,12,2450.17,High,Delivered,West
O000273,CU13339,P095,W028,2026-11-08,2026-11-13,2,2018.8,High,Delivered,West
O000274,CU19333,P019,W023,2026-07-29,2026-08-02,7,1619.04,Critical,Delivered,North
O000275,CU10095,P092,W030,2026-10-14,2026-10-20,14,1859.79,Critical,Delivered,South
O000276,CU18034,P100,W017,2026-11-07,2026-11-14,1,1663.66,Low,Delivered,East
O000277,CU02173,P070,W007,2026-11-17,2026-11-24,2,1491.91,Low,Delivered,East
O000278,CU10924,P021,W028,2026-04-14,2026-04-20,5,2276.14,Medium,Delivered,West
O000279,CU04253,P076,W019,2026-01-18,2026-01-24,1,1517.74,Medium,Delivered,North
O000280,CU16874,P029,W010,2026-08-27,2026-09-03,7,1884.63,Low,Delivered,South
O000281,CU09591,P065,W012,2026-08-10,2026-08-15,13,1558.03,Medium,Delivered,West
O000282,CU18030,P058,W007,2026-05-29,2026-06-05,13,1481.9,High,Delivered,East
O000283,CU14905,P066,W023,2026-09-28,2026-10-04,13,2195.84,High,Delivered,North
O000284,CU08933,P008,W028,2026-01-19,2026-01-23,13,1754.19,High,Delivered,West
O000285,CU11407,P057,W023,2026-12-14,2026-12-20,15,1566.39,Medium,Delivered,North
O000286,CU05289,P078,W012,2026-01-22,2026-01-26,6,1303.45,Medium,Delivered,West
O000287,CU02694,P097,W017,2026-12-06,2026-12-10,13,2092.9,Critical,Delivered,East
O000288,CU10167,P073,W024,2026-08-25,2026-09-01,9,2049.17,Medium,Delivered,South
O000289,CU04213,P089,W025,2026-12-26,2027-01-01,1,1582.11,Medium,Delivered,South
O000290,CU13952,P076,W018,2026-08-06,2026-08-11,12,1517.74,Low,Delivered,West
O000291,CU13881,P039,W028,2026-08-26,2026-08-31,15,1579.48,Critical,Delivered,West
O000292,CU04401,P004,W018,2026-04-08,2026-04-14,1,1506.02,Low,Delivered,West
O000293,CU16886,P044,W001,2026-01-28,2026-02-01,7,1667.76,Low,Delivered,South
O000294,CU18739,P049,W011,2026-05-22,2026-05-29,1,1254.47,Low,Delivered,South
O000295,CU11565,P046,W017,2026-05-06,2026-05-13,13,1718.99,High,Delivered,East
O000296,CU03208,P021,W009,2026-01-05,2026-01-12,7,2276.14,Low,Delivered,North
O000297,CU13677,P018,W009,2026-03-27,2026-04-01,3,1375.37,Critical,Delivered,North
O000298,CU13077,P095,W002,2026-06-22,2026-06-27,10,2018.8,Medium,Delivered,West
O000299,CU05545,P078,W014,2026-09-09,2026-09-15,1,1303.45,Low,Delivered,South
O000300,CU04003,P057,W003,2026-06-28,2026-07-04,5,1566.39,High,Delivered,North
