supplier_id,supplier_name,tier,country,region,latitude,longitude,component_capacity,unit_cost,lead_time_days,lead_time_std,reliability_score,quality_rate,on_time_rate,financial_risk,geopolitical_risk,weather_risk,cyber_risk,backup_available
S013,Vertex Components 013,2,India,North,28.615,77.21499999999999,50000,6.4,15,1.96,0.7252,0.7553,0.7,0.2544,0.1486,0.0607,0.2816,True
S014,Zenith Components 014,2,India,South,13.085,80.27499999999999,50000,6.85,4,3.95,0.8423,0.8009,0.8126,0.2964,0.2316,0.1085,0.1076,True
S015,Vertex Components 015,3,India,South,17.395,78.49499999999999,50000,7.3,15,1.15,0.8057,0.7746,0.8334,0.4675,0.4998,0.0369,0.0637,True
S016,Zenith Components 016,3,India,West,18.525,73.865,50000,7.75,23,2.27,0.6707,0.75,0.7,0.2228,0.1708,0.3244,0.193,True
S017,Nova Components 017,2,India,East,22.575,88.365,50000,8.2,12,4.08,0.8592,0.845,0.7703,0.1712,0.118,0.275,0.2034,True
S018,Orion Components 018,1,India,West,23.025,72.57499999999999,50000,8.65,16,2.67,0.9138,0.9464,0.898,0.0157,0.2577,0.072,0.2694,True
S019,Orion Components 019,1,India,North,26.915,75.795,50000,9.1,9,3.94,0.621,0.75,0.7,0.2257,0.1241,0.0704,0.1545,True
S020,Orion Components 020,1,India,South,11.025,76.96499999999999,50000,9.55,4,2.04,0.9261,0.8938,0.9272,0.1148,0.0411,0.4436,0.1245,True
S021,Orion Components 021,1,India,South,12.98,77.60000000000001,50000,10.0,21,1.11,0.8897,0.8785,0.9011,0.2699,0.1859,0.1204,0.5142,True
S022,Zenith Components 022,1,India,West,19.09,72.89,50000,10.45,16,2.5,0.7719,0.7581,0.7,0.2741,0.3728,0.3493,0.3579,True
S023,Vertex Components 023,1,India,North,28.62,77.22,50000,10.9,10,1.04,0.7071,0.75,0.7,0.3163,0.0594,0.2389,0.1208,True
S024,Nova Components 024,2,India,South,13.09,80.28,50000,11.35,7,4.64,0.8796,0.9058,0.9025,0.1978,0.1231,0.3522,0.1317,True
S025,Orion Components 025,1,India,South,17.400000000000002,78.5,50000,11.8,21,0.69,0.8886,0.8814,0.8787,0.474,0.1768,0.1683,0.3409,True
S026,Zenith Components 026,2,India,West,18.53,73.87,50000,12.25,20,3.35,0.6634,0.75,0.7,0.506,0.1119,0.1732,0.1368,True
S027,Zenith Components 027,1,India,East,22.580000000000002,88.37,50000,12.7,24,4.34,0.9718,0.9282,0.9588,0.2637,0.0904,0.2628,0.1157,True
S028,Vertex Components 028,1,India,West,23.03,72.58,50000,13.15,22,3.33,0.9479,0.9461,0.8762,0.106,0.1366,0.1847,0.1617,True
S029,Vertex Components 029,2,India,North,26.92,75.80000000000001,50000,13.6,17,2.75,0.8763,0.893,0.8343,0.2563,0.1643,0.1206,0.1543,True
S030,Apex Components 030,1,India,South,11.03,76.97,50000,14.05,26,3.09,0.7882,0.75,0.7546,0.0691,0.1338,0.3788,0.1066,True
S031,Zenith Components 031,1,India,South,12.985000000000001,77.605,50000,14.5,13,3.05,0.8179,0.8095,0.8399,0.35,0.304,0.4524,0.1035,True
S032,Orion Components 032,1,India,West,19.095,72.895,50000,14.95,26,4.61,0.83,0.8012,0.7993,0.2043,0.3524,0.2698,0.0787,True
S033,Nova Components 033,3,India,North,28.625,77.225,50000,15.4,25,2.16,0.9371,0.9359,0.8769,0.0586,0.0932,0.3833,0.1502,True
S034,Nova Components 034,3,India,South,13.095,80.285,50000,15.85,8,4.44,0.7541,0.75,0.7597,0.0981,0.0908,0.1705,0.168,True
S035,Apex Components 035,3,India,South,17.405,78.505,50000,16.3,9,4.65,0.6896,0.75,0.7,0.3147,0.1331,0.092,0.1642,True
S036,Nova Components 036,1,India,West,18.535,73.875,50000,16.75,25,4.3,0.9117,0.9471,0.8995,0.2287,0.0972,0.2927,0.2914,True
S037,Nova Components 037,1,India,East,22.585,88.375,50000,17.2,5,2.43,0.8372,0.7895,0.7425,0.2491,0.2135,0.1575,0.1087,True
S038,Vertex Components 038,1,India,West,23.035,72.585,50000,17.65,3,3.48,0.8466,0.8096,0.8214,0.0966,0.2245,0.1794,0.1388,True
S039,Nova Components 039,1,India,North,26.925,75.805,50000,18.1,4,2.38,0.8693,0.8728,0.7941,0.1184,0.1038,0.2276,0.2903,True
S040,Apex Components 040,1,India,South,11.035,76.975,50000,18.55,16,4.82,0.8311,0.8362,0.8459,0.1724,0.1227,0.115,0.0396,True
S041,Zenith Components 041,2,India,South,12.99,77.61,50000,19.0,10,0.79,0.8236,0.794,0.8201,0.0824,0.3547,0.4128,0.2121,True
S042,Orion Components 042,3,India,West,19.099999999999998,72.89999999999999,50000,19.45,20,1.87,0.9361,0.8844,0.903,0.242,0.0548,0.0629,0.247,True
S043,Nova Components 043,2,India,North,28.63,77.22999999999999,50000,19.9,23,3.34,0.558,0.75,0.7,0.2884,0.1717,0.114,0.1729,True
S044,Vertex Components 044,1,India,South,13.1,80.28999999999999,50000,20.35,25,1.98,0.8967,0.9285,0.9032,0.1189,0.1822,0.0728,0.1677,True
S045,Orion Components 045,1,India,South,17.41,78.50999999999999,50000,20.8,5,3.52,0.8193,0.7903,0.7745,0.0168,0.3085,0.1002,0.0472,True
S046,Vertex Components 046,1,India,West,18.54,73.88,50000,21.25,13,2.05,0.9286,0.9597,0.9335,0.4911,0.1305,0.0709,0.1404,True
S047,Vertex Components 047,1,India,East,22.59,88.38,50000,21.7,18,2.22,0.9279,0.9484,0.9395,0.2962,0.0401,0.2489,0.1272,True
S048,Zenith Components 048,2,India,West,23.04,72.58999999999999,50000,22.15,27,1.21,0.8256,0.8044,0.7813,0.0837,0.1967,0.2458,0.2914,True
S049,Apex Components 049,3,India,North,26.93,75.81,50000,22.6,16,2.2,0.9698,0.9741,0.9692,0.2664,0.3042,0.3462,0.137,True
S050,Zenith Components 050,1,India,South,11.04,76.97999999999999,50000,23.05,3,2.68,0.6404,0.75,0.7,0.3519,0.1947,0.0395,0.0827,True
S051,Nova Components 051,1,India,South,12.995000000000001,77.61500000000001,50000,1.0,4,1.81,0.8945,0.9029,0.8901,0.0871,0.0436,0.1016,0.2324,True
S052,Orion Components 052,2,India,West,19.104999999999997,72.905,50000,1.45,22,4.64,0.7093,0.75,0.7,0.1397,0.3988,0.1717,0.1013,True
S053,Zenith Components 053,1,India,North,28.634999999999998,77.235,50000,1.9,24,4.52,0.8471,0.8472,0.7587,0.0926,0.0539,0.2997,0.239,True
S054,Orion Components 054,1,India,South,13.105,80.295,50000,2.35,12,3.11,0.8719,0.9115,0.8792,0.1078,0.2738,0.0725,0.3253,True
S055,Zenith Components 055,2,India,South,17.415,78.515,50000,2.8,16,4.84,0.7687,0.75,0.7095,0.0867,0.0883,0.156,0.311,True
S056,Orion Components 056,1,India,West,18.544999999999998,73.885,50000,3.25,18,3.8,0.7431,0.75,0.7695,0.0122,0.1438,0.0738,0.061,True
S057,Nova Components 057,1,India,East,22.595,88.385,50000,3.7,12,2.51,0.6902,0.75,0.7,0.3005,0.2252,0.3012,0.2479,True
S058,Nova Components 058,3,India,West,23.044999999999998,72.595,50000,4.15,12,4.92,0.9499,0.9703,0.9046,0.2616,0.1524,0.1252,0.3468,True
S059,Orion Components 059,1,India,North,26.935,75.81500000000001,50000,4.6,6,1.54,0.9344,0.9462,0.9145,0.0721,0.2179,0.1948,0.343,True
S060,Orion Components 060,2,India,South,11.045,76.985,50000,5.05,11,4.46,0.8747,0.9024,0.8338,0.3527,0.0747,0.0306,0.4312,True
S061,Apex Components 061,1,India,South,13.0,77.62,50000,5.5,24,2.96,0.9373,0.9339,0.8525,0.132,0.0584,0.2281,0.2015,True
S062,Nova Components 062,2,India,West,19.11,72.91,50000,5.95,19,4.9,0.6673,0.75,0.7,0.0538,0.3102,0.4288,0.1288,True
S063,Zenith Components 063,1,India,North,28.64,77.24,50000,6.4,20,2.08,0.8922,0.8701,0.8834,0.2857,0.4513,0.1309,0.0514,True
S064,Zenith Components 064,1,India,South,13.11,80.3,50000,6.85,24,3.27,0.8302,0.8338,0.7426,0.2002,0.0883,0.2309,0.2831,True
S065,Orion Components 065,1,India,South,17.42,78.52,50000,7.3,16,3.12,0.8926,0.8617,0.8597,0.0343,0.0846,0.249,0.3748,True
S066,Zenith Components 066,2,India,West,18.55,73.89,50000,7.75,20,2.0,0.8043,0.7829,0.7181,0.162,0.0845,0.0568,0.1843,True
S067,Zenith Components 067,1,India,East,22.6,88.39,50000,8.2,18,4.57,0.9086,0.859,0.8552,0.1633,0.1574,0.4096,0.1504,True
S068,Vertex Components 068,1,India,West,23.05,72.6,50000,8.65,13,4.76,0.8739,0.8879,0.8051,0.0638,0.2394,0.1842,0.0997,True
S069,Zenith Components 069,2,India,North,26.94,75.82000000000001,50000,9.1,9,4.56,0.9571,0.9567,0.944,0.0575,0.0509,0.1835,0.129,True
S070,Orion Components 070,1,India,South,11.049999999999999,76.99,50000,9.55,9,1.06,0.8704,0.8235,0.774,0.0993,0.2013,0.1505,0.4535,True
S071,Nova Components 071,2,India,South,13.005,77.625,50000,10.0,12,4.54,0.9035,0.8734,0.8549,0.2467,0.1606,0.5975,0.1129,True
S072,Vertex Components 072,1,India,West,19.115,72.91499999999999,50000,10.45,26,1.78,0.6617,0.75,0.7,0.2466,0.4399,0.2262,0.13,True
S073,Nova Components 073,1,India,North,28.645,77.24499999999999,50000,10.9,13,2.63,0.599,0.75,0.7,0.3079,0.4379,0.1974,0.2029,True
S074,Nova Components 074,1,India,South,13.115,80.30499999999999,50000,11.35,12,1.4,0.953,0.8997,0.9434,0.1335,0.3441,0.1725,0.4062,True
S075,Vertex Components 075,1,India,South,17.425,78.52499999999999,50000,11.8,3,3.32,0.9123,0.9012,0.9056,0.1137,0.2313,0.1111,0.082,True
S076,Nova Components 076,2,India,West,18.555,73.895,50000,12.25,5,3.07,0.8475,0.8594,0.8765,0.2604,0.0485,0.1067,0.1411,True
S077,Zenith Components 077,1,India,East,22.605,88.395,50000,12.7,11,2.39,0.6952,0.75,0.7,0.1025,0.3698,0.1866,0.129,True
S078,Nova Components 078,1,India,West,23.055,72.60499999999999,50000,13.15,10,1.56,0.885,0.8392,0.828,0.1971,0.0356,0.1996,0.3042,True
S079,Orion Components 079,2,India,North,26.945,75.825,50000,13.6,3,3.15,0.65,0.75,0.7,0.5396,0.0563,0.2811,0.1314,True
S080,Apex Components 080,2,India,South,11.055,76.99499999999999,50000,14.05,18,1.91,0.9485,0.9685,0.8804,0.1792,0.1276,0.2058,0.1692,True
S081,Nova Components 081,1,India,South,13.01,77.63000000000001,50000,14.5,21,3.66,0.8346,0.8624,0.7782,0.1419,0.0436,0.2212,0.1744,True
S082,Orion Components 082,1,India,West,19.119999999999997,72.92,50000,14.95,4,4.53,0.9364,0.919,0.877,0.1775,0.216,0.2696,0.0831,True
S083,Vertex Components 083,1,India,North,28.65,77.25,50000,15.4,10,0.74,0.756,0.75,0.7472,0.2157,0.3719,0.2799,0.1008,True
S084,Vertex Components 084,1,India,South,13.12,80.31,50000,15.85,17,4.72,0.8775,0.8358,0.8711,0.1927,0.257,0.2032,0.1429,True
S085,Vertex Components 085,1,India,South,17.43,78.53,50000,16.3,3,2.46,0.9609,0.9436,0.9804,0.1061,0.0704,0.1565,0.0178,True
S086,Apex Components 086,1,India,West,18.56,73.9,50000,16.75,13,2.2,0.5185,0.75,0.7,0.1301,0.2968,0.0338,0.3625,True
S087,Vertex Components 087,1,India,East,22.61,88.4,50000,17.2,15,4.78,0.8844,0.9009,0.8407,0.3583,0.1482,0.2368,0.1195,True
S088,Apex Components 088,3,India,West,23.06,72.61,50000,17.65,28,1.2,0.781,0.81,0.7,0.4626,0.3062,0.3169,0.0526,True
S089,Orion Components 089,1,India,North,26.95,75.83000000000001,50000,18.1,18,2.13,0.8135,0.7541,0.7507,0.2593,0.2827,0.2403,0.161,True
S090,Nova Components 090,1,India,South,11.059999999999999,77.0,50000,18.55,24,4.34,0.829,0.7693,0.7394,0.354,0.3558,0.2876,0.1217,True
S091,Orion Components 091,1,India,South,13.015,77.635,50000,19.0,28,4.58,0.8726,0.8957,0.8657,0.1399,0.2713,0.3127,0.0819,True
S092,Vertex Components 092,1,India,West,19.125,72.925,50000,19.45,26,0.72,0.7697,0.7711,0.7213,0.1552,0.0311,0.2241,0.0879,True
S093,Vertex Components 093,3,India,North,28.655,77.255,50000,19.9,27,1.94,0.8282,0.7784,0.7498,0.0758,0.3831,0.1535,0.029,True
S094,Apex Components 094,1,India,South,13.125,80.315,50000,20.35,15,3.13,0.9846,0.999,0.9234,0.2894,0.1035,0.0562,0.0841,True
S095,Nova Components 095,2,India,South,17.435000000000002,78.535,50000,20.8,15,0.67,0.9621,0.9673,0.867,0.1383,0.0576,0.1485,0.1917,True
S096,Orion Components 096,1,India,West,18.565,73.905,50000,21.25,25,4.24,0.8546,0.8534,0.8138,0.2085,0.1623,0.1773,0.0395,True
S097,Nova Components 097,3,India,East,22.615000000000002,88.405,50000,21.7,23,2.6,0.8938,0.9138,0.8742,0.2991,0.2497,0.2473,0.3518,True
S098,Vertex Components 098,1,India,West,23.065,72.615,50000,22.15,21,3.5,0.8074,0.8239,0.726,0.1155,0.3501,0.1723,0.0798,True
S099,Vertex Components 099,1,India,North,26.955000000000002,75.83500000000001,50000,22.6,18,3.41,0.8405,0.8596,0.8351,0.0084,0.1802,0.071,0.1071,True
S100,Zenith Components 100,2,India,South,11.065,77.005,50000,23.05,28,2.55,0.7694,0.75,0.7852,0.1306,0.1322,0.1958,0.1074,True
