reliability_score,financial_risk,geopolitical_risk,weather_risk,cyber_risk,component_capacity,lead_time_days,lead_time_std,supplier_id,region,component_count,downstream_product_count,downstream_factory_count,route_count,graph_degree
0.6952,0.1025,0.3698,0.1866,0.129,50000,11,2.39,S077,East,5,47,18,2,5
0.885,0.1971,0.0356,0.1996,0.3042,50000,10,1.56,S078,West,5,39,19,2,5
0.65,0.5396,0.0563,0.2811,0.1314,50000,3,3.15,S079,North,5,40,18,2,5
0.9485,0.1792,0.1276,0.2058,0.1692,50000,18,1.91,S080,South,5,47,19,2,5
0.8346,0.1419,0.0436,0.2212,0.1744,50000,21,3.66,S081,South,5,41,19,2,5
0.9364,0.1775,0.216,0.2696,0.0831,50000,4,4.53,S082,West,5,44,20,2,5
0.756,0.2157,0.3719,0.2799,0.1008,50000,10,0.74,S083,North,5,32,17,2,5
0.8775,0.1927,0.257,0.2032,0.1429,50000,17,4.72,S084,South,5,38,17,2,5
0.9609,0.1061,0.0704,0.1565,0.0178,50000,3,2.46,S085,South,5,37,20,2,5
0.5185,0.1301,0.2968,0.0338,0.3625,50000,13,2.2,S086,West,5,45,20,2,5
0.8844,0.3583,0.1482,0.2368,0.1195,50000,15,4.78,S087,East,5,40,19,2,5
0.781,0.4626,0.3062,0.3169,0.0526,50000,28,1.2,S088,West,5,40,18,2,5
0.8135,0.2593,0.2827,0.2403,0.161,50000,18,2.13,S089,North,5,32,18,2,5
0.829,0.354,0.3558,0.2876,0.1217,50000,24,4.34,S090,South,5,46,20,2,5
0.8726,0.1399,0.2713,0.3127,0.0819,50000,28,4.58,S091,South,5,38,18,2,5
0.7697,0.1552,0.0311,0.2241,0.0879,50000,26,0.72,S092,West,5,41,20,2,5
0.8282,0.0758,0.3831,0.1535,0.029,50000,27,1.94,S093,North,5,34,17,2,5
0.9846,0.2894,0.1035,0.0562,0.0841,50000,15,3.13,S094,South,5,36,19,2,5
0.9621,0.1383,0.0576,0.1485,0.1917,50000,15,0.67,S095,South,5,42,19,2,5
0.8546,0.2085,0.1623,0.1773,0.0395,50000,25,4.24,S096,West,5,44,20,2,5
0.8938,0.2991,0.2497,0.2473,0.3518,50000,23,2.6,S097,East,5,45,20,2,5
0.8074,0.1155,0.3501,0.1723,0.0798,50000,21,3.5,S098,West,5,28,15,2,5
0.8405,0.0084,0.1802,0.071,0.1071,50000,18,3.41,S099,North,5,50,20,2,5
0.7694,0.1306,0.1322,0.1958,0.1074,50000,28,2.55,S100,South,5,36,18,2,5
