supplier_id,onset_date,end_date_exclusive,duration_days
S040,2027-08-07,2027-08-11,4
S040,2027-11-25,2027-11-27,2
S040,2028-02-22,2028-02-25,3
S040,2028-03-07,2028-03-09,2
S040,2028-04-04,2028-04-09,5
S040,2028-04-19,2028-04-23,4
S040,2028-05-26,2028-05-31,5
S041,2027-02-06,2027-02-11,5
S041,2027-02-17,2027-02-20,3
S041,2028-02-14,2028-02-16,2
S041,2028-02-26,2028-03-01,4
S041,2028-04-21,2028-04-26,5
S041,2028-05-15,2028-05-18,3
S041,2028-06-16,2028-06-20,4
S041,2028-07-31,2028-08-05,5
S041,2028-08-15,2028-08-19,4
S041,2028-10-08,2028-10-11,3
S041,2028-11-18,2028-11-21,3
S041,2028-12-28,2028-12-30,2
S042,2027-03-06,2027-03-11,5
S042,2027-11-06,2027-11-10,4
S042,2028-03-31,2028-04-05,5
S042,2028-05-08,2028-05-13,5
S042,2028-07-24,2028-07-29,5
S042,2028-07-29,2028-08-02,4
S042,2028-08-05,2028-08-10,5
S042,2028-08-26,2028-08-28,2
S043,2027-03-16,2027-03-20,4
S043,2027-04-06,2027-04-11,5
S043,2027-08-11,2027-08-16,5
S043,2027-09-29,2027-10-01,2
S043,2028-09-04,2028-09-07,3
S044,2027-01-13,2027-01-18,5
S044,2027-08-26,2027-08-31,5
S044,2027-09-18,2027-09-21,3
S044,2028-01-10,2028-01-14,4
S044,2028-01-23,2028-01-25,2
S044,2028-03-24,2028-03-29,5
S044,2028-08-26,2028-08-28,2
S044,2028-11-16,2028-11-21,5
S045,2027-01-30,2027-02-04,5
S045,2027-08-05,2027-08-09,4
S045,2027-12-02,2027-12-06,4
S045,2027-12-10,2027-12-15,5
S045,2028-02-21,2028-02-23,2
S045,2028-09-26,2028-10-01,5
S046,2027-01-24,2027-01-26,2
S046,2027-04-15,2027-04-20,5
S046,2027-06-17,2027-06-19,2
S046,2028-05-12,2028-05-15,3
S046,2028-08-23,2028-08-26,3
S046,2028-09-05,2028-09-09,4
S046,2028-09-24,2028-09-26,2
S046,2028-09-29,2028-10-01,2
S046,2028-11-16,2028-11-18,2
S047,2027-03-07,2027-03-11,4
S047,2027-07-01,2027-07-04,3
S047,2027-07-07,2027-07-12,5
S047,2027-07-29,2027-07-31,2
S047,2027-09-18,2027-09-21,3
S047,2027-12-04,2027-12-06,2
S047,2028-07-24,2028-07-27,3
S048,2027-01-30,2027-02-04,5
S048,2027-02-15,2027-02-20,5
S048,2027-11-03,2027-11-06,3
S048,2028-04-24,2028-04-29,5
S048,2028-06-26,2028-06-28,2
S048,2028-07-28,2028-07-30,2
S048,2028-09-08,2028-09-11,3
S048,2028-10-10,2028-10-14,4
S048,2028-11-13,2028-11-18,5
S048,2028-12-12,2028-12-15,3
S049,2027-09-29,2027-10-03,4
S049,2027-10-14,2027-10-17,3
S049,2028-02-21,2028-02-23,2
S049,2028-04-21,2028-04-25,4
S049,2028-05-29,2028-06-02,4
S050,2027-02-02,2027-02-05,3
S050,2027-03-18,2027-03-21,3
S050,2027-04-14,2027-04-19,5
S050,2027-04-23,2027-04-28,5
S050,2027-10-04,2027-10-07,3
S050,2027-10-10,2027-10-14,4
S050,2028-02-20,2028-02-25,5
S050,2028-02-29,2028-03-02,2
S050,2028-03-02,2028-03-06,4
S050,2028-03-09,2028-03-11,2
S050,2028-03-26,2028-03-28,2
S050,2028-04-07,2028-04-10,3
S050,2028-07-26,2028-07-28,2
S050,2028-07-28,2028-08-01,4
S050,2028-08-16,2028-08-19,3
S050,2028-10-15,2028-10-20,5
S050,2028-10-30,2028-11-02,3
S051,2027-01-23,2027-01-28,5
S051,2027-10-06,2027-10-10,4
S051,2028-01-09,2028-01-12,3
S051,2028-06-01,2028-06-05,4
S051,2028-09-15,2028-09-20,5
S051,2028-10-01,2028-10-06,5
S051,2028-10-09,2028-10-12,3
S051,2028-10-19,2028-10-24,5
S051,2028-11-17,2028-11-21,4
S051,2028-12-26,2028-12-29,3
S052,2027-05-29,2027-06-01,3
S052,2027-07-31,2027-08-02,2
S052,2027-08-22,2027-08-24,2
S052,2027-09-04,2027-09-08,4
S052,2027-11-15,2027-11-20,5
S052,2028-01-02,2028-01-06,4
S052,2028-02-22,2028-02-26,4
S052,2028-09-08,2028-09-13,5
S052,2028-11-01,2028-11-03,2
S053,2027-06-12,2027-06-17,5
S053,2027-08-15,2027-08-18,3
S053,2027-09-01,2027-09-05,4
S053,2028-05-17,2028-05-20,3
S053,2028-06-22,2028-06-25,3
S053,2028-07-03,2028-07-08,5
S053,2028-07-21,2028-07-23,2
S053,2028-08-12,2028-08-14,2
S054,2027-05-15,2027-05-19,4
S054,2027-07-07,2027-07-11,4
S054,2027-07-29,2027-08-02,4
S054,2028-06-15,2028-06-17,2
S054,2028-06-29,2028-07-04,5
S054,2028-11-25,2028-11-28,3
S054,2028-12-13,2028-12-18,5
S055,2027-02-03,2027-02-05,2
S055,2027-02-23,2027-02-26,3
S055,2027-07-22,2027-07-24,2
S055,2028-10-24,2028-10-28,4
S055,2028-11-04,2028-11-08,4
S056,2027-01-17,2027-01-22,5
S056,2027-03-18,2027-03-23,5
S056,2027-06-15,2027-06-18,3
S056,2027-08-10,2027-08-15,5
S056,2027-08-19,2027-08-22,3
S056,2027-09-01,2027-09-04,3
S056,2027-11-27,2027-12-01,4
S056,2027-12-04,2027-12-06,2
S056,2027-12-31,2028-01-05,5
S056,2028-01-16,2028-01-19,3
S056,2028-04-25,2028-04-30,5
S056,2028-05-27,2028-06-01,5
S056,2028-06-30,2028-07-05,5
S056,2028-09-29,2028-10-02,3
S056,2028-10-04,2028-10-08,4
S057,2027-05-21,2027-05-25,4
S057,2027-06-27,2027-07-02,5
S057,2027-12-13,2027-12-18,5
S057,2028-05-17,2028-05-20,3
S057,2028-05-28,2028-06-02,5
S057,2028-08-07,2028-08-09,2
S058,2027-05-15,2027-05-19,4
S058,2027-06-29,2027-07-02,3
S058,2027-10-05,2027-10-07,2
S058,2027-10-07,2027-10-11,4
S058,2027-10-31,2027-11-02,2
S058,2028-04-30,2028-05-05,5
S058,2028-05-11,2028-05-15,4
S058,2028-07-31,2028-08-03,3
S058,2028-08-21,2028-08-23,2
S058,2028-12-15,2028-12-18,3
S059,2027-01-11,2027-01-14,3
S059,2027-02-06,2027-02-08,2
S059,2027-02-10,2027-02-14,4
S059,2027-07-06,2027-07-09,3
S059,2027-08-04,2027-08-07,3
S059,2027-08-22,2027-08-24,2
S059,2027-11-11,2027-11-16,5
S059,2028-05-13,2028-05-16,3
S059,2028-06-12,2028-06-17,5
S059,2028-09-21,2028-09-26,5
S059,2028-11-08,2028-11-11,3
S060,2027-01-29,2027-02-01,3
S060,2027-02-27,2027-03-04,5
S060,2027-03-27,2027-03-29,2
S060,2027-04-06,2027-04-09,3
S060,2027-04-12,2027-04-16,4
S060,2027-04-19,2027-04-21,2
S060,2027-04-27,2027-04-30,3
S060,2027-05-05,2027-05-09,4
S060,2027-07-15,2027-07-20,5
S060,2027-09-01,2027-09-04,3
S060,2027-12-21,2027-12-24,3
S060,2028-02-28,2028-03-02,3
S060,2028-05-17,2028-05-20,3
S060,2028-05-26,2028-05-29,3
S060,2028-07-16,2028-07-19,3
S061,2027-01-01,2027-01-05,4
S061,2027-03-15,2027-03-17,2
S061,2027-06-16,2027-06-20,4
S061,2027-07-13,2027-07-17,4
S061,2027-07-25,2027-07-29,4
S061,2027-11-15,2027-11-19,4
S061,2028-01-16,2028-01-21,5
S061,2028-01-22,2028-01-27,5
S061,2028-04-21,2028-04-23,2
S061,2028-04-28,2028-05-02,4
S061,2028-05-28,2028-05-31,3
S061,2028-08-13,2028-08-15,2
S061,2028-09-12,2028-09-15,3
S062,2027-02-12,2027-02-16,4
S062,2027-04-17,2027-04-22,5
S062,2027-05-17,2027-05-20,3
S062,2027-06-06,2027-06-11,5
S062,2027-06-25,2027-06-28,3
S062,2027-10-17,2027-10-21,4
S062,2027-11-21,2027-11-24,3
S062,2028-02-06,2028-02-11,5
S062,2028-05-18,2028-05-20,2
S062,2028-07-07,2028-07-11,4
S062,2028-08-10,2028-08-12,2
S062,2028-10-06,2028-10-11,5
S063,2027-03-25,2027-03-29,4
S063,2027-05-06,2027-05-11,5
S063,2027-06-14,2027-06-17,3
S063,2027-09-30,2027-10-04,4
S063,2028-05-10,2028-05-13,3
S063,2028-07-18,2028-07-22,4
S063,2028-11-27,2028-12-01,4
S064,2027-02-22,2027-02-26,4
S064,2027-03-03,2027-03-06,3
S064,2027-08-26,2027-08-31,5
S064,2027-10-02,2027-10-04,2
S064,2028-01-29,2028-01-31,2
S064,2028-06-03,2028-06-07,4
S064,2028-07-18,2028-07-21,3
S064,2028-10-31,2028-11-04,4
S065,2027-05-20,2027-05-24,4
S065,2027-06-08,2027-06-11,3
S065,2027-09-13,2027-09-17,4
S065,2027-12-12,2027-12-16,4
S065,2028-07-30,2028-08-02,3
S065,2028-08-09,2028-08-14,5
S065,2028-10-31,2028-11-05,5
S065,2028-11-08,2028-11-12,4
S066,2027-04-26,2027-05-01,5
S066,2027-05-10,2027-05-15,5
S066,2027-05-17,2027-05-20,3
S066,2027-12-07,2027-12-11,4
S066,2028-04-15,2028-04-20,5
S066,2028-04-28,2028-05-03,5
S066,2028-06-09,2028-06-11,2
S066,2028-06-23,2028-06-26,3
S066,2028-07-12,2028-07-14,2
S066,2028-08-31,2028-09-03,3
S066,2028-11-06,2028-11-08,2
S067,2027-01-25,2027-01-30,5
S067,2027-02-06,2027-02-09,3
S067,2027-03-29,2027-04-01,3
S067,2027-04-22,2027-04-27,5
S067,2027-06-03,2027-06-06,3
S067,2027-06-20,2027-06-22,2
S067,2027-08-22,2027-08-26,4
S067,2027-09-17,2027-09-21,4
S067,2028-01-10,2028-01-15,5
S067,2028-02-02,2028-02-05,3
S067,2028-07-09,2028-07-11,2
S067,2028-10-17,2028-10-20,3
S068,2027-03-06,2027-03-08,2
S068,2027-05-22,2027-05-26,4
S068,2027-06-02,2027-06-07,5
S068,2027-08-04,2027-08-09,5
S068,2027-09-02,2027-09-06,4
S068,2027-10-17,2027-10-20,3
S068,2027-10-29,2027-11-03,5
S068,2027-11-29,2027-12-01,2
S068,2027-12-04,2027-12-08,4
S068,2028-01-25,2028-01-28,3
S068,2028-02-21,2028-02-24,3
S068,2028-03-25,2028-03-28,3
S068,2028-04-14,2028-04-16,2
S068,2028-06-13,2028-06-18,5
S068,2028-08-20,2028-08-23,3
S069,2027-09-09,2027-09-11,2
S069,2027-10-19,2027-10-21,2
S069,2027-11-16,2027-11-19,3
S069,2028-05-26,2028-05-28,2
S069,2028-07-10,2028-07-13,3
S069,2028-10-16,2028-10-18,2
S070,2027-04-12,2027-04-14,2
S070,2027-04-30,2027-05-04,4
S070,2028-01-21,2028-01-25,4
S070,2028-05-04,2028-05-07,3
S070,2028-11-27,2028-11-29,2
S071,2027-01-12,2027-01-15,3
S071,2027-01-24,2027-01-26,2
S071,2027-03-20,2027-03-24,4
S071,2027-04-01,2027-04-05,4
S071,2027-10-23,2027-10-27,4
S071,2027-10-31,2027-11-04,4
S071,2027-12-07,2027-12-09,2
S071,2028-01-29,2028-02-02,4
S071,2028-05-29,2028-06-02,4
S071,2028-07-13,2028-07-18,5
S071,2028-09-09,2028-09-13,4
S071,2028-10-22,2028-10-24,2
S071,2028-12-05,2028-12-09,4
S071,2028-12-15,2028-12-19,4
S072,2027-01-11,2027-01-14,3
S072,2027-01-18,2027-01-21,3
S072,2027-02-08,2027-02-10,2
S072,2027-03-18,2027-03-23,5
S072,2027-05-13,2027-05-17,4
S072,2027-05-19,2027-05-24,5
S072,2027-10-13,2027-10-18,5
S072,2028-04-03,2028-04-05,2
S072,2028-06-27,2028-06-29,2
S072,2028-09-26,2028-09-29,3
S072,2028-11-30,2028-12-02,2
S073,2027-02-19,2027-02-24,5
S073,2027-03-04,2027-03-09,5
S073,2027-03-28,2027-03-30,2
S073,2027-04-19,2027-04-21,2
S073,2027-04-25,2027-04-30,5
S073,2027-08-21,2027-08-26,5
S073,2027-12-20,2027-12-22,2
S073,2027-12-24,2027-12-27,3
S073,2028-04-10,2028-04-13,3
S073,2028-04-15,2028-04-17,2
S073,2028-04-19,2028-04-22,3
S073,2028-04-25,2028-04-30,5
S073,2028-07-31,2028-08-04,4
S073,2028-09-14,2028-09-18,4
S073,2028-11-14,2028-11-16,2
S073,2028-11-18,2028-11-21,3
S074,2027-01-17,2027-01-21,4
S074,2027-03-21,2027-03-24,3
S074,2027-04-25,2027-04-30,5
S074,2027-05-19,2027-05-24,5
S074,2027-10-21,2027-10-23,2
S074,2027-10-28,2027-11-01,4
S074,2027-12-01,2027-12-06,5
S074,2028-03-07,2028-03-12,5
S074,2028-10-06,2028-10-10,4
S075,2027-04-30,2027-05-03,3
S075,2027-05-27,2027-05-29,2
S075,2027-06-20,2027-06-23,3
S075,2027-08-30,2027-09-02,3
S075,2027-09-22,2027-09-26,4
S075,2027-10-22,2027-10-26,4
S075,2027-11-30,2027-12-03,3
S075,2028-03-17,2028-03-19,2
S075,2028-11-01,2028-11-06,5
S076,2027-01-13,2027-01-17,4
S076,2027-02-02,2027-02-05,3
S076,2027-02-11,2027-02-16,5
S076,2027-09-10,2027-09-12,2
