factory_id,date,nominal_capacity_units,committed_capacity_units,available_capacity_units,operating_cost_per_unit_usd,labor_cost_per_unit_usd,conversion_cost_per_unit_usd
F005,2027-01-24,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-25,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-26,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-27,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-28,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-29,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-30,19000,11747,7253,20.27,25.28,45.55
F005,2027-01-31,19000,11747,7253,20.27,25.28,45.55
F006,2027-01-01,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-02,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-03,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-04,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-05,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-06,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-07,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-08,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-09,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-10,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-11,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-12,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-13,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-14,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-15,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-16,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-17,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-18,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-19,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-20,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-21,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-22,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-23,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-24,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-25,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-26,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-27,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-28,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-29,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-30,7500,5949,1551,85.02,31.87,116.89
F006,2027-01-31,7500,5949,1551,85.02,31.87,116.89
F007,2027-01-01,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-02,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-03,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-04,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-05,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-06,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-07,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-08,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-09,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-10,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-11,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-12,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-13,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-14,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-15,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-16,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-17,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-18,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-19,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-20,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-21,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-22,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-23,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-24,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-25,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-26,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-27,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-28,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-29,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-30,10500,7438,3062,41.46,27.10,68.56
F007,2027-01-31,10500,7438,3062,41.46,27.10,68.56
F008,2027-01-01,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-02,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-03,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-04,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-05,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-06,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-07,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-08,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-09,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-10,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-11,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-12,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-13,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-14,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-15,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-16,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-17,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-18,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-19,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-20,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-21,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-22,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-23,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-24,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-25,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-26,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-27,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-28,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-29,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-30,10500,6346,4154,63.36,19.79,83.15
F008,2027-01-31,10500,6346,4154,63.36,19.79,83.15
F009,2027-01-01,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-02,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-03,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-04,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-05,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-06,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-07,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-08,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-09,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-10,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-11,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-12,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-13,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-14,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-15,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-16,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-17,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-18,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-19,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-20,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-21,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-22,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-23,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-24,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-25,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-26,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-27,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-28,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-29,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-30,7500,6070,1430,58.29,13.12,71.41
F009,2027-01-31,7500,6070,1430,58.29,13.12,71.41
F010,2027-01-01,4000,3454,546,54.84,16.95,71.79
F010,2027-01-02,4000,3454,546,54.84,16.95,71.79
F010,2027-01-03,4000,3454,546,54.84,16.95,71.79
F010,2027-01-04,4000,3454,546,54.84,16.95,71.79
F010,2027-01-05,4000,3454,546,54.84,16.95,71.79
F010,2027-01-06,4000,3454,546,54.84,16.95,71.79
F010,2027-01-07,4000,3454,546,54.84,16.95,71.79
F010,2027-01-08,4000,3454,546,54.84,16.95,71.79
F010,2027-01-09,4000,3454,546,54.84,16.95,71.79
F010,2027-01-10,4000,3454,546,54.84,16.95,71.79
F010,2027-01-11,4000,3454,546,54.84,16.95,71.79
F010,2027-01-12,4000,3454,546,54.84,16.95,71.79
F010,2027-01-13,4000,3454,546,54.84,16.95,71.79
F010,2027-01-14,4000,3454,546,54.84,16.95,71.79
F010,2027-01-15,4000,3454,546,54.84,16.95,71.79
F010,2027-01-16,4000,3454,546,54.84,16.95,71.79
F010,2027-01-17,4000,3454,546,54.84,16.95,71.79
F010,2027-01-18,4000,3454,546,54.84,16.95,71.79
F010,2027-01-19,4000,3454,546,54.84,16.95,71.79
F010,2027-01-20,4000,3454,546,54.84,16.95,71.79
F010,2027-01-21,4000,3454,546,54.84,16.95,71.79
F010,2027-01-22,4000,3454,546,54.84,16.95,71.79
F010,2027-01-23,4000,3454,546,54.84,16.95,71.79
F010,2027-01-24,4000,3454,546,54.84,16.95,71.79
F010,2027-01-25,4000,3454,546,54.84,16.95,71.79
F010,2027-01-26,4000,3454,546,54.84,16.95,71.79
F010,2027-01-27,4000,3454,546,54.84,16.95,71.79
F010,2027-01-28,4000,3454,546,54.84,16.95,71.79
F010,2027-01-29,4000,3454,546,54.84,16.95,71.79
F010,2027-01-30,4000,3454,546,54.84,16.95,71.79
F010,2027-01-31,4000,3454,546,54.84,16.95,71.79
F011,2027-01-01,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-02,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-03,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-04,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-05,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-06,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-07,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-08,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-09,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-10,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-11,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-12,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-13,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-14,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-15,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-16,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-17,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-18,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-19,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-20,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-21,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-22,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-23,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-24,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-25,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-26,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-27,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-28,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-29,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-30,10000,8363,1637,75.58,42.14,117.72
F011,2027-01-31,10000,8363,1637,75.58,42.14,117.72
F012,2027-01-01,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-02,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-03,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-04,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-05,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-06,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-07,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-08,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-09,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-10,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-11,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-12,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-13,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-14,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-15,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-16,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-17,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-18,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-19,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-20,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-21,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-22,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-23,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-24,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-25,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-26,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-27,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-28,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-29,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-30,16000,9350,6650,71.77,44.05,115.82
F012,2027-01-31,16000,9350,6650,71.77,44.05,115.82
F013,2027-01-01,4000,3336,664,34.97,21.86,56.83
F013,2027-01-02,4000,3336,664,34.97,21.86,56.83
F013,2027-01-03,4000,3336,664,34.97,21.86,56.83
F013,2027-01-04,4000,3336,664,34.97,21.86,56.83
F013,2027-01-05,4000,3336,664,34.97,21.86,56.83
F013,2027-01-06,4000,3336,664,34.97,21.86,56.83
F013,2027-01-07,4000,3336,664,34.97,21.86,56.83
F013,2027-01-08,4000,3336,664,34.97,21.86,56.83
F013,2027-01-09,4000,3336,664,34.97,21.86,56.83
F013,2027-01-10,4000,3336,664,34.97,21.86,56.83
F013,2027-01-11,4000,3336,664,34.97,21.86,56.83
F013,2027-01-12,4000,3336,664,34.97,21.86,56.83
F013,2027-01-13,4000,3336,664,34.97,21.86,56.83
F013,2027-01-14,4000,3336,664,34.97,21.86,56.83
F013,2027-01-15,4000,3336,664,34.97,21.86,56.83
F013,2027-01-16,4000,3336,664,34.97,21.86,56.83
F013,2027-01-17,4000,3336,664,34.97,21.86,56.83
F013,2027-01-18,4000,3336,664,34.97,21.86,56.83
F013,2027-01-19,4000,3336,664,34.97,21.86,56.83
F013,2027-01-20,4000,3336,664,34.97,21.86,56.83
F013,2027-01-21,4000,3336,664,34.97,21.86,56.83
F013,2027-01-22,4000,3336,664,34.97,21.86,56.83
F013,2027-01-23,4000,3336,664,34.97,21.86,56.83
F013,2027-01-24,4000,3336,664,34.97,21.86,56.83
F013,2027-01-25,4000,3336,664,34.97,21.86,56.83
F013,2027-01-26,4000,3336,664,34.97,21.86,56.83
F013,2027-01-27,4000,3336,664,34.97,21.86,56.83
F013,2027-01-28,4000,3336,664,34.97,21.86,56.83
F013,2027-01-29,4000,3336,664,34.97,21.86,56.83
F013,2027-01-30,4000,3336,664,34.97,21.86,56.83
F013,2027-01-31,4000,3336,664,34.97,21.86,56.83
F014,2027-01-01,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-02,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-03,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-04,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-05,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-06,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-07,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-08,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-09,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-10,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-11,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-12,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-13,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-14,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-15,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-16,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-17,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-18,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-19,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-20,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-21,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-22,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-23,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-24,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-25,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-26,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-27,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-28,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-29,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-30,4500,3219,1281,73.78,27.63,101.41
F014,2027-01-31,4500,3219,1281,73.78,27.63,101.41
F015,2027-01-01,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-02,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-03,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-04,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-05,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-06,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-07,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-08,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-09,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-10,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-11,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-12,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-13,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-14,17500,14290,3210,36.44,20.81,57.25
F015,2027-01-15,17500,14290,3210,36.44,20.81,57.25
