supplier_id,component_id,date,supplier_capacity_units,supplier_committed_units,supplier_available_units,component_capacity_units,component_committed_units,component_available_units,unit_cost_usd,lead_time_days,minimum_order_qty
S001,C101,2027-01-06,50000,21100,28900,10000,4600,5400,1.00,18,50
S001,C201,2027-01-06,50000,21100,28900,10000,2700,7300,1.00,18,1000
S001,C301,2027-01-06,50000,21100,28900,10000,4700,5300,1.00,18,50
S001,C401,2027-01-06,50000,21100,28900,10000,3500,6500,1.00,18,50
S001,C001,2027-01-07,50000,17700,32300,10000,2000,8000,1.00,18,100
S001,C101,2027-01-07,50000,17700,32300,10000,5100,4900,1.00,18,50
S001,C201,2027-01-07,50000,17700,32300,10000,3400,6600,1.00,18,1000
S001,C301,2027-01-07,50000,17700,32300,10000,5000,5000,1.00,18,50
S001,C401,2027-01-07,50000,17700,32300,10000,2200,7800,1.00,18,50
S001,C001,2027-01-08,50000,23500,26500,10000,3600,6400,1.00,18,100
S001,C101,2027-01-08,50000,23500,26500,10000,6000,4000,1.00,18,50
S001,C201,2027-01-08,50000,23500,26500,10000,5500,4500,1.00,18,1000
S001,C301,2027-01-08,50000,23500,26500,10000,5600,4400,1.00,18,50
S001,C401,2027-01-08,50000,23500,26500,10000,2800,7200,1.00,18,50
S001,C001,2027-01-09,50000,19100,30900,10000,4800,5200,1.00,18,100
S001,C101,2027-01-09,50000,19100,30900,10000,2500,7500,1.00,18,50
S001,C201,2027-01-09,50000,19100,30900,10000,5900,4100,1.00,18,1000
S001,C301,2027-01-09,50000,19100,30900,10000,2000,8000,1.00,18,50
S001,C401,2027-01-09,50000,19100,30900,10000,3900,6100,1.00,18,50
S001,C001,2027-01-10,50000,15600,34400,10000,3000,7000,1.00,18,100
S001,C101,2027-01-10,50000,15600,34400,10000,3000,7000,1.00,18,50
S001,C201,2027-01-10,50000,15600,34400,10000,4000,6000,1.00,18,1000
S001,C301,2027-01-10,50000,15600,34400,10000,3300,6700,1.00,18,50
S001,C401,2027-01-10,50000,15600,34400,10000,2300,7700,1.00,18,50
S001,C001,2027-01-11,50000,21300,28700,10000,5700,4300,1.00,18,100
S001,C101,2027-01-11,50000,21300,28700,10000,4200,5800,1.00,18,50
S001,C201,2027-01-11,50000,21300,28700,10000,2300,7700,1.00,18,1000
S001,C301,2027-01-11,50000,21300,28700,10000,4600,5400,1.00,18,50
S001,C401,2027-01-11,50000,21300,28700,10000,4500,5500,1.00,18,50
S001,C001,2027-01-12,50000,19100,30900,10000,4900,5100,1.00,18,100
S001,C101,2027-01-12,50000,19100,30900,10000,2700,7300,1.00,18,50
S001,C201,2027-01-12,50000,19100,30900,10000,3500,6500,1.00,18,1000
S001,C301,2027-01-12,50000,19100,30900,10000,4400,5600,1.00,18,50
S001,C401,2027-01-12,50000,19100,30900,10000,3600,6400,1.00,18,50
S001,C001,2027-01-13,50000,17600,32400,10000,2100,7900,1.00,18,100
S001,C101,2027-01-13,50000,17600,32400,10000,5000,5000,1.00,18,50
S001,C201,2027-01-13,50000,17600,32400,10000,3200,6800,1.00,18,1000
S001,C301,2027-01-13,50000,17600,32400,10000,4700,5300,1.00,18,50
S001,C401,2027-01-13,50000,17600,32400,10000,2600,7400,1.00,18,50
S001,C001,2027-01-14,50000,17800,32200,10000,4400,5600,1.00,18,100
S001,C101,2027-01-14,50000,17800,32200,10000,2800,7200,1.00,18,50
S001,C201,2027-01-14,50000,17800,32200,10000,4600,5400,1.00,18,1000
S001,C301,2027-01-14,50000,17800,32200,10000,2800,7200,1.00,18,50
S001,C401,2027-01-14,50000,17800,32200,10000,3200,6800,1.00,18,50
S001,C001,2027-01-15,50000,20600,29400,10000,3000,7000,1.00,18,100
S001,C101,2027-01-15,50000,20600,29400,10000,4800,5200,1.00,18,50
S001,C201,2027-01-15,50000,20600,29400,10000,5800,4200,1.00,18,1000
S001,C301,2027-01-15,50000,20600,29400,10000,3400,6600,1.00,18,50
S001,C401,2027-01-15,50000,20600,29400,10000,3600,6400,1.00,18,50
S001,C001,2027-01-16,50000,22900,27100,10000,4300,5700,1.00,18,100
S001,C101,2027-01-16,50000,22900,27100,10000,5000,5000,1.00,18,50
S001,C201,2027-01-16,50000,22900,27100,10000,5500,4500,1.00,18,1000
S001,C301,2027-01-16,50000,22900,27100,10000,4900,5100,1.00,18,50
S001,C401,2027-01-16,50000,22900,27100,10000,3200,6800,1.00,18,50
S001,C001,2027-01-17,50000,20800,29200,10000,5800,4200,1.00,18,100
S001,C101,2027-01-17,50000,20800,29200,10000,3100,6900,1.00,18,50
S001,C201,2027-01-17,50000,20800,29200,10000,5100,4900,1.00,18,1000
S001,C301,2027-01-17,50000,20800,29200,10000,3700,6300,1.00,18,50
S001,C401,2027-01-17,50000,20800,29200,10000,3100,6900,1.00,18,50
S001,C001,2027-01-18,50000,23200,26800,10000,5200,4800,1.00,18,100
S001,C101,2027-01-18,50000,23200,26800,10000,3400,6600,1.00,18,50
S001,C201,2027-01-18,50000,23200,26800,10000,5900,4100,1.00,18,1000
S001,C301,2027-01-18,50000,23200,26800,10000,4100,5900,1.00,18,50
S001,C401,2027-01-18,50000,23200,26800,10000,4600,5400,1.00,18,50
S001,C001,2027-01-19,50000,21500,28500,10000,5000,5000,1.00,18,100
S001,C101,2027-01-19,50000,21500,28500,10000,4700,5300,1.00,18,50
S001,C201,2027-01-19,50000,21500,28500,10000,2200,7800,1.00,18,1000
S001,C301,2027-01-19,50000,21500,28500,10000,5300,4700,1.00,18,50
S001,C401,2027-01-19,50000,21500,28500,10000,4300,5700,1.00,18,50
S001,C001,2027-01-20,50000,18700,31300,10000,5900,4100,1.00,18,100
S001,C101,2027-01-20,50000,18700,31300,10000,3000,7000,1.00,18,50
S001,C201,2027-01-20,50000,18700,31300,10000,2200,7800,1.00,18,1000
S001,C301,2027-01-20,50000,18700,31300,10000,3000,7000,1.00,18,50
S001,C401,2027-01-20,50000,18700,31300,10000,4600,5400,1.00,18,50
S001,C001,2027-01-21,50000,20100,29900,10000,4700,5300,1.00,18,100
S001,C101,2027-01-21,50000,20100,29900,10000,2400,7600,1.00,18,50
S001,C201,2027-01-21,50000,20100,29900,10000,2000,8000,1.00,18,1000
S001,C301,2027-01-21,50000,20100,29900,10000,5000,5000,1.00,18,50
S001,C401,2027-01-21,50000,20100,29900,10000,6000,4000,1.00,18,50
S001,C001,2027-01-22,50000,25600,24400,10000,5200,4800,1.00,18,100
S001,C101,2027-01-22,50000,25600,24400,10000,4700,5300,1.00,18,50
S001,C201,2027-01-22,50000,25600,24400,10000,5700,4300,1.00,18,1000
S001,C301,2027-01-22,50000,25600,24400,10000,5700,4300,1.00,18,50
S001,C401,2027-01-22,50000,25600,24400,10000,4300,5700,1.00,18,50
S001,C001,2027-01-23,50000,21800,28200,10000,4400,5600,1.00,18,100
S001,C101,2027-01-23,50000,21800,28200,10000,3900,6100,1.00,18,50
S001,C201,2027-01-23,50000,21800,28200,10000,2200,7800,1.00,18,1000
S001,C301,2027-01-23,50000,21800,28200,10000,5800,4200,1.00,18,50
S001,C401,2027-01-23,50000,21800,28200,10000,5500,4500,1.00,18,50
S001,C001,2027-01-24,50000,18900,31100,10000,6000,4000,1.00,18,100
S001,C101,2027-01-24,50000,18900,31100,10000,2100,7900,1.00,18,50
S001,C201,2027-01-24,50000,18900,31100,10000,4100,5900,1.00,18,1000
S001,C301,2027-01-24,50000,18900,31100,10000,2500,7500,1.00,18,50
S001,C401,2027-01-24,50000,18900,31100,10000,4200,5800,1.00,18,50
S001,C001,2027-01-25,50000,12400,37600,10000,2200,7800,1.00,18,100
S001,C101,2027-01-25,50000,12400,37600,10000,2700,7300,1.00,18,50
S001,C201,2027-01-25,50000,12400,37600,10000,2300,7700,1.00,18,1000
S001,C301,2027-01-25,50000,12400,37600,10000,2800,7200,1.00,18,50
S001,C401,2027-01-25,50000,12400,37600,10000,2400,7600,1.00,18,50
S001,C001,2027-01-26,50000,21600,28400,10000,5200,4800,1.00,18,100
S001,C101,2027-01-26,50000,21600,28400,10000,5100,4900,1.00,18,50
S001,C201,2027-01-26,50000,21600,28400,10000,5600,4400,1.00,18,1000
S001,C301,2027-01-26,50000,21600,28400,10000,3000,7000,1.00,18,50
S001,C401,2027-01-26,50000,21600,28400,10000,2700,7300,1.00,18,50
S001,C001,2027-01-27,50000,23700,26300,10000,4300,5700,1.00,18,100
S001,C101,2027-01-27,50000,23700,26300,10000,4100,5900,1.00,18,50
S001,C201,2027-01-27,50000,23700,26300,10000,4200,5800,1.00,18,1000
S001,C301,2027-01-27,50000,23700,26300,10000,6000,4000,1.00,18,50
S001,C401,2027-01-27,50000,23700,26300,10000,5100,4900,1.00,18,50
S001,C001,2027-01-28,50000,18800,31200,10000,4100,5900,1.00,18,100
S001,C101,2027-01-28,50000,18800,31200,10000,2500,7500,1.00,18,50
S001,C201,2027-01-28,50000,18800,31200,10000,4900,5100,1.00,18,1000
S001,C301,2027-01-28,50000,18800,31200,10000,4200,5800,1.00,18,50
S001,C401,2027-01-28,50000,18800,31200,10000,3100,6900,1.00,18,50
S001,C001,2027-01-29,50000,20600,29400,10000,3500,6500,1.00,18,100
S001,C101,2027-01-29,50000,20600,29400,10000,3800,6200,1.00,18,50
S001,C201,2027-01-29,50000,20600,29400,10000,5100,4900,1.00,18,1000
S001,C301,2027-01-29,50000,20600,29400,10000,2700,7300,1.00,18,50
S001,C401,2027-01-29,50000,20600,29400,10000,5500,4500,1.00,18,50
S001,C001,2027-01-30,50000,21400,28600,10000,2400,7600,1.00,18,100
S001,C101,2027-01-30,50000,21400,28600,10000,5800,4200,1.00,18,50
S001,C201,2027-01-30,50000,21400,28600,10000,5300,4700,1.00,18,1000
S001,C301,2027-01-30,50000,21400,28600,10000,5900,4100,1.00,18,50
S001,C401,2027-01-30,50000,21400,28600,10000,2000,8000,1.00,18,50
S001,C001,2027-01-31,50000,20800,29200,10000,3600,6400,1.00,18,100
S001,C101,2027-01-31,50000,20800,29200,10000,5000,5000,1.00,18,50
S001,C201,2027-01-31,50000,20800,29200,10000,4000,6000,1.00,18,1000
S001,C301,2027-01-31,50000,20800,29200,10000,5200,4800,1.00,18,50
S001,C401,2027-01-31,50000,20800,29200,10000,3000,7000,1.00,18,50
S002,C002,2027-01-01,50000,17200,32800,10000,2500,7500,1.45,18,100
S002,C102,2027-01-01,50000,17200,32800,10000,3200,6800,1.45,18,50
S002,C202,2027-01-01,50000,17200,32800,10000,5700,4300,1.45,18,500
S002,C302,2027-01-01,50000,17200,32800,10000,2500,7500,1.45,18,100
S002,C402,2027-01-01,50000,17200,32800,10000,3300,6700,1.45,18,500
S002,C002,2027-01-02,50000,19800,30200,10000,2600,7400,1.45,18,100
S002,C102,2027-01-02,50000,19800,30200,10000,5200,4800,1.45,18,50
S002,C202,2027-01-02,50000,19800,30200,10000,3100,6900,1.45,18,500
S002,C302,2027-01-02,50000,19800,30200,10000,4600,5400,1.45,18,100
S002,C402,2027-01-02,50000,19800,30200,10000,4300,5700,1.45,18,500
S002,C002,2027-01-03,50000,18800,31200,10000,5400,4600,1.45,18,100
S002,C102,2027-01-03,50000,18800,31200,10000,2700,7300,1.45,18,50
S002,C202,2027-01-03,50000,18800,31200,10000,2100,7900,1.45,18,500
S002,C302,2027-01-03,50000,18800,31200,10000,2900,7100,1.45,18,100
S002,C402,2027-01-03,50000,18800,31200,10000,5700,4300,1.45,18,500
S002,C002,2027-01-04,50000,27900,22100,10000,5500,4500,1.45,18,100
S002,C102,2027-01-04,50000,27900,22100,10000,6000,4000,1.45,18,50
S002,C202,2027-01-04,50000,27900,22100,10000,5300,4700,1.45,18,500
S002,C302,2027-01-04,50000,27900,22100,10000,6000,4000,1.45,18,100
S002,C402,2027-01-04,50000,27900,22100,10000,5100,4900,1.45,18,500
S002,C002,2027-01-05,50000,20200,29800,10000,3300,6700,1.45,18,100
S002,C102,2027-01-05,50000,20200,29800,10000,4700,5300,1.45,18,50
S002,C202,2027-01-05,50000,20200,29800,10000,4600,5400,1.45,18,500
S002,C302,2027-01-05,50000,20200,29800,10000,5600,4400,1.45,18,100
S002,C402,2027-01-05,50000,20200,29800,10000,2000,8000,1.45,18,500
S002,C002,2027-01-06,50000,19000,31000,10000,3000,7000,1.45,18,100
S002,C102,2027-01-06,50000,19000,31000,10000,2100,7900,1.45,18,50
S002,C202,2027-01-06,50000,19000,31000,10000,5300,4700,1.45,18,500
S002,C302,2027-01-06,50000,19000,31000,10000,4700,5300,1.45,18,100
S002,C402,2027-01-06,50000,19000,31000,10000,3900,6100,1.45,18,500
S002,C002,2027-01-07,50000,23200,26800,10000,5800,4200,1.45,18,100
S002,C102,2027-01-07,50000,23200,26800,10000,4900,5100,1.45,18,50
S002,C202,2027-01-07,50000,23200,26800,10000,4400,5600,1.45,18,500
S002,C302,2027-01-07,50000,23200,26800,10000,4300,5700,1.45,18,100
S002,C402,2027-01-07,50000,23200,26800,10000,3800,6200,1.45,18,500
S002,C002,2027-01-08,50000,19200,30800,10000,6000,4000,1.45,18,100
S002,C102,2027-01-08,50000,19200,30800,10000,2000,8000,1.45,18,50
S002,C202,2027-01-08,50000,19200,30800,10000,2600,7400,1.45,18,500
S002,C302,2027-01-08,50000,19200,30800,10000,5700,4300,1.45,18,100
S002,C402,2027-01-08,50000,19200,30800,10000,2900,7100,1.45,18,500
S002,C002,2027-01-09,50000,20400,29600,10000,5300,4700,1.45,18,100
S002,C102,2027-01-09,50000,20400,29600,10000,2800,7200,1.45,18,50
S002,C202,2027-01-09,50000,20400,29600,10000,5900,4100,1.45,18,500
S002,C302,2027-01-09,50000,20400,29600,10000,4400,5600,1.45,18,100
S002,C402,2027-01-09,50000,20400,29600,10000,2000,8000,1.45,18,500
S002,C002,2027-01-10,50000,19700,30300,10000,2600,7400,1.45,18,100
S002,C102,2027-01-10,50000,19700,30300,10000,4800,5200,1.45,18,50
S002,C202,2027-01-10,50000,19700,30300,10000,3100,6900,1.45,18,500
S002,C302,2027-01-10,50000,19700,30300,10000,4200,5800,1.45,18,100
S002,C402,2027-01-10,50000,19700,30300,10000,5000,5000,1.45,18,500
S002,C002,2027-01-11,50000,22800,27200,10000,3500,6500,1.45,18,100
S002,C102,2027-01-11,50000,22800,27200,10000,4300,5700,1.45,18,50
S002,C202,2027-01-11,50000,22800,27200,10000,4100,5900,1.45,18,500
S002,C302,2027-01-11,50000,22800,27200,10000,5900,4100,1.45,18,100
S002,C402,2027-01-11,50000,22800,27200,10000,5000,5000,1.45,18,500
S002,C002,2027-01-12,50000,17900,32100,10000,4700,5300,1.45,18,100
S002,C102,2027-01-12,50000,17900,32100,10000,4300,5700,1.45,18,50
S002,C202,2027-01-12,50000,17900,32100,10000,3100,6900,1.45,18,500
S002,C302,2027-01-12,50000,17900,32100,10000,3700,6300,1.45,18,100
S002,C402,2027-01-12,50000,17900,32100,10000,2100,7900,1.45,18,500
S002,C002,2027-01-13,50000,22400,27600,10000,2500,7500,1.45,18,100
S002,C102,2027-01-13,50000,22400,27600,10000,3700,6300,1.45,18,50
S002,C202,2027-01-13,50000,22400,27600,10000,5500,4500,1.45,18,500
S002,C302,2027-01-13,50000,22400,27600,10000,5700,4300,1.45,18,100
S002,C402,2027-01-13,50000,22400,27600,10000,5000,5000,1.45,18,500
S002,C002,2027-01-14,50000,17200,32800,10000,2000,8000,1.45,18,100
S002,C102,2027-01-14,50000,17200,32800,10000,2300,7700,1.45,18,50
S002,C202,2027-01-14,50000,17200,32800,10000,4500,5500,1.45,18,500
S002,C302,2027-01-14,50000,17200,32800,10000,3700,6300,1.45,18,100
S002,C402,2027-01-14,50000,17200,32800,10000,4700,5300,1.45,18,500
S002,C002,2027-01-15,50000,20200,29800,10000,4400,5600,1.45,18,100
S002,C102,2027-01-15,50000,20200,29800,10000,2900,7100,1.45,18,50
S002,C202,2027-01-15,50000,20200,29800,10000,5100,4900,1.45,18,500
S002,C302,2027-01-15,50000,20200,29800,10000,4200,5800,1.45,18,100
S002,C402,2027-01-15,50000,20200,29800,10000,3600,6400,1.45,18,500
S002,C002,2027-01-16,50000,20400,29600,10000,5400,4600,1.45,18,100
S002,C102,2027-01-16,50000,20400,29600,10000,3100,6900,1.45,18,50
S002,C202,2027-01-16,50000,20400,29600,10000,4200,5800,1.45,18,500
S002,C302,2027-01-16,50000,20400,29600,10000,4900,5100,1.45,18,100
S002,C402,2027-01-16,50000,20400,29600,10000,2800,7200,1.45,18,500
S002,C002,2027-01-17,50000,20700,29300,10000,5800,4200,1.45,18,100
S002,C102,2027-01-17,50000,20700,29300,10000,3100,6900,1.45,18,50
S002,C202,2027-01-17,50000,20700,29300,10000,4000,6000,1.45,18,500
S002,C302,2027-01-17,50000,20700,29300,10000,5800,4200,1.45,18,100
S002,C402,2027-01-17,50000,20700,29300,10000,2000,8000,1.45,18,500
S002,C002,2027-01-18,50000,19800,30200,10000,3800,6200,1.45,18,100
S002,C102,2027-01-18,50000,19800,30200,10000,3700,6300,1.45,18,50
S002,C202,2027-01-18,50000,19800,30200,10000,2200,7800,1.45,18,500
S002,C302,2027-01-18,50000,19800,30200,10000,5400,4600,1.45,18,100
S002,C402,2027-01-18,50000,19800,30200,10000,4700,5300,1.45,18,500
S002,C002,2027-01-19,50000,14100,35900,10000,2800,7200,1.45,18,100
S002,C102,2027-01-19,50000,14100,35900,10000,3600,6400,1.45,18,50
S002,C202,2027-01-19,50000,14100,35900,10000,2600,7400,1.45,18,500
S002,C302,2027-01-19,50000,14100,35900,10000,2900,7100,1.45,18,100
S002,C402,2027-01-19,50000,14100,35900,10000,2200,7800,1.45,18,500
S002,C002,2027-01-20,50000,23600,26400,10000,4500,5500,1.45,18,100
S002,C102,2027-01-20,50000,23600,26400,10000,4200,5800,1.45,18,50
S002,C202,2027-01-20,50000,23600,26400,10000,5200,4800,1.45,18,500
S002,C302,2027-01-20,50000,23600,26400,10000,5000,5000,1.45,18,100
S002,C402,2027-01-20,50000,23600,26400,10000,4700,5300,1.45,18,500
S002,C002,2027-01-21,50000,21800,28200,10000,3800,6200,1.45,18,100
S002,C102,2027-01-21,50000,21800,28200,10000,3100,6900,1.45,18,50
S002,C202,2027-01-21,50000,21800,28200,10000,4200,5800,1.45,18,500
S002,C302,2027-01-21,50000,21800,28200,10000,5800,4200,1.45,18,100
S002,C402,2027-01-21,50000,21800,28200,10000,4900,5100,1.45,18,500
S002,C002,2027-01-22,50000,16800,33200,10000,2000,8000,1.45,18,100
S002,C102,2027-01-22,50000,16800,33200,10000,4600,5400,1.45,18,50
S002,C202,2027-01-22,50000,16800,33200,10000,2300,7700,1.45,18,500
S002,C302,2027-01-22,50000,16800,33200,10000,3700,6300,1.45,18,100
S002,C402,2027-01-22,50000,16800,33200,10000,4200,5800,1.45,18,500
S002,C002,2027-01-23,50000,19900,30100,10000,5900,4100,1.45,18,100
S002,C102,2027-01-23,50000,19900,30100,10000,5600,4400,1.45,18,50
S002,C202,2027-01-23,50000,19900,30100,10000,2200,7800,1.45,18,500
S002,C302,2027-01-23,50000,19900,30100,10000,2000,8000,1.45,18,100
S002,C402,2027-01-23,50000,19900,30100,10000,4200,5800,1.45,18,500
S002,C002,2027-01-24,50000,22600,27400,10000,5800,4200,1.45,18,100
S002,C102,2027-01-24,50000,22600,27400,10000,3800,6200,1.45,18,50
S002,C202,2027-01-24,50000,22600,27400,10000,4700,5300,1.45,18,500
S002,C302,2027-01-24,50000,22600,27400,10000,5600,4400,1.45,18,100
S002,C402,2027-01-24,50000,22600,27400,10000,2700,7300,1.45,18,500
S002,C002,2027-01-25,50000,20500,29500,10000,5300,4700,1.45,18,100
S002,C102,2027-01-25,50000,20500,29500,10000,5000,5000,1.45,18,50
S002,C202,2027-01-25,50000,20500,29500,10000,2200,7800,1.45,18,500
S002,C302,2027-01-25,50000,20500,29500,10000,2100,7900,1.45,18,100
S002,C402,2027-01-25,50000,20500,29500,10000,5900,4100,1.45,18,500
S002,C002,2027-01-26,50000,22400,27600,10000,5300,4700,1.45,18,100
S002,C102,2027-01-26,50000,22400,27600,10000,4400,5600,1.45,18,50
S002,C202,2027-01-26,50000,22400,27600,10000,4400,5600,1.45,18,500
S002,C302,2027-01-26,50000,22400,27600,10000,4800,5200,1.45,18,100
S002,C402,2027-01-26,50000,22400,27600,10000,3500,6500,1.45,18,500
S002,C002,2027-01-27,50000,17600,32400,10000,5000,5000,1.45,18,100
S002,C102,2027-01-27,50000,17600,32400,10000,4000,6000,1.45,18,50
S002,C202,2027-01-27,50000,17600,32400,10000,3900,6100,1.45,18,500
S002,C302,2027-01-27,50000,17600,32400,10000,2000,8000,1.45,18,100
S002,C402,2027-01-27,50000,17600,32400,10000,2700,7300,1.45,18,500
S002,C002,2027-01-28,50000,22800,27200,10000,4600,5400,1.45,18,100
S002,C102,2027-01-28,50000,22800,27200,10000,4500,5500,1.45,18,50
S002,C202,2027-01-28,50000,22800,27200,10000,4100,5900,1.45,18,500
S002,C302,2027-01-28,50000,22800,27200,10000,4300,5700,1.45,18,100
S002,C402,2027-01-28,50000,22800,27200,10000,5300,4700,1.45,18,500
S002,C002,2027-01-29,50000,20600,29400,10000,4500,5500,1.45,18,100
S002,C102,2027-01-29,50000,20600,29400,10000,5800,4200,1.45,18,50
S002,C202,2027-01-29,50000,20600,29400,10000,4100,5900,1.45,18,500
S002,C302,2027-01-29,50000,20600,29400,10000,4200,5800,1.45,18,100
S002,C402,2027-01-29,50000,20600,29400,10000,2000,8000,1.45,18,500
S002,C002,2027-01-30,50000,25100,24900,10000,5600,4400,1.45,18,100
S002,C102,2027-01-30,50000,25100,24900,10000,5500,4500,1.45,18,50
S002,C202,2027-01-30,50000,25100,24900,10000,5200,4800,1.45,18,500
S002,C302,2027-01-30,50000,25100,24900,10000,4800,5200,1.45,18,100
S002,C402,2027-01-30,50000,25100,24900,10000,4000,6000,1.45,18,500
S002,C002,2027-01-31,50000,15800,34200,10000,4500,5500,1.45,18,100
S002,C102,2027-01-31,50000,15800,34200,10000,2700,7300,1.45,18,50
S002,C202,2027-01-31,50000,15800,34200,10000,2800,7200,1.45,18,500
S002,C302,2027-01-31,50000,15800,34200,10000,3300,6700,1.45,18,100
S002,C402,2027-01-31,50000,15800,34200,10000,2500,7500,1.45,18,500
S003,C003,2027-01-01,50000,21700,28300,10000,5200,4800,1.90,12,1000
S003,C103,2027-01-01,50000,21700,28300,10000,3100,6900,1.90,12,250
S003,C203,2027-01-01,50000,21700,28300,10000,4600,5400,1.90,12,500
S003,C303,2027-01-01,50000,21700,28300,10000,5300,4700,1.90,12,100
S003,C403,2027-01-01,50000,21700,28300,10000,3500,6500,1.90,12,100
S003,C003,2027-01-02,50000,19000,31000,10000,3800,6200,1.90,12,1000
S003,C103,2027-01-02,50000,19000,31000,10000,2200,7800,1.90,12,250
S003,C203,2027-01-02,50000,19000,31000,10000,6000,4000,1.90,12,500
S003,C303,2027-01-02,50000,19000,31000,10000,4500,5500,1.90,12,100
S003,C403,2027-01-02,50000,19000,31000,10000,2500,7500,1.90,12,100
S003,C003,2027-01-03,50000,21100,28900,10000,4600,5400,1.90,12,1000
S003,C103,2027-01-03,50000,21100,28900,10000,3700,6300,1.90,12,250
S003,C203,2027-01-03,50000,21100,28900,10000,5500,4500,1.90,12,500
S003,C303,2027-01-03,50000,21100,28900,10000,2000,8000,1.90,12,100
S003,C403,2027-01-03,50000,21100,28900,10000,5300,4700,1.90,12,100
S003,C003,2027-01-04,50000,16500,33500,10000,2500,7500,1.90,12,1000
S003,C103,2027-01-04,50000,16500,33500,10000,2800,7200,1.90,12,250
S003,C203,2027-01-04,50000,16500,33500,10000,4200,5800,1.90,12,500
S003,C303,2027-01-04,50000,16500,33500,10000,4900,5100,1.90,12,100
S003,C403,2027-01-04,50000,16500,33500,10000,2100,7900,1.90,12,100
S003,C003,2027-01-05,50000,18300,31700,10000,4400,5600,1.90,12,1000
S003,C103,2027-01-05,50000,18300,31700,10000,3700,6300,1.90,12,250
S003,C203,2027-01-05,50000,18300,31700,10000,3600,6400,1.90,12,500
S003,C303,2027-01-05,50000,18300,31700,10000,3100,6900,1.90,12,100
S003,C403,2027-01-05,50000,18300,31700,10000,3500,6500,1.90,12,100
S003,C003,2027-01-06,50000,17800,32200,10000,4000,6000,1.90,12,1000
S003,C103,2027-01-06,50000,17800,32200,10000,4200,5800,1.90,12,250
S003,C203,2027-01-06,50000,17800,32200,10000,2100,7900,1.90,12,500
S003,C303,2027-01-06,50000,17800,32200,10000,5500,4500,1.90,12,100
S003,C403,2027-01-06,50000,17800,32200,10000,2000,8000,1.90,12,100
S003,C003,2027-01-07,50000,19800,30200,10000,4700,5300,1.90,12,1000
S003,C103,2027-01-07,50000,19800,30200,10000,3700,6300,1.90,12,250
S003,C203,2027-01-07,50000,19800,30200,10000,4100,5900,1.90,12,500
S003,C303,2027-01-07,50000,19800,30200,10000,4100,5900,1.90,12,100
S003,C403,2027-01-07,50000,19800,30200,10000,3200,6800,1.90,12,100
S003,C003,2027-01-08,50000,15100,34900,10000,2800,7200,1.90,12,1000
S003,C103,2027-01-08,50000,15100,34900,10000,2400,7600,1.90,12,250
S003,C203,2027-01-08,50000,15100,34900,10000,2900,7100,1.90,12,500
S003,C303,2027-01-08,50000,15100,34900,10000,2500,7500,1.90,12,100
S003,C403,2027-01-08,50000,15100,34900,10000,4500,5500,1.90,12,100
S003,C003,2027-01-09,50000,20000,30000,10000,5800,4200,1.90,12,1000
S003,C103,2027-01-09,50000,20000,30000,10000,5100,4900,1.90,12,250
S003,C203,2027-01-09,50000,20000,30000,10000,3100,6900,1.90,12,500
