inventory_id,factory_id,component_id,quantity_on_hand,reserved_quantity,safety_stock,available_quantity,usable_quantity,snapshot_date,unit_cost_usd
FI000186,F001,C405,31,2,2,29,27,2027-01-01,2.80
FI000187,F001,C407,62,2,4,60,56,2027-01-01,3.70
FI000188,F001,C410,64,4,4,60,56,2027-01-01,5.05
FI000189,F001,C411,38,0,4,38,34,2027-01-01,5.50
FI000190,F001,C412,25,2,2,23,21,2027-01-01,5.95
FI000191,F001,C413,13,1,2,12,10,2027-01-01,6.40
FI000192,F001,C415,48,0,8,48,40,2027-01-01,7.30
FI000193,F001,C417,24,2,4,22,18,2027-01-01,8.20
FI000194,F001,C421,116,4,8,112,104,2027-01-01,10.00
FI000195,F001,C424,35,1,2,34,32,2027-01-01,11.35
FI000196,F001,C427,15,1,2,14,12,2027-01-01,12.70
FI000197,F001,C428,22,2,2,20,18,2027-01-01,13.15
FI000198,F001,C429,72,2,4,70,66,2027-01-01,13.60
FI000199,F001,C431,31,2,2,29,27,2027-01-01,14.50
FI000200,F001,C435,74,4,4,70,66,2027-01-01,16.30
FI000201,F001,C437,48,8,8,40,32,2027-01-01,17.20
FI000202,F001,C439,35,0,2,35,33,2027-01-01,18.10
FI000203,F001,C440,124,4,8,120,112,2027-01-01,18.55
FI000204,F001,C441,0,0,0,0,0,2027-01-01,19.00
FI000205,F001,C442,27,1,2,26,24,2027-01-01,19.45
FI000206,F001,C443,30,2,2,28,26,2027-01-01,19.90
FI000207,F001,C445,80,0,8,80,72,2027-01-01,20.80
FI000208,F001,C453,160,0,8,160,152,2027-01-01,1.90
FI000209,F001,C454,68,4,4,64,60,2027-01-01,2.35
FI000210,F001,C455,29,2,2,27,25,2027-01-01,2.80
FI000211,F001,C458,25,2,2,23,21,2027-01-01,4.15
FI000212,F001,C460,144,0,8,144,136,2027-01-01,5.05
FI000213,F001,C467,76,2,4,74,70,2027-01-01,8.20
FI000214,F001,C468,21,0,2,21,19,2027-01-01,8.65
FI000215,F001,C475,70,0,4,70,66,2027-01-01,11.80
FI000216,F001,C476,42,2,4,40,36,2027-01-01,12.25
FI000217,F001,C477,72,4,8,68,60,2027-01-01,12.70
FI000218,F001,C479,56,0,4,56,52,2027-01-01,13.60
FI000219,F001,C480,72,2,4,70,66,2027-01-01,14.05
FI000220,F001,C481,0,0,0,0,0,2027-01-01,14.50
FI000221,F001,C483,19,1,2,18,16,2027-01-01,15.40
FI000222,F001,C486,0,0,0,0,0,2027-01-01,16.75
FI000223,F001,C488,96,8,8,88,80,2027-01-01,17.65
FI000224,F001,C489,74,2,4,72,68,2027-01-01,18.10
FI000225,F001,C490,26,0,4,26,22,2027-01-01,18.55
FI000226,F001,C498,39,2,2,37,35,2027-01-01,22.15
FI000227,F001,C499,34,0,4,34,30,2027-01-01,22.60
FI000228,F001,C500,36,2,4,34,30,2027-01-01,23.05
FI000229,F002,C001,56,4,8,52,44,2027-01-01,1.00
FI000230,F002,C002,120,8,8,112,104,2027-01-01,1.45
FI000231,F002,C003,70,2,4,68,64,2027-01-01,1.90
FI000232,F002,C004,52,4,8,48,40,2027-01-01,2.35
FI000233,F002,C005,100,8,8,92,84,2027-01-01,2.80
FI000234,F002,C006,64,8,8,56,48,2027-01-01,3.25
FI000235,F002,C007,60,8,8,52,44,2027-01-01,3.70
FI000236,F002,C008,108,8,8,100,92,2027-01-01,4.15
FI000237,F002,C009,68,0,4,68,64,2027-01-01,4.60
FI000238,F002,C010,72,4,8,68,60,2027-01-01,5.05
FI000239,F002,C011,112,8,8,104,96,2027-01-01,5.50
FI000240,F002,C012,56,4,8,52,44,2027-01-01,5.95
FI000241,F002,C013,19,1,2,18,16,2027-01-01,6.40
FI000242,F002,C014,96,0,8,96,88,2027-01-01,6.85
FI000243,F002,C015,39,1,2,38,36,2027-01-01,7.30
FI000244,F002,C016,140,0,8,140,132,2027-01-01,7.75
FI000245,F002,C017,124,4,8,120,112,2027-01-01,8.20
FI000246,F002,C018,100,0,8,100,92,2027-01-01,8.65
FI000247,F002,C019,78,0,4,78,74,2027-01-01,9.10
FI000248,F002,C020,48,4,4,44,40,2027-01-01,9.55
FI000249,F002,C021,100,8,8,92,84,2027-01-01,10.00
FI000250,F002,C022,100,8,8,92,84,2027-01-01,10.45
FI000251,F002,C023,32,0,4,32,28,2027-01-01,10.90
FI000252,F002,C024,74,0,4,74,70,2027-01-01,11.35
FI000253,F002,C026,37,0,2,37,35,2027-01-01,12.25
FI000254,F002,C027,60,0,4,60,56,2027-01-01,12.70
FI000255,F002,C029,120,8,8,112,104,2027-01-01,13.60
FI000256,F002,C030,112,0,8,112,104,2027-01-01,14.05
FI000257,F002,C033,48,0,8,48,40,2027-01-01,15.40
FI000258,F002,C034,28,2,4,26,22,2027-01-01,15.85
FI000259,F002,C035,40,0,2,40,38,2027-01-01,16.30
FI000260,F002,C037,80,0,8,80,72,2027-01-01,17.20
FI000261,F002,C041,144,4,8,140,132,2027-01-01,19.00
FI000262,F002,C045,76,2,4,74,70,2027-01-01,20.80
FI000263,F002,C046,52,0,8,52,44,2027-01-01,21.25
FI000264,F002,C047,29,2,2,27,25,2027-01-01,21.70
FI000265,F002,C049,50,2,4,48,44,2027-01-01,22.60
FI000266,F002,C050,20,1,2,19,17,2027-01-01,23.05
FI000267,F002,C054,34,0,2,34,32,2027-01-01,2.35
FI000268,F002,C055,26,2,2,24,22,2027-01-01,2.80
FI000269,F002,C057,80,8,8,72,64,2027-01-01,3.70
FI000270,F002,C061,34,0,2,34,32,2027-01-01,5.50
FI000271,F002,C064,21,2,2,19,17,2027-01-01,6.85
FI000272,F002,C066,80,0,8,80,72,2027-01-01,7.75
FI000273,F002,C068,148,0,8,148,140,2027-01-01,8.65
FI000274,F002,C069,26,2,4,24,20,2027-01-01,9.10
FI000275,F002,C071,24,2,4,22,18,2027-01-01,10.00
FI000276,F002,C074,23,1,2,22,20,2027-01-01,11.35
FI000277,F002,C075,48,4,8,44,36,2027-01-01,11.80
FI000278,F002,C076,74,0,4,74,70,2027-01-01,12.25
FI000279,F002,C077,24,0,2,24,22,2027-01-01,12.70
FI000280,F002,C080,39,0,2,39,37,2027-01-01,14.05
FI000281,F002,C081,25,0,2,25,23,2027-01-01,14.50
FI000282,F002,C084,39,2,2,37,35,2027-01-01,15.85
FI000283,F002,C086,30,2,4,28,24,2027-01-01,16.75
FI000284,F002,C089,34,4,4,30,26,2027-01-01,18.10
FI000285,F002,C091,14,0,2,14,12,2027-01-01,19.00
FI000286,F002,C092,152,4,8,148,140,2027-01-01,19.45
FI000287,F002,C099,44,4,4,40,36,2027-01-01,22.60
FI000288,F002,C100,13,2,2,11,9,2027-01-01,23.05
FI000289,F002,C101,0,0,0,0,0,2027-01-01,1.00
FI000290,F002,C105,70,0,4,70,66,2027-01-01,2.80
FI000291,F002,C107,33,0,2,33,31,2027-01-01,3.70
FI000292,F002,C109,20,2,2,18,16,2027-01-01,4.60
FI000293,F002,C117,26,0,2,26,24,2027-01-01,8.20
FI000294,F002,C118,72,0,8,72,64,2027-01-01,8.65
FI000295,F002,C120,36,4,4,32,28,2027-01-01,9.55
FI000296,F002,C126,38,4,4,34,30,2027-01-01,12.25
FI000297,F002,C127,30,2,2,28,26,2027-01-01,12.70
FI000298,F002,C128,20,2,2,18,16,2027-01-01,13.15
FI000299,F002,C129,30,0,2,30,28,2027-01-01,13.60
FI000300,F002,C130,64,2,4,62,58,2027-01-01,14.05
FI000301,F002,C135,72,8,8,64,56,2027-01-01,16.30
FI000302,F002,C136,24,0,2,24,22,2027-01-01,16.75
FI000303,F002,C141,120,8,8,112,104,2027-01-01,19.00
FI000304,F002,C142,88,8,8,80,72,2027-01-01,19.45
FI000305,F002,C145,32,2,4,30,26,2027-01-01,20.80
FI000306,F002,C146,46,4,4,42,38,2027-01-01,21.25
FI000307,F002,C148,18,2,2,16,14,2027-01-01,22.15
FI000308,F002,C149,48,2,4,46,42,2027-01-01,22.60
FI000309,F002,C151,72,8,8,64,56,2027-01-01,1.00
FI000310,F002,C154,76,8,8,68,60,2027-01-01,2.35
FI000311,F002,C155,60,0,4,60,56,2027-01-01,2.80
FI000312,F002,C161,30,4,4,26,22,2027-01-01,5.50
FI000313,F002,C162,25,1,2,24,22,2027-01-01,5.95
FI000314,F002,C170,16,1,2,15,13,2027-01-01,9.55
FI000315,F002,C174,116,8,8,108,100,2027-01-01,11.35
FI000316,F002,C177,48,4,8,44,36,2027-01-01,12.70
FI000317,F002,C178,32,0,4,32,28,2027-01-01,13.15
FI000318,F002,C179,40,0,2,40,38,2027-01-01,13.60
FI000319,F002,C180,38,2,4,36,32,2027-01-01,14.05
FI000320,F002,C181,64,0,4,64,60,2027-01-01,14.50
FI000321,F002,C187,21,0,2,21,19,2027-01-01,17.20
FI000322,F002,C189,35,0,2,35,33,2027-01-01,18.10
FI000323,F002,C191,68,0,4,68,64,2027-01-01,19.00
FI000324,F002,C193,66,4,4,62,58,2027-01-01,19.90
FI000325,F002,C194,24,4,4,20,16,2027-01-01,20.35
FI000326,F002,C196,23,2,2,21,19,2027-01-01,21.25
FI000327,F002,C199,28,1,2,27,25,2027-01-01,22.60
FI000328,F002,C201,26,2,4,24,20,2027-01-01,1.00
FI000329,F002,C202,40,2,4,38,34,2027-01-01,1.45
FI000330,F002,C210,78,4,4,74,70,2027-01-01,5.05
FI000331,F002,C211,27,1,2,26,24,2027-01-01,5.50
FI000332,F002,C212,140,4,8,136,128,2027-01-01,5.95
FI000333,F002,C216,24,4,4,20,16,2027-01-01,7.75
FI000334,F002,C217,96,8,8,88,80,2027-01-01,8.20
FI000335,F002,C222,52,8,8,44,36,2027-01-01,10.45
FI000336,F002,C225,52,2,4,50,46,2027-01-01,11.80
FI000337,F002,C227,70,0,4,70,66,2027-01-01,12.70
FI000338,F002,C228,62,4,4,58,54,2027-01-01,13.15
FI000339,F002,C230,20,2,2,18,16,2027-01-01,14.05
FI000340,F002,C232,152,4,8,148,140,2027-01-01,14.95
FI000341,F002,C233,70,0,4,70,66,2027-01-01,15.40
FI000342,F002,C235,136,8,8,128,120,2027-01-01,16.30
FI000343,F002,C238,156,8,8,148,140,2027-01-01,17.65
FI000344,F002,C241,31,0,2,31,29,2027-01-01,19.00
FI000345,F002,C242,40,1,2,39,37,2027-01-01,19.45
FI000346,F002,C244,120,4,8,116,108,2027-01-01,20.35
FI000347,F002,C245,29,0,2,29,27,2027-01-01,20.80
FI000348,F002,C249,40,2,4,38,34,2027-01-01,22.60
FI000349,F002,C251,40,2,2,38,36,2027-01-01,1.00
FI000350,F002,C255,16,0,2,16,14,2027-01-01,2.80
FI000351,F002,C256,16,1,2,15,13,2027-01-01,3.25
FI000352,F002,C260,76,4,4,72,68,2027-01-01,5.05
FI000353,F002,C261,68,0,4,68,64,2027-01-01,5.50
FI000354,F002,C263,48,2,4,46,42,2027-01-01,6.40
FI000355,F002,C264,156,8,8,148,140,2027-01-01,6.85
FI000356,F002,C266,33,0,2,33,31,2027-01-01,7.75
FI000357,F002,C270,31,0,2,31,29,2027-01-01,9.55
FI000358,F002,C273,26,0,4,26,22,2027-01-01,10.90
FI000359,F002,C274,34,0,2,34,32,2027-01-01,11.35
FI000360,F002,C276,24,2,4,22,18,2027-01-01,12.25
FI000361,F002,C277,44,4,4,40,36,2027-01-01,12.70
FI000362,F002,C279,46,2,4,44,40,2027-01-01,13.60
FI000363,F002,C281,28,4,4,24,20,2027-01-01,14.50
FI000364,F002,C283,13,2,2,11,9,2027-01-01,15.40
FI000365,F002,C288,18,2,2,16,14,2027-01-01,17.65
FI000366,F002,C290,30,2,4,28,24,2027-01-01,18.55
FI000367,F002,C294,34,0,2,34,32,2027-01-01,20.35
FI000368,F002,C297,42,2,4,40,36,2027-01-01,21.70
FI000369,F002,C299,40,2,4,38,34,2027-01-01,22.60
FI000370,F002,C301,34,2,4,32,28,2027-01-01,1.00
FI000371,F002,C307,35,0,2,35,33,2027-01-01,3.70
FI000372,F002,C309,148,0,8,148,140,2027-01-01,4.60
FI000373,F002,C314,42,2,4,40,36,2027-01-01,6.85
FI000374,F002,C318,68,0,4,68,64,2027-01-01,8.65
FI000375,F002,C319,39,0,2,39,37,2027-01-01,9.10
FI000376,F002,C320,16,2,2,14,12,2027-01-01,9.55
FI000377,F002,C326,39,0,2,39,37,2027-01-01,12.25
FI000378,F002,C331,37,1,2,36,34,2027-01-01,14.50
FI000379,F002,C333,25,0,2,25,23,2027-01-01,15.40
FI000380,F002,C334,80,8,8,72,64,2027-01-01,15.85
FI000381,F002,C337,31,2,2,29,27,2027-01-01,17.20
FI000382,F002,C338,144,4,8,140,132,2027-01-01,17.65
FI000383,F002,C339,64,0,4,64,60,2027-01-01,18.10
FI000384,F002,C342,46,2,4,44,40,2027-01-01,19.45
FI000385,F002,C344,78,0,4,78,74,2027-01-01,20.35
FI000386,F002,C345,21,1,2,20,18,2027-01-01,20.80
FI000387,F002,C351,26,2,4,24,20,2027-01-01,1.00
FI000388,F002,C354,40,2,2,38,36,2027-01-01,2.35
FI000389,F002,C356,64,0,4,64,60,2027-01-01,3.25
FI000390,F002,C357,56,2,4,54,50,2027-01-01,3.70
FI000391,F002,C358,0,0,0,0,0,2027-01-01,4.15
FI000392,F002,C360,116,4,8,112,104,2027-01-01,5.05
FI000393,F002,C362,28,2,4,26,22,2027-01-01,5.95
FI000394,F002,C369,0,0,0,0,0,2027-01-01,9.10
FI000395,F002,C370,12,2,2,10,8,2027-01-01,9.55
FI000396,F002,C372,39,0,2,39,37,2027-01-01,10.45
FI000397,F002,C376,84,4,8,80,72,2027-01-01,12.25
FI000398,F002,C377,136,0,8,136,128,2027-01-01,12.70
FI000399,F002,C380,38,2,2,36,34,2027-01-01,14.05
FI000400,F002,C381,140,0,8,140,132,2027-01-01,14.50
FI000401,F002,C382,64,0,4,64,60,2027-01-01,14.95
FI000402,F002,C385,72,0,4,72,68,2027-01-01,16.30
FI000403,F002,C387,52,4,4,48,44,2027-01-01,17.20
FI000404,F002,C389,0,0,0,0,0,2027-01-01,18.10
FI000405,F002,C390,68,4,8,64,56,2027-01-01,18.55
FI000406,F002,C391,27,1,2,26,24,2027-01-01,19.00
FI000407,F002,C392,22,0,2,22,20,2027-01-01,19.45
FI000408,F002,C394,27,1,2,26,24,2027-01-01,20.35
FI000409,F002,C395,56,0,4,56,52,2027-01-01,20.80
FI000410,F002,C399,12,1,2,11,9,2027-01-01,22.60
FI000411,F002,C406,21,0,2,21,19,2027-01-01,3.25
FI000412,F002,C407,140,8,8,132,124,2027-01-01,3.70
FI000413,F002,C410,80,0,4,80,76,2027-01-01,5.05
FI000414,F002,C412,76,4,4,72,68,2027-01-01,5.95
FI000415,F002,C413,12,0,2,12,10,2027-01-01,6.40
FI000416,F002,C418,17,0,2,17,15,2027-01-01,8.65
FI000417,F002,C420,120,4,8,116,108,2027-01-01,9.55
FI000418,F002,C421,23,0,2,23,21,2027-01-01,10.00
FI000419,F002,C423,37,2,2,35,33,2027-01-01,10.90
FI000420,F002,C429,14,1,2,13,11,2027-01-01,13.60
FI000421,F002,C430,13,2,2,11,9,2027-01-01,14.05
FI000422,F002,C435,40,4,4,36,32,2027-01-01,16.30
FI000423,F002,C437,68,8,8,60,52,2027-01-01,17.20
FI000424,F002,C443,19,0,2,19,17,2027-01-01,19.90
FI000425,F002,C448,16,2,2,14,12,2027-01-01,22.15
FI000426,F002,C452,48,4,4,44,40,2027-01-01,1.45
FI000427,F002,C453,28,1,2,27,25,2027-01-01,1.90
FI000428,F002,C455,100,8,8,92,84,2027-01-01,2.80
FI000429,F002,C456,13,1,2,12,10,2027-01-01,3.25
FI000430,F002,C459,108,0,8,108,100,2027-01-01,4.60
FI000431,F002,C460,44,2,4,42,38,2027-01-01,5.05
FI000432,F002,C461,48,4,4,44,40,2027-01-01,5.50
FI000433,F002,C469,44,2,4,42,38,2027-01-01,9.10
