supplier_id,date,disruption_probability,risk_rank,risk_level,horizon_days,model_version
S037,2028-12-30,0.07594231516,67,LOW,7,SupplyGrid-XGBoost-single-v1
S027,2028-12-30,0.07563951612,68,LOW,7,SupplyGrid-XGBoost-single-v1
S044,2028-12-30,0.07433958352,69,LOW,7,SupplyGrid-XGBoost-single-v1
S038,2028-12-30,0.07418762147,70,LOW,7,SupplyGrid-XGBoost-single-v1
S071,2028-12-30,0.07418762147,71,LOW,7,SupplyGrid-XGBoost-single-v1
S084,2028-12-30,0.07418762147,72,LOW,7,SupplyGrid-XGBoost-single-v1
S089,2028-12-30,0.07418762147,73,LOW,7,SupplyGrid-XGBoost-single-v1
S009,2028-12-30,0.07359072566,74,LOW,7,SupplyGrid-XGBoost-single-v1
S008,2028-12-30,0.07338809967,75,LOW,7,SupplyGrid-XGBoost-single-v1
S020,2028-12-30,0.07225767523,76,LOW,7,SupplyGrid-XGBoost-single-v1
S002,2028-12-30,0.07211582363,77,LOW,7,SupplyGrid-XGBoost-single-v1
S025,2028-12-30,0.07125163823,78,LOW,7,SupplyGrid-XGBoost-single-v1
S022,2028-12-30,0.07068763673,79,LOW,7,SupplyGrid-XGBoost-single-v1
S070,2028-12-30,0.06993506104,80,LOW,7,SupplyGrid-XGBoost-single-v1
S059,2028-12-30,0.06957180053,81,LOW,7,SupplyGrid-XGBoost-single-v1
S042,2028-12-30,0.06950603426,82,LOW,7,SupplyGrid-XGBoost-single-v1
S004,2028-12-30,0.06878890842,83,LOW,7,SupplyGrid-XGBoost-single-v1
S032,2028-12-30,0.06854399294,84,LOW,7,SupplyGrid-XGBoost-single-v1
S046,2028-12-30,0.06755594164,85,LOW,7,SupplyGrid-XGBoost-single-v1
S087,2028-12-30,0.06755594164,86,LOW,7,SupplyGrid-XGBoost-single-v1
S028,2028-12-30,0.066222772,87,LOW,7,SupplyGrid-XGBoost-single-v1
S068,2028-12-30,0.06274908036,88,LOW,7,SupplyGrid-XGBoost-single-v1
S069,2028-12-30,0.06108986586,89,LOW,7,SupplyGrid-XGBoost-single-v1
S075,2028-12-30,0.06080974638,90,LOW,7,SupplyGrid-XGBoost-single-v1
S045,2028-12-30,0.06023677438,91,LOW,7,SupplyGrid-XGBoost-single-v1
S053,2028-12-30,0.05978031456,92,LOW,7,SupplyGrid-XGBoost-single-v1
S011,2028-12-30,0.0589443557,93,LOW,7,SupplyGrid-XGBoost-single-v1
S093,2028-12-30,0.0589443557,94,LOW,7,SupplyGrid-XGBoost-single-v1
S065,2028-12-30,0.05879281089,95,LOW,7,SupplyGrid-XGBoost-single-v1
S017,2028-12-30,0.05823766813,96,LOW,7,SupplyGrid-XGBoost-single-v1
S018,2028-12-30,0.05823766813,97,LOW,7,SupplyGrid-XGBoost-single-v1
S066,2028-12-30,0.0569855459,98,LOW,7,SupplyGrid-XGBoost-single-v1
