group_kind,group,rows,average_precision,roc_auc,brier,precision,recall,f1,accuracy,false_alert_rate,alert_fraction,tp,fp,tn,fn,note
supplier,S026,74,0.670695594896884,0.7759183673469388,0.25197896361351013,0.5,0.6,0.5454545454545454,0.6621621621621622,0.30612244897959184,0.40540540540540543,15.0,15.0,34.0,10.0,
supplier,S027,97,,,0.006419416942295424,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S028,94,0.10153685671373333,0.6116584564860427,0.06960605829954147,0.0,0.0,0.0,0.8829787234042553,0.04597701149425287,0.0425531914893617,0.0,4.0,83.0,7.0,
supplier,S029,94,0.09704053670129935,0.48686371100164205,0.07016602158546448,0.0,0.0,0.0,0.8936170212765957,0.034482758620689655,0.031914893617021274,0.0,3.0,84.0,7.0,
supplier,S030,90,0.25310717013118383,0.7750287686996548,0.10492011159658432,0.0,0.0,0.0,0.8777777777777778,0.0,0.0,0.0,0.0,79.0,11.0,
supplier,S031,92,0.07633023811062191,0.43445378151260505,0.07215176522731781,0.0,0.0,0.0,0.8913043478260869,0.03529411764705882,0.03260869565217391,0.0,3.0,82.0,7.0,
supplier,S032,97,,,0.004277463654303235,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S033,97,,,0.0046863769056431585,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S034,97,,,0.009521765229325933,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S035,89,0.1850535287804873,0.5742857142857143,0.13254797458648682,0.09090909090909091,0.07142857142857142,0.08,0.7415730337078652,0.13333333333333333,0.12359550561797752,1.0,10.0,65.0,13.0,
supplier,S036,85,0.8226780181662282,0.9110863095238095,0.19569562375545502,0.0,0.0,0.0,0.7529411764705882,0.0,0.0,0.0,0.0,64.0,21.0,
supplier,S037,87,0.3006898322770318,0.7891389432485323,0.13467355072498322,0.0,0.0,0.0,0.8160919540229885,0.0273972602739726,0.022988505747126436,0.0,2.0,71.0,14.0,
supplier,S038,94,0.06681195159717841,0.2733990147783251,0.07044558227062225,0.0,0.0,0.0,0.925531914893617,0.0,0.0,0.0,0.0,87.0,7.0,
supplier,S039,94,0.09873630064659965,0.5977011494252873,0.06967350840568542,0.0,0.0,0.0,0.8936170212765957,0.034482758620689655,0.031914893617021274,0.0,3.0,84.0,7.0,
supplier,S040,96,,,0.006626749995182156,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S041,84,0.191306875721237,0.3356009070294784,0.21312153339385986,0.0,0.0,0.0,0.7142857142857143,0.047619047619047616,0.03571428571428571,0.0,3.0,60.0,21.0,
supplier,S042,81,0.3295048734175408,0.43887867647058826,0.17993690073490143,0.0,0.0,0.0,0.7901234567901234,0.0,0.0,0.0,0.0,64.0,17.0,
supplier,S043,97,0.05200010736790302,0.24920634920634918,0.07063844054937363,0.0,0.0,0.0,0.8865979381443299,0.044444444444444446,0.041237113402061855,0.0,4.0,86.0,7.0,
supplier,S044,95,0.1308858493489434,0.7102272727272727,0.06766377389431,0.0,0.0,0.0,0.9263157894736842,0.0,0.0,0.0,0.0,88.0,7.0,
supplier,S045,97,,,0.0060087017480147924,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S046,94,0.2244326975589009,0.6680911680911681,0.119941346347332,0.0,0.0,0.0,0.8617021276595744,0.0,0.0,0.0,0.0,81.0,13.0,
supplier,S047,94,0.19492412349555205,0.7701149425287357,0.06768212467432022,0.0,0.0,0.0,0.925531914893617,0.0,0.0,0.0,0.0,87.0,7.0,
supplier,S048,93,0.13681566377393725,0.288312693498452,0.16420914232730865,0.0,0.0,0.0,0.8172043010752689,0.0,0.0,0.0,0.0,76.0,17.0,
supplier,S049,94,,,0.005747913669581943,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S050,88,0.16658929195007344,0.5241312741312741,0.13738013803958893,0.0,0.0,0.0,0.6022727272727273,0.28378378378378377,0.23863636363636365,0.0,21.0,53.0,14.0,
supplier,S051,93,0.032196969696969696,0.5137362637362637,0.025510994717478752,0.0,0.0,0.0,0.978494623655914,0.0,0.0,0.0,0.0,91.0,2.0,
supplier,S052,97,0.07426075268817203,0.6914893617021276,0.03409998118877411,0.0,0.0,0.0,0.9690721649484536,0.0,0.0,0.0,0.0,94.0,3.0,
supplier,S053,85,0.3356703480273125,0.42669172932330823,0.2807174623012543,0.0,0.0,0.0,0.6705882352941176,0.0,0.0,0.0,0.0,57.0,28.0,
supplier,S054,90,0.1311422289194113,0.3947368421052631,0.13960090279579163,0.0,0.0,0.0,0.8444444444444444,0.0,0.0,0.0,0.0,76.0,14.0,
supplier,S055,97,,,0.00850408043850756,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S056,90,0.06341838409739357,0.225473321858864,0.0794093906879425,0.0,0.0,0.0,0.6222222222222222,0.3253012048192771,0.3,0.0,27.0,56.0,7.0,
supplier,S057,92,0.1561038961038961,0.7344537815126051,0.06957312673330307,0.0,0.0,0.0,0.782608695652174,0.15294117647058825,0.14130434782608695,0.0,13.0,72.0,7.0,
supplier,S058,92,0.28181252574061727,0.738095238095238,0.13051557540893555,0.0,0.0,0.0,0.8478260869565217,0.0,0.0,0.0,0.0,78.0,14.0,
supplier,S059,92,0.08581167272543458,0.5193277310924369,0.07054407894611359,0.0,0.0,0.0,0.9239130434782609,0.0,0.0,0.0,0.0,85.0,7.0,
supplier,S060,94,0.06308104791023046,0.3341543513957307,0.074747234582901,0.0,0.0,0.0,0.7021276595744681,0.2413793103448276,0.22340425531914893,0.0,21.0,66.0,7.0,
supplier,S061,94,0.05488141867166986,0.21510673234811165,0.07113289833068848,0.0,0.0,0.0,0.925531914893617,0.0,0.0,0.0,0.0,87.0,7.0,
supplier,S062,91,0.11025688440036949,0.28710575139146566,0.1368182748556137,0.0,0.0,0.0,0.8241758241758241,0.025974025974025976,0.02197802197802198,0.0,2.0,75.0,14.0,
supplier,S063,93,0.13272058823529412,0.5755813953488372,0.07014663517475128,0.0,0.0,0.0,0.9247311827956989,0.0,0.0,0.0,0.0,86.0,7.0,
supplier,S064,90,0.13208053541538115,0.5074798619102416,0.11018865555524826,0.0,0.0,0.0,0.8777777777777778,0.0,0.0,0.0,0.0,79.0,11.0,
supplier,S065,89,0.2192137107593761,0.6104761904761905,0.1392526775598526,0.0,0.0,0.0,0.8426966292134831,0.0,0.0,0.0,0.0,75.0,14.0,
supplier,S066,87,0.33350210959232723,0.4809322033898305,0.27888306975364685,0.0,0.0,0.0,0.6781609195402298,0.0,0.0,0.0,0.0,59.0,28.0,
supplier,S067,95,0.10544059790260399,0.5738636363636364,0.06951175630092621,0.0,0.0,0.0,0.9263157894736842,0.0,0.0,0.0,0.0,88.0,7.0,
supplier,S068,89,0.11000129658182929,0.10285714285714284,0.1445687860250473,0.0,0.0,0.0,0.8426966292134831,0.0,0.0,0.0,0.0,75.0,14.0,
supplier,S069,94,0.07121978796827434,0.37274220032840727,0.07147709280252457,0.0,0.0,0.0,0.8829787234042553,0.04597701149425287,0.0425531914893617,0.0,4.0,83.0,7.0,
supplier,S070,97,,,0.007240224871118063,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S071,89,0.20678574442619385,0.6437499999999999,0.09037838876247406,0.0,0.0,0.0,0.898876404494382,0.0,0.0,0.0,0.0,80.0,9.0,
supplier,S072,95,0.06786942031596344,0.3977272727272727,0.07289978861808777,0.0,0.0,0.0,0.7684210526315789,0.17045454545454544,0.15789473684210525,0.0,15.0,73.0,7.0,
supplier,S073,93,0.07692147073167774,0.4767441860465116,0.07551710307598114,0.0,0.0,0.0,0.6021505376344086,0.3488372093023256,0.3225806451612903,0.0,30.0,56.0,7.0,
supplier,S074,97,,,0.006542908339816508,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S075,97,,,0.005469536538501729,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S076,95,0.08069428553690056,0.4293831168831169,0.06922396272420883,0.0,0.0,0.0,0.9263157894736842,0.0,0.0,0.0,0.0,88.0,7.0,
supplier,S077,85,0.22232068828980675,0.38467261904761907,0.20774619281291962,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.6,0.21875,0.17647058823529413,1.0,14.0,50.0,20.0,
supplier,S078,95,0.2322514619883041,0.853021978021978,0.04046870395541191,0.25,0.25,0.25,0.9368421052631579,0.03296703296703297,0.042105263157894736,1.0,3.0,88.0,3.0,
supplier,S079,86,0.23728147719696163,0.5175824175824176,0.19391442835330963,0.34210526315789475,0.6190476190476191,0.4406779661016949,0.6162790697674418,0.38461538461538464,0.4418604651162791,13.0,25.0,40.0,8.0,
supplier,S080,93,0.07526881720430108,0.04069767441860467,0.07195622473955154,0.0,0.0,0.0,0.9247311827956989,0.0,0.0,0.0,0.0,86.0,7.0,
supplier,S081,93,0.6966427329478799,0.8486201298701299,0.14125500619411469,1.0,0.0625,0.11764705882352941,0.8387096774193549,0.0,0.010752688172043012,1.0,0.0,77.0,15.0,
supplier,S082,87,0.5655002994333221,0.7787698412698413,0.2194468230009079,0.6666666666666666,0.25,0.36363636363636365,0.7586206896551724,0.047619047619047616,0.10344827586206896,6.0,3.0,60.0,18.0,
supplier,S083,90,0.06631569870464754,0.2842987804878049,0.08539808541536331,0.0,0.0,0.0,0.7666666666666667,0.15853658536585366,0.14444444444444443,0.0,13.0,69.0,8.0,
supplier,S084,90,0.15735910594781563,0.5539529914529915,0.11815018206834793,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,78.0,12.0,
supplier,S085,94,0.12177269632027957,0.3409552845528455,0.11557435989379883,0.0,0.0,0.0,0.8723404255319149,0.0,0.0,0.0,0.0,82.0,12.0,
supplier,S086,90,0.30426170468187275,0.8898450946643718,0.0693008229136467,0.28,1.0,0.4375,0.8,0.21686746987951808,0.2777777777777778,7.0,18.0,65.0,0.0,
supplier,S087,95,0.1395590878563015,0.7305194805194806,0.06772060692310333,0.0,0.0,0.0,0.8421052631578947,0.09090909090909091,0.08421052631578947,0.0,8.0,80.0,7.0,
supplier,S088,90,0.2041729750595499,0.6264097744360901,0.1326911896467209,0.0,0.0,0.0,0.8222222222222222,0.02631578947368421,0.022222222222222223,0.0,2.0,74.0,14.0,
supplier,S089,87,0.3324010187107326,0.6507936507936507,0.19919344782829285,0.0,0.0,0.0,0.7471264367816092,0.015151515151515152,0.011494252873563218,0.0,1.0,65.0,21.0,
supplier,S090,90,0.2511172585611752,0.637218045112782,0.13202597200870514,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.8333333333333334,0.02631578947368421,0.03333333333333333,1.0,2.0,74.0,13.0,
supplier,S091,92,0.2763652496571751,0.49221611721611724,0.1346348524093628,0.0,0.0,0.0,0.8478260869565217,0.0,0.0,0.0,0.0,78.0,14.0,
supplier,S092,97,,,0.011875506056536131,,,,,,,,,,,AP/ROC omitted for single-class group
supplier,S093,92,0.14055624816085216,0.6060975609756097,0.09758613258600235,0.0,0.0,0.0,0.8913043478260869,0.0,0.0,0.0,0.0,82.0,10.0,
supplier,S094,92,0.07141014090892292,0.37815126050420167,0.07266220450401306,0.0,0.0,0.0,0.8804347826086957,0.047058823529411764,0.043478260869565216,0.0,4.0,81.0,7.0,
supplier,S095,95,0.12743295858307133,0.6728896103896105,0.06797241419553757,0.0,0.0,0.0,0.9052631578947369,0.022727272727272728,0.021052631578947368,0.0,2.0,86.0,7.0,
supplier,S096,95,0.05206607499840582,0.17288961038961037,0.07037875056266785,0.0,0.0,0.0,0.9263157894736842,0.0,0.0,0.0,0.0,88.0,7.0,
supplier,S097,93,0.07526881720430108,0.05813953488372092,0.07151755690574646,0.0,0.0,0.0,0.9247311827956989,0.0,0.0,0.0,0.0,86.0,7.0,
supplier,S098,93,0.5871548619447778,0.9210963455149502,0.06507039070129395,0.0,0.0,0.0,0.9247311827956989,0.0,0.0,0.0,0.0,86.0,7.0,
supplier,S099,92,0.18612990708411023,0.5046875,0.11573213338851929,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,0.0,0.0,80.0,12.0,
supplier,S100,94,0.06133304385584021,0.1502463054187192,0.07194150984287262,0.0,0.0,0.0,0.8936170212765957,0.034482758620689655,0.031914893617021274,0.0,3.0,84.0,7.0,
month,2028-05,181,0.23528656332901937,0.7007498295841853,0.08669847249984741,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8895027624309392,0.024539877300613498,0.03314917127071823,2.0,4.0,159.0,16.0,
month,2028-06,2862,0.11596671313108618,0.5830373752748181,0.07453341782093048,0.21052631578947367,0.06837606837606838,0.1032258064516129,0.9028651292802237,0.0228310502283105,0.026554856743535988,16.0,60.0,2568.0,218.0,
month,2028-07,2934,0.12061774127342871,0.5402779037598078,0.10325940698385239,0.0663265306122449,0.03823529411764706,0.048507462686567165,0.8261758691206544,0.07054741711642251,0.06680299931833675,13.0,183.0,2411.0,327.0,
month,2028-08,2916,0.15598791714074098,0.6348628210997632,0.09443538635969162,0.1696969696969697,0.08945686900958466,0.11715481171548117,0.855281207133059,0.05263157894736842,0.056584362139917695,28.0,137.0,2466.0,285.0,
month,2028-09,293,0.16005494379912022,0.5714285714285714,0.08286670595407486,0.25,0.07407407407407407,0.11428571428571428,0.89419795221843,0.022556390977443608,0.027303754266211604,2.0,6.0,260.0,25.0,
